構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,化育教學創新力,,,,透過「設計思考」（design thinking），讓學生可以簡單、清楚地瞭解與實做，內化學科抽象理論知識之認知，並增進對生活週遭與社會整體現象之觀察，且進行PBL教學方法。例如強調「主題式（topic-by-topic）的互動教學」和「問題導向的學習」課程的設計，讓學生透過實務案例所面臨之問題，並提出具體解決方式。
教學,強化教學品質,推廣創新教學模式,化育教學創新力,,,,將配合本校教研創新發展，如AR、VR、AI、3D創客、大數據分析、新聞探勘、金融科技等課程之專業需求，增聘專業領域教師。在強化教師成長社群面向上，將促進教師教學創新能力，教師的自我學習、相互觀摩激盪與跨域能力是教學知能創新之基礎，並透過卓越中心的「創新教學孵化器」機制，推廣創新教學。
教學,強化教學品質,強化課程內容,扎根素養基礎力,,,,本校將推動「培育運算邏輯暨大數據分析思維」方案，連結全校程式語言與大數據分析教研能量，積極拓展相關領域潛力，發展「傳播大數據」與「財經大數據」兩軸線，更積極邁向校園整體「大數據+」，強化學生邏輯思維與未來自我學習能力。
教學,強化教學品質,調整課程規劃,扎根素養基礎力,,,,將「媒體識讀」課程與時俱進到「全媒體識讀」，開設「媒體再現與行動」與「全媒體識讀」校訂必修課程等。
教學,強化教學品質,推動多元升等,配套措施：設置「大學社會責任實踐專案辦公室」，USR納入教師多元升等指標,,,,目前本校多元升等鼓勵老師除研究管道外，以教學研究或技術報告升等，未來也將規劃社會實踐研究升等方案，教學、研究、輔導與服務納入教師教學評量。
教學,跨領域學習,跨領域教學,整合學習跨域,,,,整合課程打造創新學習，以多樣性並置之課程內容設計，促使知識匯流與去疆域化，賦予學生解決當代高度複雜問題之能力。
教學,跨領域學習,跨領域教學,整合學習跨域,,,,以「學用合一」專案實作為主要概念，提供學生專業及產業導向的「手腦並用」創製經驗。落實各學門媒體理論，同時更強調校內各單位實習機制的整合。如「跨域合作，創新突破：解決問題行動教學暨解決問題方案企劃大賞」，乃透過跨科系、跨領域課程之教與學過程，以多元方式培訓高附加價值、原創及跨領域人才，其不但強調了問題解決，亦匯入社會心理領域的社會觀察與行為分析能力，具體豐富了專案實作的價值。
教學,跨領域學習,跨領域教學,整合學習跨域,,,,本方案由體育室、全媒體中心、性別所、經濟系、法律系、英語系、社發所、觀光系、社心系、企管系等10個教學單位共同參與，乃強調各學門跨領域學習，構連各項社會科學與人文科學領域，嫁接傳播學門，結合傳播技能、傳播概念、傳播方法、傳播科技等面向，以各類溝通行動、內容創作、傳播推廣貫穿之，進一步產生全新型態的知識與專業。
教學,跨領域學習,跨領域教學,學校優勢特色,,,,推動學院實體化，以有效整合跨院系所資源，培育跨域人才。
教學,人才國際化,多元文化/文化交流,扎根素養基礎力,,,,透過多元文化學習、CLIL（Content and Language Integrated Learning）教學模式、Non-Stop Learning Program、Learning by Doing等教學方式，讓學生自然融入語言學習的沉浸式環境。此外將開設相關語言與文化教學課程，以善多元文化之境。
教學,人才國際化,辦理海外參訪或移地教學,扎根素養基礎力,,,,推動國際交流、海外參訪、海外競賽、國際化課程，形塑國際化環境，以培養具國際行動力之宏觀公民。
教學,人才國際化,辦理海外參訪或移地教學,深化教師國際化參與：教師海外教學潛能計畫,,,,積極鼓勵並補助教師前往海外姊妹校進行研究、授課、參與研討會及學術活動，與海外學者交流並交換相關經驗。
教學,人才國際化,辦理海外參訪或移地教學,廉政深耕與世界創新,,,,國際化課程培訓補助：國際透明組織目前每年有青年廉潔學院活動，未來以培訓課程的方式進行，指定同學們修習的課程，修足學分且表現優秀者，可協調國際透明組織提供名額，讓同學暑假能前往拓展國際視野並增加其對國際廉潔運動與議題的瞭解。
教學,人才國際化,推動英語授課/全英語學程,建構國際化學習環境：全英文全媒體課程,,,,本方案規劃期程自107年起至111年止，預計逐年開設「全媒體英文基礎課程」、「全媒體創製跨領域學分學程」英文相關進階課程、「全媒體創製跨領域學分學程」英文相關高階課程，成立學位學程並串連媒體跨域專業訓練及業界專案實作，推動跨域產學實習與合作機制。
教學,人才國際化,招聘外籍老師（或邀請授課）,深化教師國際化參與：教師海外教學潛能計畫,,,,邀請姊妹校相關學門領域之教師來校，將異地經驗與教學內容直接傳授校內同學。
教學,人才國際化,招聘外籍老師（或邀請授課）,拓展師生國際交流：海外知名學者專家講座/訪學計畫,,,,期透過邀請海外大學或姊妹校之卓越或具特殊貢獻之學者專家駐校講座/訪學，藉由其海外卓越教學經驗之傳授，優化本校學生專業學習及拓展國際視野，瞭解世界最新理論與實務之發展趨勢。
教學,提升實作能力,推動各類競賽（實作能力）,接軌職場就業力,,,,本校重視學生手腦並用之實務技能，長期以來鼓勵學生參與各種技能競賽，建立技能價值觀念，厚實專業履歷。
教學,提升實作能力,呈現、檢核或評估實作成果,學校優勢特色,,,,由學生選擇產業別，為業主量身訂做專案畢業製作，強化學生與產業界間連結度。
教學,提升實作能力,呈現、檢核或評估實作成果,廉政深耕與世界創新,,,,強化廉政研究：每年系上新生代論文發表，可結合研究方法課程，將廉政相關議題納入發表內容，使同學們對於廉政議題更加認識。大專生科技部計畫，亦可鼓勵同學從事廉政相關議題研究，增加同學對於廉政相關研究投入。學生可透過課程、實習、培訓及論文發表等多方管道，將理論與實務結合，發揮最大效益。
教學,提升實作能力,建立/強化實習制度,學校優勢特色,,,,鼓勵系所開設實習課程，協助與實務接軌。
教學,提升實作能力,建立/強化實習制度,廉政深耕與世界創新,,,,擴大廉政相關機關實習機會：針對目前大三實習課程進行拓展，增加同學至廉政相關業務單位實習或學習的機會。
教學,數位化,教材雲端化,廉政深耕與世界創新,,,,創新廉政課程：透過廉政專題課程，以線上非同步錄影課程，增加同學們與外界新的學習管道。另外增設廉政創新實驗課程，透過課程進行與學習，由同學們親自參與思考未來廉政的創新作為與具體改進方向，並提出具體建議，並放入國發會JOIN平台提案。
教學,博雅教育,服務學習,社團服務教育,,,,本校將透過服務性社團的推動，開展社會服務及教育。
教學,博雅教育,其他,性別平等教育,,,,本校將持續透過實際走班教授，內容含括：性別平等教育法之歷史與脈絡、性別氣質、LGBTI（Lesbian，Gay，Bisexual，Transgender and Intersex）多元性別與性霸凌防治、性別平等教育課程與教學、校園性騷擾防治、校園性侵害防治，均詳細說明教案之概念、法律知識、教學方法與參考資源等。期能將各教案研發成果推廣至各大專院校，作為推動性別平等教育法及校園性別事件防治工作之參考。
教學,博雅教育,其他,法治觀念教育透過多元化的推廣方式,,,,例如：戲劇、影片拍攝等，可使學生釐清所學之法律概念，更可強化學生領導、組織及動員之能力。本校法學院持續「法律扶助」並發行「世新法訊」，協助解決法律問題並傳達法律基礎知識與法律變革等重要議題。每月辦理「法律扶助」，講者為本院專任教師，講題以新聞時事為主。
教學,博雅教育,其他,廉政深耕與世界創新,,,,審視現有與廉政深耕較具關聯性之課程，強化課程內容結合相關觀念。
教學,培育創新創業人才,其他創業輔導及補助,構築創客創業力,,,,極力塑造創新創客空間，供師生揮灑創意、邁向創業。例如，觀光學系「結合創客空間（Maker Space）鼓勵創新實踐計畫」發展出對應之行動方案將包括搭建旅遊創客環境空間、開發旅遊創客學習課程、培育旅遊創客人才隊伍、孵化旅遊實踐平台，以及落實行銷推廣傳播等。此外，隨各類網紅、直播客等自媒體盛行，資傳系「自媒體創客基地：資訊設計虛擬棚計畫」，將為資訊設計實驗室逐步添購虛擬攝影器材，並教導學生透過影棚自製網路作品，奠定日後網路媒體創業的基礎。
教學,培育創新創業人才,其他創業輔導及補助,構築創客創業力,,,,例如，傳管系「打造行動應用與社群協力之共創」以及「創意商品研發與專利商品申請之學習」計畫，為發展系所特色，並串聯傳播、創業、行銷之創新機制規劃。
教學,培育創新創業人才,其他創業輔導及補助,打造創新創業創客場域,,,,本校創客園區以STEAM教育思想為導向，建構開放學習的自造者環境，讓學生創意成為驅動未來競爭力的核心力量，規劃107學年度第二學期於全媒體大樓4樓建置「創客創業專區」。
教學,就業力,就業博覽會,接軌職場就業力,,,,整合校內多項職涯領航措施，推廣及落實UCAN平台的使用。UCAN由產業需求出發以職能為導向，應用此平台帶領學生探索職涯及能力，並藉測驗結果輔導學生擬定自我學習計畫，並培養與就讀科系串聯之就業職能。
教學,就業力,就業博覽會,強化弱勢學生輔導機制,,,,從探索自我、強化自我、呈現自我及表達自我等面向，完整規劃一系列的職涯課程，並鼓勵學生主動積極，促進多元的交流與互動。也將由職涯導師進行一對一晤談，更能著重於自身特質來規劃生職涯發展。
教學,其他,跨校學習資源整合與共享,化育教學創新力,,,,將具體反映在教學設施、平台的統籌、規劃與指導人員的完備上。此面向將透過本校教學卓越中心「創新教學資源啟動器」機制，統籌實施創新教學模式，充實專業設備。另建置「全媒體大樓」是本校五年內之重要發展目標，故此，「全媒體」概念將貫穿全校教學資源應用。
