構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,課程外審,數位碩士課程,,,,將碩士課程送教育部遠距教學交流暨認證網進行數位學習認證，包含研究方法、量化分析及質化分析等
教學,提高學習自由度及彈性,微學分（彈性學分）,數位碩士課程,,,,認證完畢後繼續於新媒體推展中心進一步執行課程錄製及課程導入，無法進行數位認證的碩士班課程則將以微學分及沉浸式之教學型態進行非同步線上及實體面授等方式進行教學。
教學,提高學習自由度及彈性,微學分（彈性學分）,高中多元探索式課程,,,,未來開設彈性選修課程並進行校際間的跨校選修，課程的設計上亦配合未來教師概念開設微學分課程，以達高教商管課程再深耕等創新教學特色。
教學,人才國際化,增進外語能力,建立「Future Bank」金融實驗基地,,,,基礎通識課程中關於語言類之英語及第二外國語課程，106-1學年度開設的第二外國語課程包含日文、德文、韓文及西班牙文
教學,人才國際化,交換學生,建立「Future Bank」金融實驗基地,,,,海外微留學計畫，本校鼓勵同學進行海外微留學計畫，學生可自由前往海外姊妹校研修課程並進行文化交流，回國後將可抵認學分
教學,人才國際化,交換學生,建立「Future Bank」金融實驗基地,,,,設立國際語言促進中心，藉由此中心推廣校內國際語言文化訓練及學生赴海外寒暑期遊學活動、提供外籍學生生活輔導與諮詢及提供學生留學資訊與諮詢服務等
教學,人才國際化,推動英語授課/全英語學程,建立「Future Bank」金融實驗基地,,,,每週由外籍師資於中信傳習課程中安排全英的國際政經趨勢講座，該講座之教材為當週國際間發生之財務、經濟、政治及法律等相關之議題
教學,人才國際化,推動英語授課/全英語學程,建立「Future Bank」金融實驗基地,,,,專業必選修由外籍或本國籍師資開設全英文授課課程，106-1學年度開設的全英課程包含國際經貿情勢、數位金融創新商品、金 融科技與創新、行銷管理、行動商務、英美契約法、英美法專題、普通法法律體 系及領導與溝通等
教學,人才國際化,推動英語授課/全英語學程,建立「Future Bank」金融實驗基地,,,,開設全英語授課的學分學程，包含國際金融學分學程（Program in International Finance）、金融行銷學分學程（Program in Financial Services Marketing）及國際法律專業學分學程（Program in International and American Legal Studies）等
教學,人才國際化,生源國際化（及其配套措施）,境外專班,,,,本計畫所欲設立之境外專班是以海外金融實習基地作為延伸，利用海外實習基地所具備之專業師資與實務課程作為誘因，吸引當地人士就讀。
教學,人才國際化,招聘外籍老師（或邀請授課）,數位通識博雅及體驗課程,,,,本校將搭配營隊式英語，外籍師資將教學場域拉到台江國家公園進行解說員及志工之英文培訓
教學,提升實作能力,提升教師實務能力,建置教師海外教學研習機制。,,,,將建立海外師資培訓基地，以培訓具有3M（Motive、Mobility、Multimedia）之Future teacher為目標
教學,提升實作能力,提升教師實務能力,建置教師海外教學研習機制。,,,,海外師資培訓基地除將建置專業多媒體數位教材製作設備外，將規劃完整的軟硬體訓練課程，並提供教學範例與指導，協助教師製作專業多媒體數位教材運用在教學上。
教學,提升實作能力,提升教師實務能力,建置教師海外教學研習機制。,,,,學校也將聘請專業教材製作技指導人員，協助解決老師發展課程與教材時技術上的難題。
教學,提升實作能力,提升教師實務能力,建置教師海外教學研習機制。,,,,將每年選送教師前往海外師資培訓基地，進行海外教學見習，累積跨國多元教學經驗，目標每位教師將於3年內累積至少1個以上海外教學見習經驗。
教學,提升實作能力,提升教師實務能力,建置教師海外教學研習機制。,,,,由當地業界師資設計規劃專業課程，供教師研習培訓，提升專業知能，並與國際學者交流，增進學術能量。
教學,數位化,教材雲端化,建置金融數位教材,,,,本校將建置e化教材編制設備，結合教師專業及資訊科技，積極將金融相關課本內容進行數位化、模組化、及行動化
教學,數位化,教材雲端化,建置與編撰專業數位教材,,,,本校將建置e化教材編制設備，結合教師專業及資訊科技，積極將教材內容進行數位化、模組化及行動化，提升教學的適用性及增進學生學習成效。
教學,數位化,數位教學創新,新媒體推展中心,,,,由新媒體專案團隊與授課教師勾勒出教材之知識地圖（或稱為教材模組）。
教學,數位化,數位教學創新,新媒體推展中心,,,,由授課教師提供素材，課程素材包含案例、投影片、圖表及影音。
教學,數位化,數位教學創新,新媒體推展中心,,,,與新媒體專案團隊共同討論文本的詮釋。
教學,數位化,數位教學創新,新媒體推展中心,,,,後續再進入腳本的撰寫及設計。
教學,數位化,數位教學創新,數位題庫建置,,,,未來數位題庫的開發將由授課教師負責命題、挑題及解題並透過新媒體專案團隊進行美術製圖或將題庫素材進行錄製整合。
教學,數位化,數位教學創新,打造未來教師（future mentor）」,,,,利用觸控投影技術、網路廣播技術及數位錄播技術，提供學生情境體驗學習環境、跨場域的學習空間及師生數位教學探索等，打破時間及空間之隔閡。
教學,數位化,數位教學創新,境外專班,,,,每門課將以專題及個案教學為主，搭配線上學習課程，同時建置線上交流平台供師生即時互動，充實課程學術及實務內涵，強化本校與國際接軌之辦學特色。
教學,資訊力,開設程式設計課程,建置金融數位教材,,,,為培育「數位金融人才」，本校已增設與FinTech密切相關的金融實務課程，如『APP實務製作』課程，增進學生對邏輯運算思維及程式設計之基本認知，提升學生跨領域及實作能力
教學,博雅教育,辦理藝術展覽或藝文活動,數位通識博雅及體驗課程,,,,本校中信樂團師生持續擴大結合臺南市政府或中信文教基金會舉辦新舞臺藝術節活動、中信棒球隊師生持續擴大結合臺南市政府第二官方語辦公室合辦「瘋棒球學英語」等跨域結合的活動。
教學,博雅教育,辦理藝術展覽或藝文活動,數位通識博雅及體驗課程,,,,本校將與台江國家公園及鹿耳門天后宮規劃運動賽事，一方面藉由運動賽事串接地方熱點活化地方創生，另一方面可增加師生間情感交流並達到體適能發展。
教學,博雅教育,服務學習,數位通識博雅及體驗課程,,,,本校未來將持續結合鄰近的台江國家公園發展環境教育及自然與人文保育等服務學習課程，並帶領本校學生團隊執行台江濕地學校的課程服務及導覽。
教學,其他,跨校學習資源整合與共享,建立「Future Bank」金融實驗基地,,,,本校與中信金控共同合作規劃活化校內空間及研究能量，結合學術研究或課程教學，規劃校內空間預定使用本校教學大樓「中信館」作為「Future Bank」專業實驗基地並購置軟硬體設備
教學,其他,跨校學習資源整合與共享,建置軟硬體設備,,,,本校結合產學合作夥伴中信金控之軟硬體資源，以「無人銀行」為導向，建置自動化智慧金融服務系統
教學,其他,跨校學習資源整合與共享,建置軟硬體設備,,,,透過後端資訊系統分析與資訊科技整合，如人工智慧（大數據分析、資料探勘、機器學習）、雲端計算等建立跨時域之「動態理財諮詢」，讓金融機構的服務據點不再侷限於實體分行內。
教學,其他,跨校學習資源整合與共享,規劃建置金融實務驗證模式,,,,本校將結合「Future Bank」未來銀行實習場域之軟硬體資源與產學合作夥伴，規劃建置國際金融實務驗證中心
研究,其他,培育研究型人才,建置軟硬體設備，強化海外金融實務學習。,,,,本校規劃以海外實習基地為基底，建置財金相關軟硬體，讓學生可在海外實習基地中藉由實務操作
