構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,組織教師成長社群，激發教師教學創新,,,,提升中文課程教學創新：中文教師組成「閱讀與寫作」教學創新知能工作小組，並舉辦相關教學創新能量工作坊，分「閱讀組」與「寫作組」兩部分，辦理演講、討論與觀摩等工作坊活動，激發教師個人教學創新潛能。
教學,強化教學品質,推廣創新教學模式,從想到做的培育搖籃-創客中心,,,,"問題導向學習（Problem Based Learning, PBL）模式。"
教學,強化教學品質,推廣創新教學模式,未來學院明日知識育成,,,,研發新課程與科研項目，協助培育並設立具先導型特色跨領域碩士學位學程。
教學,強化教學品質,推廣創新教學模式,融入師資培育課程，培養21世紀關鍵能力：教育學院,,,,PBL融入「教育心理學」。
教學,強化教學品質,推廣創新教學模式,融入師資培育課程，培養21世紀關鍵能力：教育學院,,,,PBL融入「班級經營」。
教學,強化教學品質,推廣創新教學模式,融入師資培育課程，培養21世紀關鍵能力：教育學院,,,,PBL融入「輔導原理與實務」。
教學,強化教學品質,推廣創新教學模式,理學院：跨域科普傳播學習，服務社區基礎教育,,,,創新課程模式：規劃共同課程、工作坊、場域實踐及聯合成果發表等，結合翻轉教室與線上課程，凝聚教師課群共識力量，刺激學生學習興趣，開啟多方潛能。
教學,強化教學品質,訂定核心能力，規劃課程地圖,理性思辨能力培養,,,,發展課程內容，以2小時為一個單元課程，第一年目標為12小時共6個單元課程，由教師與學生組成課程發展小組，並將課程內容製作為教案。
教學,強化教學品質,訂定核心能力，規劃課程地圖,「涵養中華文化教學計畫」：新聞傳播學院,,,,107學年度起，於大學部開設相關課程。
教學,強化教學品質,強化課程內容,紮根程式教育，培養學生具備運用程式語言能力,,,,投入教學助理等輔導資源，強化程式設計相關課程的教學品質。
教學,強化教學品質,強化課程內容,融合勞動學科知識架構，創新跨域課程，優化多元教學,,,,大學部異動必修科目表，精進教學內容：大學部以學籍分組，分設勞資關係組及人力資源組，宜專業取向，精進教學內容。
教學,強化教學品質,調整課程規劃,組織教師成長社群，激發教師教學創新,,,,強化師生參與及教師觀摩：藉由參與跨領域教師社群之契機，得將活動期間與不同領域教師之磨和、衝突、溝通協調等經驗融入教學內容，與學生分享，並鼓勵教師於社群活動結束後規劃課程時，讓學生共同參與，引導學生思考如何調整課程內容，以提升學生學習動機。
教學,強化教學品質,調整課程規劃,「涵養中華文化，落實於教學與課程」計畫：社會科學院,,,,中國政治思想史：上學期專講先秦政治思想，而下學期則為由秦至清的政治思想。
教學,強化教學品質,調整課程規劃,「涵養中華文化，落實於教學與課程」計畫：社會科學院,,,,政思特色教學：如制度性的《周官》、《通典》，史著性的《史記》、《資治通鑑》、《御覽資治通鑑》，行管類的《人物志》和經濟類的《鹽鐵論》等等。
教學,強化教學品質,調整課程規劃,融合勞動學科知識架構，創新跨域課程，優化多元教學,,,,依研究方法，選擇政策議題，突破現有知識框架：與個體主義研究方法論有關之「四十工時制」及勞動派遣立法；與集體主義研究方法論有關之勞工保險年金改革及最低工資立法。
教學,強化教學品質,培育優良教學助教/人力,紮根程式教育，培養學生具備運用程式語言能力,,,,籌組發展運算思維課程資訊教學支援團隊，協助非資訊學系教師。
教學,強化教學品質,教師專業分享輔導機制,改善教學評鑑機制，提升教學質量,,,,持續進行教學評量不佳教師輔導：評量不佳教師100%輔導率，輔導成功率達80%以上。
教學,強化教學品質,教師專業分享輔導機制,改善教學評鑑機制，提升教學質量,,,,增設各學院教師面談機制：針對教學上面臨困難或需要協助之教師，提供專業面談或諮商，提升本校教師教學專業品質。
教學,強化教學品質,教師專業分享輔導機制,組織教師成長社群，激發教師教學創新,,,,組成跨領域教師成長社群：除鼓勵教師自行申請成立「跨領域教師專業成長社群」外，另擬由本校教學資源中心協調曾獲教學創新及教材研發獎勵之教師，以及曾獲獎勵籌組教師社群之教師，協同組成跨領域教師成長社群，透過跨領域社群活動，讓不同領域教師互相分享教案設計及教學過程。
教學,強化教學品質,教師專業分享輔導機制,紮根程式教育，培養學生具備運用程式語言能力,,,,成立運算思維教學主題的教師專業成長社群，定期交流、討論。
教學,強化教學品質,教師專業分享輔導機制,外語學院：服務社區第二外語教學，推廣國際文化學習與認識,,,,定期舉辦教學現場檢討與精進講座：邀請任課師資舉辦現場教學檢討講座及國高中小學教師教學經驗分享。
教學,強化教學品質,教師專業分享輔導機制,培育韓語教師，深根第二外語教育,,,,韓語教師培訓課程規劃：強化教育領域課程，如教學法、教材設計、教學評價、教學實習等。
教學,強化教學品質,教師專業分享輔導機制,培育韓語教師，深根第二外語教育,,,,訂定第二外語實習教師之甄選與派遣機制：韓語教師訓練具體化，並對高中第二外語韓語師資派遣，訂定甄選計畫。
教學,強化教學品質,教師專業分享輔導機制,培育韓語教師，深根第二外語教育,,,,舉行韓國語教育講座，邀請韓語教育專業人士來台講座，提高韓語師資專業性與課程品質。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學評鑑機制，提升教學質量,,,,定期檢視評量方法，健全公平且有效之教學評鑑機制：針對歷年教學評量相關資料，參考國內、外學校作法，定期檢視評量方法，健全公平且有效之教學評鑑機制。
教學,強化教學品質,健全教學獎勵制度,檢驗獎勵教學特優與教學創新之成效,,,,依「教師教學創新暨教材研發獎勵要點」鼓勵教師教學創新，及定期舉辦「教學創新暨教材研發獎勵經驗分享」相關活動。期能帶動本校教師發展更具創意的教學方法，以及更具效能的教材研發，增進教與學的成長，提升老師教學品質，注入教學能量。
教學,強化教學品質,建立教學改善回饋系統,學生基本能力檢測,,,,追蹤分析：自106學年起逐年以「大學生基本素養測驗」量測分數做前後測相比。此方法較精確，但須較久時間才能獲得評量結果。
教學,強化教學品質,建立教學改善回饋系統,學生基本能力檢測,,,,Cohort比較：依入學管道對照同一學年的大四和大一學生入學時之背景資料做進一步配對，形成可供比較的學生群體，進行基本能力比較分析。
教學,強化教學品質,建立教學改善回饋系統,學生專業能力檢核,,,,運用Rubrics工具對全校各各學系、所、學位學程之應屆畢業生進行專業核心能力施測，鑑別學生學習成果。檢核成果回饋到系所課程開設檢討。
教學,強化教學品質,建立教學改善回饋系統,學生專業能力檢核,,,,將師資培育中心原有的評量教師訓練之Rubrics檢核指標進行改良，再由各系所依照其原定的核心能力改編為可運用Rubrics進行測量之評量指標，該指標同時也是各系所學位學程期望學生於畢業前應具有的專業能力。
教學,強化教學品質,建立教學改善回饋系統,分析教學評量與教學回饋之結果,,,,透過教學回饋結果、教師學術專長及教學大綱，交叉檢視教師學術專長與其授課內容是否相符，進一步完善學生學習品保機制。
教學,強化教學品質,建立教學改善回饋系統,強化社團學習型組織領導與經營,,,,針對學習型組織幹部研習營核心能力制訂前、後測問卷，於活動前後進行施測，以利事後進行差異性分析，獲得核心能力平均成長率。
教學,強化教學品質,建立教學改善回饋系統,深化全人教育與課外自主學習,,,,導入校務研究，分析全人學習護照執行成效：針對學生進行群組屬性參與度之相關數據分析，以了解參與學習活動達成學習成效之情形。另外，透過未達成原因資料之蒐集，與原有之資料進行分析研究，找出學習延遲之關鍵因素，以採取相關之輔導措施或調整行政策略，提升學生自主學習意願。
教學,強化教學品質,建立教學改善回饋系統,外語學院：服務社區第二外語教學，推廣國際文化學習與認識,,,,
教學,強化教學品質,建立教學改善回饋系統,培育韓語教師，深根第二外語教育,,,,與開設第二外語韓語課程之高中保持緊密連結：經由每年度派遣教師的回饋報告以及學校拜訪等，掌握派遣成效。
教學,強化教學品質,建立教學改善回饋系統,基於校務資料支援教學創新，提升學習品質（呼應A計畫）,,,,以資料探勘的模式進行協助，提供各系所學生學習模式特性，以做為系所發展策略擬定之參考。
教學,強化教學品質,提升教師群專業度,促進弱勢學生心理健康,,,,提昇輔導老師對弱勢學生的輔導知能：定期舉辦個案研討會、研習與職能講座，增進其危機處理能力與基礎心理輔導能力。
教學,跨領域學習,規劃跨領域學位（分）學程,全校開設跨領域專長，提高選課自由度,,,,因應時代脈動與社會需求快速變動，並結合本校系所多元發展之特色，自106學年度起入學之新生須全面跨領域學習。
教學,跨領域學習,規劃跨領域學位（分）學程,企業法務人才跨域培育：法學院,,,,結合企業創新與管理法制，創造就業競爭力：持續辦理金融法研討會及企業創新暨管理法制研討，增設企業創新第二專長學分學程。
