構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,寶可夢power up計畫：深化中山醫百分百,,,,透過行政管道與社團活動，積極宣傳深化醫能百分百計畫，課外學習活動將分為原有的多元課程與系列課程，將現有的多元課程進行深化與提升，採延續性與深化課程內涵的方式進行系列課程的編排。
教學,強化教學品質,推廣創新教學模式,培養食安及摻偽檢測之跨領域專業能力,,,,以學院為核心，配合學校推動IPE教學創新模式，選擇可導入示範之IPE教學課程，協助提供教學資源並培育IPE教學師資，進而導入食安及摻偽檢測相關學程課程，提升學生學習成效。
教學,強化教學品質,訂定核心能力，規劃課程地圖,雙P導向學習（dPBL）計畫-提升基礎研究轉譯價值,,,,各系建立以「目標（產品）導向式學習/Project（product）-based learning/dPBL」為模組之學習架構，以及相關法規之增設，達成此一目的。
教學,強化教學品質,推廣創新教學模式,推廣魔毯計畫、推動醫學教育翻轉教學及沐課課程,,,,訂定翻轉教學標準作業流程，提供教師入門與單位參考：只有在第一線的老師才知道學生真正的問題與需求，但推動翻轉教學若能有一套優良的課程架構與SOP，對有意推動的新手教師可易於上手。
教學,強化教學品質,推廣創新教學模式,學思達教學法於醫學教育之應用,,,,以「口腔胚胎與組織學」為例，以自製的「學思達講義」補充課本不足之資料、補充更多課外資料、設計問答題，並加入相關的人文知識，期望增加學生的人文素養、提高學生學習動機。此外，在講義中設計幾個學思達式的問題，由淺入深，由基礎而臨床，讓學生除了在記憶之外，也能多一點思考與理解。
教學,強化教學品質,推廣創新教學模式,學思達教學法於醫學教育之應用,,,,在小組討論方面，除了會針對每一章節中，學思達講義的提問讓同學回答之外，同時會有特別設計的問題討論單，讓同學思考並上台發言表達。
教學,強化教學品質,推廣創新教學模式,學思達教學法於醫學教育之應用,,,,此外，還會在沐課網站放上與課程相關的影片，讓學生從影片中思考問題。題目設計的原則是融合正課與實驗課（組織切片）的整體統合知識，加上臨床應用與醫學人文的內涵，並以輕鬆、寓教於樂的方式進行，例如加入單字遊戲的 crossword puzzle 與 word search 來幫助學生記單字；以融入醫學人文、結合歷史文化、以及與日常生活結合的方式呈現於小組討論單上，使小組討論除了整合學過的知識之外，也能有多元的討論。
教學,強化教學品質,推廣創新教學模式,共創中山醫學大學/逢甲大學之智慧健康學院,,,,"由逢甲大學提供技能基礎相關課程，中山醫學大學支援場域實作訓練，透過問題導向或專案研究的學習指導（Project/Problem-Based Learning, PBL），培養學生運用新興科技知識於健康醫護領域的能力，造福醫療、照護、科技、新創等產業。"
教學,強化教學品質,推廣創新教學模式,居家醫療計畫，牙醫到宅服務（USR）,,,,採用學思達翻轉教學：開設的課程採學思達翻轉教學法理念，自製的講義作為授課內容，先讓學生瞭解到宅牙醫的理念、概念、基礎知識，再以見習的方式到病人家中實際看診，加深學生印象。在操作課程中，會讓學生分組互相練習並加以評分，使學生能熟悉操作技巧。
教學,強化教學品質,訂定核心能力，規劃課程地圖,跨領域學程三創化-創新、創意、創業,,,,建立雙軌學程課程規劃與管理機制：為確保課程規劃與核心能力呼應：「內軌」則是將整個學程的課程大綱送內部審查；「外軌」即為將整個學程大綱、進度表送外部審查。本校「標準化課程大綱」完整涵蓋課程目標、核心能力、教學方法與評量方式，各課程必須通過系級、院級課程委員會審議，並經校級課程委員會核備後，進行線上系統維護。
教學,強化教學品質,訂定核心能力，規劃課程地圖,深耕醫學核心課程-八大行星計畫,,,,持續推動及整合院級核心課程，透過方案推動小組的有效運作，進行階段性八大基礎課程統合，包含基礎科學、基礎醫學科學以及程式語言。除整合各系課程授課內容外，設計全新的基礎科學內容及教材，並將程式語言納入本校基礎課程擴大成新八大課程。舉辦共識營/跨校研討會，進行課程內容重檢強化並反芻師生之回饋意見，以持續完成課程優化統合。
教學,強化教學品質,訂定核心能力，規劃課程地圖,深耕醫學核心課程-八大行星計畫,,,,八大基礎課程設計小組進行階段性課程統合：每一個基礎課程，各自成立課程設計小組，每小組推選一位召集人，各組負責課程綱要、課程內容的設計。
