構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,厚實創新創意跨域學習能力，提升創意成果品質與商業可行性,,,,課程導入設計思考，以議題式的實作討論活動或創意思考相關課程規劃。
教學,強化教學品質,推廣創新教學模式,社會參與式實踐課程方案,,,,整合「問題導向學習」、「個案教學」及「設計中學」等創新教學模式，其中包括規劃智慧製造跨域課程模組、商業基礎與創新商業模式課程模組、廢料創新產業共生課程模組等，並將課程成果連結到產業與社區實踐。
教學,強化教學品質,訂定核心能力，規劃課程地圖,工學院核心跨領域課程,,,,規劃以數學能力、物理能力及實作能力三項作為學生須達成之核心能力。
教學,強化教學品質,訂定核心能力，規劃課程地圖,人文社會學院核心跨領域課程,,,,推動以「實用日文學程」、「就業英文學程」、「行政管理實務」為核心之課程整合。
教學,強化教學品質,培育優良教學助教/人力,X-Generation計畫－支援X世代教師國際參與,,,,邀請國際生擔任教學助理。
教學,強化教學品質,教師專業分享輔導機制,成立教師專業成長社群,,,,包含跨院體驗課程、議題導向（PBL）、跨領域學程等相關教師專業成長社群。
教學,強化教學品質,教師專業分享輔導機制,i-Care學生生活型態及教師專業社群巨量資料分析,,,,成立教師專業社群，藉此進行教學及輔導的經驗分享，並將互動成果提供適當的適性化教學及輔導機制、落實教學創新及提升教學品質。
教學,強化教學品質,教師專業分享輔導機制,基礎級札根學習,,,,成立程式設計教師社群，建立教師交流機制。
教學,強化教學品質,教師專業分享輔導機制,進階級加深加廣學習,,,,成立MOOCs教師社群，建立MOOCs教師成長團體。
教學,強化教學品質,教師專業分享輔導機制,五加二新創重點產業跨領域就業學程,,,,成立跨領域就業學程教師成長社群。
教學,強化教學品質,教師專業分享輔導機制,工學院核心跨領域課程,,,,定時召開微積分授課教師會議，分享教學方式及討論教學進度。
教學,強化教學品質,教師專業分享輔導機制,強化教師教學研究有出口及學生學習有出路之發展,,,,辦理三創教師研習會或工作坊：每學期透過創新創意中心與創新創業中心分別舉辦藉各類型與創意創業領域相關之三創研習活動。
教學,強化教學品質,教師專業分享輔導機制,辦理新進教師研習,,,,舉辦新進教師教學知能研討。
