構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,推動程式語言及數位應用課程/學程,,,,以「千塘之鄉」的桃園地方文化資產為創作素材，採取問題導向、創意啟發與創客創新的創新教學方法。
教學,強化教學品質,推廣創新教學模式,強化學生溝通與表述力,,,,以「敘事」、「議題」為主軸的專題講授方式，引導學生進行思辨討論。
教學,強化教學品質,推廣創新教學模式,強化學生溝通與表述力,,,,於課程中設置議題之引導討論。
教學,強化教學品質,推廣創新教學模式,落實教師多元升等,,,,引導元智教師持續研發創新教學方法。
教學,強化教學品質,推廣創新教學模式,任務導向跨領域榮譽學程,,,,榮譽學程以任務導向學習（Purpose Learning）及設計導向學習（Design Thinking）概念出發。
教學,強化教學品質,推廣創新教學模式,以產業與研究中心為核心的跨領域學程,,,,預計將強化設計思考與創新相關基礎課程，聚焦重點產業，針對實務問題培養學生實作解決方案。
教學,強化教學品質,訂定核心能力，規劃課程地圖,國際認證教學品保,,,,定期檢視校院系的教育目標與核心能力，並依國際情勢與社會產業需求及各系特色，修訂課程架構。
教學,強化教學品質,強化課程內容,翻轉語文,,,,課程架構修訂：修訂課程目標、研議修課規則等等，帶動課程教材教法的變革。
教學,強化教學品質,培育優良教學助教/人力,強化學生溝通與表述力,,,,訓練敘事教學之助教。
教學,強化教學品質,培育優良教學助教/人力,國際認證教學品保,,,,制定「教學助理制度實施辦法」，於專業課程配置助教，辦法中明確規範教學助理之運作、分類、培訓、考核與獎勵制度等。
教學,強化教學品質,教師專業分享輔導機制,數位教學支援,,,,辦理VR/AR教師工作坊與邀請具經驗教師進行教學經驗分享。
教學,強化教學品質,教師專業分享輔導機制,通識履學典創豐行,,,,建立課群合作機制：藉由教師間的相互聯繫與合作，將通識課程由點狀課程聯結為線狀課程。
教學,強化教學品質,教師專業分享輔導機制,強化學生溝通與表述力,,,,將核心教師群擴大為包含教師與助教之「敘事教學團隊」，進行教材共備、教師增能等案之規劃與執行。
教學,強化教學品質,教師專業分享輔導機制,教師教學成長協助,,,,創意教學風雲會：邀請校內外知名講者為教師帶來最新的教學議題，分享各種教學經驗。
教學,強化教學品質,教師專業分享輔導機制,教師教學成長協助,,,,教學創新解密工作坊：邀請各領域講者以工作坊帶領本校教師探討教學議題、促進教師教學交流與自主學習，並增加互動、操作及討論。
教學,強化教學品質,教師專業分享輔導機制,教師教學成長協助,,,,支持跨領域教師社群，利用「主題式」的方式探討各項議題。
教學,強化教學品質,教師專業分享輔導機制,教師教學成長協助,,,,邀請校內外專家學者分享、參訪、研習營、共同教學或互相觀課等方式，提升教師教學品質。
教學,強化教學品質,教師專業分享輔導機制,教師教學成長協助,,,,藉由教學技巧研習、經驗傳承、工作坊等形式，補助社群內教師辦理與課程改革相關活動。
教學,強化教學品質,教師專業分享輔導機制,教師教學成長協助,,,,教師創新教學電子出版：鼓勵教師投稿教學創新思維、創意教學實務、創新課程設計、多元教學等相關議題。依各期主題由學院輪流主辦，或以研討會邀稿方式，再集合成論文集出版。
教學,強化教學品質,教師專業分享輔導機制,落實教師多元升等,,,,設置專責單位透過辦理相關工作坊協助教師申請教師教學實踐研究計畫。
教學,強化教學品質,教師專業分享輔導機制,任務導向跨領域榮譽學程,,,,交換教師。
教學,強化教學品質,教師專業分享輔導機制,任務導向跨領域榮譽學程,,,,舉辦跨領域教學工作坊、英語創新教學工作坊、教師海外研修專案。
教學,強化教學品質,教師專業分享輔導機制,國際名校教研合作,,,,舉辦教學研究工作坊。
教學,強化教學品質,教師專業分享輔導機制,國際名校教研合作,,,,教學觀摩：本校教授也前往香港大學共同教授4門語言學或語言學習相關課程，也觀摩該國際大學授課方式。
教學,強化教學品質,教師專業分享輔導機制,教師國際化教研培力,,,,舉辦英語授課工作坊，邀請國際專業導師（Mentor）個別指導。
教學,強化教學品質,教師專業分享輔導機制,教師國際化教研培力,,,,規劃跨領域創新教師社群，觀摩美國史丹佛大學d.school、MIT media lab、Google、Facebook。
教學,強化教學品質,教師專業分享輔導機制,教師國際化教研培力,,,,參加美國聖母大學國際科技創業工作坊，將跨域創新創業教育模式移植到元智發展。
教學,強化教學品質,教師專業分享輔導機制,積極延攬國內外優秀人才,,,,教師成長：舉辦新進教師研究啟動扶助、各類進修研習活動、國際學術會議補助、教師休假研究進修、授課鐘點折抵等。
教學,強化教學品質,健全教師（學）評鑑制度,落實教師多元升等,,,,建立教學導向的考核制度。
教學,強化教學品質,健全教師（學）評鑑制度,國際認證教學品保,,,,自辦外部系所自我評鑑。
教學,強化教學品質,推動多元升等,數位教學支援,,,,鼓勵教師採取適當的研究方法與評量工具，檢證學生的學習成效，除了成果歷程可用於教學研究發表外，更可作為教學研究升等之基礎。
教學,強化教學品質,推動多元升等,落實教師多元升等,,,,除原有之學術研究升等外，另規劃教學研究及產學研究升等條件。
教學,強化教學品質,推動多元升等,落實教師多元升等,,,,落實教師分流計畫。
教學,強化教學品質,推動多元升等,積極延攬國內外優秀人才,,,,落實教師多元升等：透過年度績效成果主動發掘或遴聘具教學創新潛力或具產學實務能量之教師，並階段性導引教師以教學研究（實務）或應用研究成果辦理升等。
教學,強化教學品質,推動多元升等,制度法規鬆綁,,,,積極推動多元升等制度。
教學,強化教學品質,健全教學獎勵制度,教學精進專案,,,,針對數位學習、共時授課與創客課程亦提供1.3至1.5倍不等的鐘點費，老師可以選擇支領額外超鐘點費，或以相同的時數折抵基本上課時數。
教學,強化教學品質,健全教學獎勵制度,教學精進專案,,,,優先補助以下四項類別之課程：教學模式類（個案教學/共時授課/各種教學方法之新結合）、教學成果類（實作作品/競賽/戲劇/展演）、新興推廣類（微課程/自主學習/創新創意/議題導向實作/創客/AR與VR）、教材發展類（自編教材）。
教學,強化教學品質,健全教學獎勵制度,教師獎勵制度,,,,教師績效獎勵於「教學」項目之獎勵評核分為「傑出」、「特優」、「優」三等級，並依其等第分別核發獎勵金，全校教學傑出獎每年至多5名，最高獎金10萬元。
教學,強化教學品質,健全教學獎勵制度,教師獎勵制度,,,,設立創新教學獎勵辦法鼓勵教師。教學創新獎每年至多6名，最高獎金10萬元。
教學,強化教學品質,健全教學獎勵制度,任務導向跨領域榮譽學程,,,,邀請校內跨領域專長教學研究傑出教師加入授課團隊，教師授課鐘點以1.5倍計算。
教學,強化教學品質,健全教學獎勵制度,積極延攬國內外優秀人才,,,,彈性薪資：訂定「彈性薪資實施辦法」，延攬國內外優秀學者，亦獎勵本校績效表現優異之教師，並以「元智大學教師發展與獎勵階梯」為依據，分級核發彈性薪資。
教學,強化教學品質,健全教學獎勵制度,積極延攬國內外優秀人才,,,,晉升階梯：建立完善的教師發展階梯制度，從青年學者獎，到各領域傑出教授選拔，接續各類講座教授選聘等。
教學,強化教學品質,健全教學獎勵制度,積極延攬國內外優秀人才,,,,依教師在教學、研究、輔導暨服務之績效評核結果核發教師績效獎金。
教學,強化教學品質,健全教學獎勵制度,積極延攬國內外優秀人才,,,,額外核發元智津貼，吸引國內外學者進駐。
教學,強化教學品質,減輕教師教學負擔,教學精進專案,,,,以學年為單位，讓老師有更高的彈性調整每學期授課鐘點時數。
教學,強化教學品質,減輕教師教學負擔,持續調降生師比,,,,積極延攬國內外優秀人才及年輕學者。
教學,強化教學品質,減輕教師教學負擔,持續調降生師比,,,,輔導優秀客座/兼任教師轉聘為專任或專案教師。
教學,強化教學品質,減輕教師教學負擔,彈性調整專兼任教師結構,,,,以多元創新為導向，調整院系專兼任教師比例。
教學,強化教學品質,減輕教師教學負擔,彈性調整專兼任教師結構,,,,依院系所特性檢討兼任教師聘用之合理性。
教學,強化教學品質,建立教學改善回饋系統,數位教學支援,,,,經過提案教師實際應用於課程後進行測試、修改並評估學習效益。
教學,強化教學品質,建立教學改善回饋系統,落實教師多元升等,,,,與本校校務研究中心合作，規劃校務研究資料庫長期建立學生學習相關指標、掌握學生學習成效。
教學,強化教學品質,建立教學改善回饋系統,國際認證教學品保,,,,運用問卷調查結果，改善學生核心能力雷達圖。
教學,強化教學品質,建立教學改善回饋系統,國際認證教學品保,,,,從核心能力與實際授課情形相符度來對照，可作為教師教學增進參考。
教學,強化教學品質,教學單位國際認證,國際認證教學品保,,,,國內外專業評鑑機構認可之國際教育認證（IEET 、AACSB）。
教學,強化教學品質,提升教師群專業度,持續調降生師比,,,,延攬本校周邊具生產力/影響力之產官學專業人士或本校優秀校友等擔任教職。
