構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,成立專業教師社群，凝聚中文及英文教師共識，深耕以書寫力及敘事力為核心的創新教材及教法,,,,推動本校與海外姊妹學校之教師合作學校進行翻轉教學、全英語授課種子教師培訓。
教學,強化教學品質,推廣創新教學模式,設計邏輯與系統思考評量指標，強化案例教學與問題解決等多元教學方法，並發展學習評量工具,,,,建立Connection、Discovery、Application、Invention（CDAI）的邏輯與系統思考成果導向學習模式。
教學,強化教學品質,推廣創新教學模式,設計邏輯與系統思考評量指標，強化案例教學與問題解決等多元教學方法，並發展學習評量工具,,,,建立「邏輯與系統思考」案例教材，透過「邏輯與系統思考（含程式設計）」，整合解決社會實際問題。
教學,強化教學品質,推廣創新教學模式,以「問題解決」為核心，引導各學系開設專業服務學習課程，促進社會實踐,,,,各學系開設「社會實踐導向專業課程」，導入PBL教學方案，培養學生問題解決能力。
教學,強化教學品質,推廣創新教學模式,以「合作學習」為策略，培養學生自主學習與團隊合作之問題解決能力,,,,開設並精進能力本位學分學程，在Problem-Based Learning架構下，導入Phenomenon-Based Learning（PhBL），定義現今社會大問題，透過社會創新課程設計，以Project-Based Learning （PjBL）導向課程，以創新行動解決問題，達成適性適才之教學目標。
教學,強化教學品質,推廣創新教學模式,進行產出導向實務課程地圖2.0之建置，設計從自主探索、團隊合作、到學習整合之系統化專業跨域學習之「深度」模組化課程,,,,各學系大二下或大三上開設「社會實踐導向專業課程」，導入PBL團隊合作學習方案。
教學,強化教學品質,推廣創新教學模式,各院設立結合UCAN職類之能力本位學科整合教學中心，團隊研發課程設計與教學內容，建立翻轉學習之學習生態系統,,,,研擬以學生學習為主之翻轉教學方案，確保學習成效。
教學,強化教學品質,推廣創新教學模式,健全翻轉教學支持機制，引導教師教學創新,,,,持續補助教師進行創新教學，以全面翻轉教師之教材、教法及評量方式。
教學,強化教學品質,推廣創新教學模式,深耕創新教學技能，提升教師教學能力,,,,結合MOOCs平台，建置教師個人化雲端教室，便利教師進行翻轉教學。
教學,強化教學品質,推廣創新教學模式,開發滿意度即時評價系統，研擬獎勵機制，鼓勵學生發揮創意並培養問題解決能力,,,,依據回饋意見，研擬獎勵機制，鼓勵學生發揮創意並培養問題解決能力。
教學,強化教學品質,推廣創新教學模式,建置從出生到死亡特色主題展覽館，凸顯生命教育的核心理念,,,,建置互動體驗學習模式，融入出生至死亡之生命教育意涵，透過互動式場館設備，體驗生命教育意義。
教學,強化教學品質,訂定核心能力，規劃課程地圖,建立學生基礎力評量標準尺規，發展評量方法與工具,,,,發展建立五項基礎能力之學習內涵。
