構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,改善教學品質,,,,鼓勵教師結合課程性質，融入可提升學生操作能力之教學模式：激勵教師推動PBL實務教學模式。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生學習成效,,,,依據教育目標與核心能力規劃本系課程及其內容。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生學習成效,,,,確認系（所、學程）教育目標及人才培育目標：考量系所既有之設立宗旨與目標與所要培育學生之能力，訂定課程架構及內涵。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生學習成效,,,,能力指標的訂定應呼應學系教育目標並能充分展現學系特色，並考量可落實於課程規劃及教學實施中。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生學習成效,,,,指標項目不宜太多，建議8-12項為宜。且單一指標名稱精簡，不足處可於指標後增列說明。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生學習成效,,,,指標項目的訂定應適度納入校外學者專家、校友及在校學生的意見。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生學習成效,,,,結合本校學生學習歷程檔案之整合，將正式課程、非正式課程及潛在課程之學習成效，建置成為學生未來就業軟實力之培養指標。
教學,強化教學品質,訂定核心能力，規劃課程地圖,改善教學品質,,,,以課程目標達成情形檢核為教學評量工具之一，提供系所進行課程目標及學生基本/核心能力修訂之參考。
教學,強化教學品質,訂定核心能力，規劃課程地圖,提升學生職場就業能力,,,,透過系所專業診斷分析與課程設計，將基礎能力培育內容納入課程學習當中。
教學,強化教學品質,教師專業分享輔導機制,改善教學品質,,,,結合本校社群實施辦法，持續將依教育與設計學院之教學研究社群經營成效推廣於休閒產業學院及旅館管理學院推動。
教學,強化教學品質,教師專業分享輔導機制,改善教學品質,,,,持續以Lesson Study社群研究之理念，推展本校與其他學校之教學經驗交流。
教學,強化教學品質,教師專業分享輔導機制,改善教學品質,,,,成立教師創新教學研究社群。
教學,強化教學品質,教師專業分享輔導機制,改善教學品質,,,,提供教師教學創新成長之相關輔導資源。
教學,強化教學品質,教師專業分享輔導機制,培養學生具備使用及運用程式語言之能力,,,,定期舉辦有關程式設計課程之教師教學工作坊。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學品質,,,,本校專（兼）任教師根據各院、系（所、中心及學程）之課程規劃得按照台灣首府大學排課準則進行授課專長審查與認定。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學品質,,,,根據擬開課之課程專業相關性，教師得提具各項相關資料以進行排課專長審查。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學品質,,,,落實教師授課專長審查機制：針對每學期之專兼任教師進行授課專長審查，包含「學歷背景」、「學術研究」、「研究計畫」、「相關證照」、「教育訓練/研習課程」與教學課程相關之實務經驗。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學品質,,,,啟動多元教學績效評鑑制度，例如建立教師教學檢測工具，作為獎勵教學優良教師之評選參考。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學品質,,,,融入本校教師評鑑辦法執行細則之規劃，鼓勵教師透過多元教學方式提升自我教學績效與強化學生學習成果。
教學,強化教學品質,健全教師（學）評鑑制度,改善教學品質,,,,各專任教師依據教務處之規定內容完成數位教材製作並通過審查者，將於該學年度之教師評鑑教學績效指定項目認列加分。
教學,強化教學品質,推動多元升等,改善教學品質,,,,透過教師升等新辦法機制之建立，促進本校教師思考得以教學實務成果或產業實務應用成果替代專門著作之代表著作提送升等。
教學,強化教學品質,健全教學獎勵制度,改善教學品質,,,,依據本校創新教學研究獎助辦法，著重「創新休閒專業人才培育」申請要項，鼓勵教師進行教學能量鑽研並融入於實際教學。
