構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,跨領域能力,,,,設計以低年級學生為主，問題解決為導向的導航課程，發展出從理論到實驗再到動手設計的整合性學習策略，使學生從入學後即接受問題導向式的學習歷程，培養問題解決能力。
教學,強化教學品質,推廣創新教學模式,跨領域能力,,,,將邀請校內種子導師協助各系所建立客製化問題導向課程，使課程更能引導學生主動學習及批判思考。
教學,強化教學品質,推廣創新教學模式,推廣翻轉教學,,,,透過創新教學補助與分享，建立校內創新教學新典範，替本校之優質創新教學模式，包括演示教學、遊戲式教學等等，建立教學設計教案，以提供校內教師教學資料，並鼓勵教師繼續拓展更多元之創新教學模式。
教學,強化教學品質,推廣創新教學模式,推廣翻轉教學,,,,進行教材的創新，如「社會企業實務專題」於課程結合虛擬實境（VR）及擴增實境（AR），進而成功研發出結合AVR科技的APP程式。
教學,強化教學品質,推廣創新教學模式,推廣翻轉教學,,,,開發APP應用於英語教學的「行動英語教學」，將語言、學習、及行動裝置APP跨域地整合在專題實作上，再以此專題課程為基礎，利用行動裝置隨時隨地可使用，逐步衍生新的英語教學與學習模式，融合智慧科技於教材，使教學更為生動。
教學,強化教學品質,推廣創新教學模式,問題導向學習,,,,全面推動問題解決為導向的革新課程，由各系所結合總整課程、跨域專題、畢業論文及降低核心必修學分等方式，系統性地規劃課程與教學改革方案。
教學,強化教學品質,推廣創新教學模式,問題導向學習,,,,以低年級學生為主、問題解決為導向的導航課程，發展出從理論到實驗再到動手設計的整合性學習策略。
教學,強化教學品質,推廣創新教學模式,問題導向學習,,,,將邀請校內種子導師，協助各系所建立問題式課程，接軌在地產業與國際潮流，結合校內微學分及三大社會實踐學程，為學生創造課外與課內結合，為教師提供研究與教學合一的跨域創新學習生態系統。
教學,強化教學品質,推廣創新教學模式,以院為核心的教學整合,,,,iHP在教學上不同於過往的主輔修制度，學程的所有課程均以「小班」方式教學，並依據課程需求輔以探究、實作、問題導向、實地實習、翻轉等方式實施。
教學,強化教學品質,推廣創新教學模式,完備跨域創意課程,,,,管理學院為協助學生學習「設計思維」方法論，出資引入國外師資，於正規課程培養院內與其它學院設計思維的種子師資。
教學,強化教學品質,訂定核心能力，規劃課程地圖,強化創意創業學院,,,,邀請校內外創新創業核心人物與在地企業領袖組成諮詢委員，偕同跨處室人員，重新審視修訂全校課程、空間、法規，並依照創意微學分、學程、不分系學士班、師生社群需求，建立創意創業學習地圖。
教學,強化教學品質,調整課程規劃,跨領域能力,,,,結合總整課程、跨域專題等方式，系統性地規劃各系所之課程與教學改革方案。
教學,強化教學品質,培育優良教學助教/人力,完備跨域創意課程,,,,由ERP中心負責培養教學助教以促進教學成效，加強校內人力培訓，近而引入設計思維空間規劃，讓本校創新設計及設施更為完整，建立跨域共創的教育環境與機制。
教學,強化教學品質,教師專業分享輔導機制,語文敘事力,,,,大一國文教學研究中心每學期舉辦大一國文教學會議及數場教學研習，以促進經驗交流與教師專業提升。
教學,強化教學品質,教師專業分享輔導機制,語文敘事力,,,,同時由本校語言中心和交通大學英語教師共同組成跨校教學社群，讓課程設計以及教學經驗互通。
教學,強化教學品質,教師專業分享輔導機制,語文敘事力,,,,本校語言中心教師組成教材開發團隊，設計貼近專業學科所需的英語教材與課程，期望在閱讀與寫作方面能提升學生專業英語文能力，透過實際演練以訓練學生的應用能力，以增強學生在專業領域內的學習與溝通能力。
教學,強化教學品質,教師專業分享輔導機制,強化學生軟性實力,,,,每學期辦理1到2次服務學習課程實體教學工作坊，邀請全校服學導師共同備課，依社會參與之主題進行分組討論，資源共享並交流教學經驗。
教學,強化教學品質,教師專業分享輔導機制,強化學生軟性實力,,,,服務學習課程線上社群平台則克服時間、地點的限制，提供教師教學教材分享，促成各系跨領域人才培育之合作。
教學,強化教學品質,教師專業分享輔導機制,強化學生軟性實力,,,,規劃跨校交流論壇，使本校成為大桃園地區服務學習教育交流基地與典範學校。
教學,強化教學品質,教師專業分享輔導機制,教師社群,,,,本校鼓勵教師自組社群以提升學生學習成效與精進教學，教師可針對教學議題、教材開發、共同開課、申請計畫等主題分享經驗，觸發校內外教師共學或跨域教學的風氣與成果。
教學,強化教學品質,教師專業分享輔導機制,教師社群,,,,學務處服務學習辦公室亦成立服務學習教師專業成長社群，提升教師授課內涵，支持系所長期經營社會服務方案，使科系專業融入必修服務學習課程教學規劃。
教學,強化教學品質,教師專業分享輔導機制,教師社群,,,,透過邀請與補助推動多元教師社群，以運作成熟的社群，建置社群網站分享經驗，擴大社群效應。
教學,強化教學品質,教師專業分享輔導機制,教師社群,,,,鼓勵教師從事行動研究解決共同教學問題，建立大師典範傳習社群，定期聚會研討與交流。
教學,強化教學品質,教師專業分享輔導機制,教師社群,,,,邀請教師交互觀課或共同開課，結合跨單位社群議題，建立服務學習、英語授課、專項導師、社會實踐課程、創意自主微學分等不同面向的課程社群交流機制。
教學,強化教學品質,教師專業分享輔導機制,教師社群,,,,將搭配教育部積極推動之教學實踐計畫，邀請有興趣教師進行跨域合作，藉此形成教師社群共同建立創新課程設計、教材教法與研究方法等。
教學,強化教學品質,教師專業分享輔導機制,精進教學知能,,,,本校邀集校內外優秀教師分享教學理念、技巧與經驗，每年舉辦教師教學知能研習、新進教師研習、教學分享工作坊等活動，辦理成效良好。
教學,強化教學品質,教師專業分享輔導機制,精進教學知能,,,,未來也會持續藉由舉辦教師沙龍等教師研習活動，邀請使用創新教學方法或教材的教師，與教師及職員分享實施經驗，以利創新教學的推廣及交流，使全校師生獲益。
教學,強化教學品質,教師專業分享輔導機制,精進教學知能,,,,透過執行教育桌遊設計思維苗圃計畫，以「創新教育」為重點，「教育桌遊設計」為產業重點方向，為「桌遊」與「教育」兩個產業開發「設計思維」的教學模組與人才培育方案。以工作坊形式整合行政與教學創新，培養教師創新思維。
