構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,中文能力提升,,,,持續推動通識國文創新課程，包括：全面採用以學生自主學習為主軸的翻轉教學，透過深度閱讀協助學生將知識技能應用於日常生活，並提升適應變化、解決問題的能力；透過講述訓練，奠定學生的溝通能力，提升未來職涯競爭力及國際移動力。
教學,強化教學品質,推廣創新教學模式,創新課程教材與教法,,,,成立問題導向教學推動小組，融合數位科技與網路資源，擬定創新的問題導向教學方法，定期舉辦教師專業發展研習營
教學,強化教學品質,推廣創新教學模式,鼓勵多元創新教學,,,,鼓勵並補助教師融合創新元素，提倡「專題教與學」、「問題本位學習（PBL）」、「個案教與學」、「翻轉教與學」等創新教學；並鼓勵教師透過業界經驗傳遞，結合原有學界教學，創造實務導向之創新教學。
教學,強化教學品質,推廣創新教學模式,鼓勵多元創新教學,,,,鼓勵並補助教師針對特殊選才入學學生設計創新教材與教法。
教學,強化教學品質,推廣創新教學模式,鼓勵多元創新教學,,,,鼓勵教師持續精進教學，積極參與「大專校院教師教學實踐研究計畫」，重視教學核心價值，引導教師有效檢證教學投入成效，鼓勵教師進行教學實踐之研究：創新教學方法、開發教材、設計教學行動方案及學生評量等。
教學,強化教學品質,調整課程規劃,開設跨領域總整（專題）課程、系列課程及微課程,,,,工學院「創新創意」總整課程。
教學,強化教學品質,調整課程規劃,開設跨領域總整（專題）課程、系列課程及微課程,,,,社科院「國際關係」總整課程。
教學,強化教學品質,調整課程規劃,教務處行政支援,,,,配合院系開設總整課程之需求，研修教務規章與相關制度，將原以系為主之「一系一專題」逐年擴大成「以學院為核心」之總整課程，並以學院為單位檢視教育目標及核心能力，綜合評量學生修業之整體專業知能；對於專業差異較鉅的學院，則採以系為單位，開設驗證專業核心能力的課程。
教學,強化教學品質,培育優良教學助教/人力,通識2025課程計畫及助理培訓#強化教學品質（培育優良教學助教/人力）,,,,*通識2025課程計畫及助理培訓
教學,強化教學品質,培育優良教學助教/人力,培育優質教學助理,,,,強化教學助理培育：強化教學助理認證研習內涵，持續獎勵優質教學助理，強化教學助理進階培訓課程，建立教學助理評量機制。
教學,強化教學品質,培育優良教學助教/人力,培育優質教學助理,,,,落實教學助理優質自學機制：實施教學助理學習計畫，期末實施學習成效評量，以利優良教學助理遴選及獎勵。
教學,強化教學品質,培育優良教學助教/人力,培育優質教學助理,,,,開發教學助理管理系統：教學助理管理系統將使教學助理之學習機制與申請、核定等作業流程更加便利完善。
教學,強化教學品質,教師專業分享輔導機制,精進教師教學成長,,,,推展多元教學成長研習：推展多元教學成長研習活動，補助各教學單位舉辦深入探索式教學成長研習活動。
教學,強化教學品質,教師專業分享輔導機制,精進教師教學成長,,,,教師專業社群：鼓勵不同專業領域教師組成跨領域社群，並鼓勵結合業界菁英組成產學研專業社群。
教學,強化教學品質,教師專業分享輔導機制,精進教師教學成長,,,,新進教師輔導：提供相關輔助資源，配合校內外各項新進教師輔導機制，全方位協助新進教師。
教學,強化教學品質,教師專業分享輔導機制,課程認證審查，促進教學卓越,,,,建立課程優化機制，例如配合法學院即將施行之大一大二不分系，每一院基礎必修課程均有三位教師分別開設一班，共計三班。為求教學內容具高等水準，並希冀各班進度相仿，建立三位授課教師之教材研發工作坊，聘請法學與教育學領域之專家學者參加工作坊指導或觀課指導，精進課程與教學。
教學,強化教學品質,教師專業分享輔導機制,輔導協助教師出版教科書,,,,優良教科書之出版可增進本校學生之學習，亦有利於長期擴展教師之知名度與影響力。
教學,強化教學品質,教師專業分享輔導機制,輔導協助教師出版教科書,,,,鼓勵教師參與教學型計畫，進行教材與教法創新、課程認證與審查、數位教材的製作、協助教師出版教科書、鼓勵成立教師專業社群、辦理教師專業知能及教材教法的研習，並將教師參與教學計畫納入多元升等要件及教師評鑑指標之一
教學,強化教學品質,健全教師（學）評鑑制度,通識2025教學與課程評量,,,,搭配多元客觀的教學評量制度，以個別課程為單位，除傳統之教師教學評量外，課程訪視、教學錄影、課程報告、教材撰寫、課程網頁，及社群媒體互動等都將列入考量。
教學,強化教學品質,健全教師（學）評鑑制度,優化教學品質,,,,教學評量機制改善與研發：研發新版教學意見調查量表，並發展網路填答系統，進行全面教學資源資料蒐集與整合。
教學,強化教學品質,健全教師（學）評鑑制度,優化教學品質,,,,教師評鑑：透過教師評鑑，協助教師自我檢視教學、研究、輔導及服務等工作，藉此提升教師教學、研究、輔導及服務之專業知能。
教學,強化教學品質,推動多元升等,輔導協助教師出版教科書,,,,訂定本校施行多元升等期程
教學,強化教學品質,推動多元升等,輔導協助教師出版教科書,,,,修訂本教師聘任及升等審查準則，以建立多元升等管道，俾使教師能發揮所長、適性發展專業能力、及提高社會影響力
教學,強化教學品質,推動多元升等,輔導協助教師出版教科書,,,,輔導以教學工作為主之專任（案）教師製作數位教材及數位課程，出版專書或發表作品，辦理展演活動，積極申請或參與各類教學計畫，以利教師經由教學研究管道升等
