構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,深化專業應用能力,,,,培養學生專業知識轉化能力：發展應用PBL教學、產學合作課程、總整課程等教學模式
教學,強化教學品質,推廣創新教學模式,推動「通識教育再造計畫」，培養具備21世紀人才核心素養,,,,實作演練－提升問題解決能力：翻轉傳統教學方式，改採以討論為主的合作學習或個別指導模式
教學,強化教學品質,推廣創新教學模式,建立自主學習機制,,,,設計多元且彈性課程模組：鼓勵教師採用實作、工作坊、移地教學等不同模式來搭配課程教學
教學,強化教學品質,推廣創新教學模式,鼓勵教師開發創新或改善教材教法,,,,PBL教學：以學習者為中心並利用真實的問題來引發學習者討論
教學,強化教學品質,訂定核心能力，規劃課程地圖,建立自主學習機制,,,,提供修課指引，檢視學習應具備之素養：建構各系訂定之教育目標、核心能力與課程地圖關連性
教學,強化教學品質,訂定核心能力，規劃課程地圖,建立自主學習機制,,,,支持及評估學生學習發展與成效，強化課程學習地圖管理系統功能
教學,強化教學品質,調整課程規劃,精進基礎學科學習能力,,,,革新教學模式：由理學院針對普通化學、普通物理學、微積分等課程逐步進行課程教學革新
教學,強化教學品質,調整課程規劃,建立自主學習機制,,,,於學期時間外（例如暑假），提供密集授課之課程
教學,強化教學品質,調整課程規劃,鼓勵教師開發創新或改善教材教法,,,,暑期密集課程：規劃「第三學期」多元化暑期課程，以推動學生跨校交流與跨域學習以拓展視野
教學,強化教學品質,培育優良教學助教/人力,培養邏輯運算能力,,,,教學人力支援：招募及培訓博士生或博士後作為程式設計教學籌備人才。
教學,強化教學品質,培育優良教學助教/人力,培養邏輯運算能力,,,,落實教學助理及課輔制度：安排有相關領域專長之高年級學生或研究生擔任課堂TA或課後Tutor來協助同學解決學習困難
教學,強化教學品質,培育優良教學助教/人力,通識教育課程國際化,,,,請外籍學生擔任教學獎助生，增加對本校課程國際化之貢獻
教學,強化教學品質,培育優良教學助教/人力,推展教師及學生之國際事務獎助措施,,,,鼓勵優秀碩博士班學生應徵校內擔任教學獎助生或教學（研究）助理
教學,強化教學品質,教師專業分享輔導機制,強化教師教學支持系統,,,,組織社群創意交流：鼓勵形成跨領域教師成長社群，培力教師並給予支持與陪伴
教學,強化教學品質,教師專業分享輔導機制,強化教師教學支持系統,,,,透過社群進行教學方法的改革，以創新教學提升學生學習成效。
教學,強化教學品質,推動多元升等,強化教師教學支持系統,,,,推動教師多元升等協助教師職涯發展：邀請長期推動教師多元升等學校主管分享推動經驗
教學,強化教學品質,推動多元升等,強化教師教學支持系統,,,,透過座談會與校內教師溝通宣導，提供教學實務研究升等途徑
教學,強化教學品質,推動多元升等,強化教師教學支持系統,,,,主動接洽有意願教學實務研究升等之教師，由專人與教師進行一對一專業諮詢服務。
教學,強化教學品質,推動多元升等,修訂「國立中興大學教師聘任暨升等辦法」及「國立中興大學教師升等評審標準暨聘任升等著作送審準則」,,,,教師實踐社會責任績效卓著之教師得以得以社會責任實踐成果為教學升等內容
教學,強化教學品質,推動多元升等,修訂「國立中興大學教師聘任暨升等辦法」及「國立中興大學教師升等評審標準暨聘任升等著作送審準則」,,,,並將社會責任實踐成果列為升等評審項目之一。
教學,強化教學品質,推動多元升等,修訂「國立中興大學教師評鑑準則」,,,,服務績效面向增列社會責任實踐評鑑項目。
教學,強化教學品質,健全教學獎勵制度,強化教師教學支持系統,,,,提供優渥條件與教研環境留住優秀人才
教學,強化教學品質,健全教學獎勵制度,推展教師及學生之國際事務獎助措施,,,,有關非學位生獎助經費，積極彙整並提供教師進行國際學術合作外部之經費補助資訊
教學,強化教學品質,健全教學獎勵制度,師資調控,,,,提供多項教學改進及提升教學品質獎勵政策，以達到「課程精實化」與「教學優質化目標」。
教學,強化教學品質,減輕教師教學負擔,修訂「大學教師授課時數及超支鐘點費核計辦法」,,,,貢獻社會良多服務績效佳之教師，得予以核減授課時數
教學,強化教學品質,建立教學改善回饋系統,精進基礎學科學習能力,,,,發展科學趣味競賽、會考等多元學習成效檢核機制、模組化學習輔導等措施
教學,強化教學品質,教學單位國際認證,鼓勵教師開發創新或改善教材教法,,,,總整課程：本校工學院申請IEET工程教育認證時，已著手建構總整課程
教學,強化教學品質,提升教師群專業度,師資調控,,,,改善師資結構，增加專任教師並逐年降低兼任教師人數。
教學,強化教學品質,提升教師群專業度,強化教師教學支持系統,,,,攬才育才留才措施：人才是本校最重要的資產，透過本專案計畫，逐年增聘10名至20名專任教師
教學,強化教學品質,提升教師群專業度,延攬優秀師資,,,,現行本校聘任師資程序，專任教師聘任程序為三級四審，延攬特殊優秀師資
教學,強化教學品質,提升教師群專業度,延攬優秀師資,,,,訂有簡化程序，設置校競爭員額制度，延攬優秀人才
教學,強化教學品質,提升教師群專業度,延攬優秀師資,,,,訂（修）定本校延攬、留住及獎勵特殊優秀人才實施彈性薪資準則
教學,跨領域學習,鼓勵輔系、雙主修,適度鬆綁法規限制,,,,降低修習門檻：放寬學生申請修讀輔系、雙主修、學分學程之之成績門檻限制
教學,跨領域學習,跨領域教學,深化專業應用能力,,,,發展第二專長制度：因應產業需求變遷，進行課程模組化設計，以鼓勵學生發展多種專長
教學,跨領域學習,跨領域教學,推廣微學分學習,,,,發展多元課群組合：鼓勵教師發展跨系、院、校的課群組合，以資源共享模式，提供學生彈性化及多樣化的課程選課
教學,跨領域學習,跨領域教學,強化跨界鏈結及合作,,,,推動共授課程機制：依據本校共授課程實施要點，鼓勵教師規劃以主題教學開授課程
教學,跨領域學習,跨領域教學,強化跨界鏈結及合作,,,,提供跨學科間創意模組課程：以2至3門不同領域課程組成課程模組
教學,跨領域學習,跨領域教學,鼓勵教師開發創新或改善教材教法,,,,跨域專題實作：邀請校內各系所教師與校外專家共同授課
教學,跨領域學習,跨領域教學,整合特色中心,,,,以問題導向，整合跨領域教師，共同解決社會問題。
教學,跨領域學習,跨領域教學,跨領域創新教學課程培育跨領域人才，增進跨領域合作,,,,「計畫導引性生物科技實務訓練課程」：以業界需求為核心，以計畫導向為內容，由跨院系教師組成教學團隊
教學,跨領域學習,跨領域教學,跨領域創新教學課程培育跨領域人才，增進跨領域合作,,,,「活體分子影像教學平台」：提供跨校與跨領域的學習課程，網羅臨床醫療師資，開設從基礎到臨床的整合課程。
教學,跨領域學習,跨領域教學,跨領域創新教學課程培育跨領域人才，增進跨領域合作,,,,「農業循環經濟教學」：組建跨院系教師團隊，開設與農業領域相關之循環經濟運作重要課程與相關實驗技術。
教學,跨領域學習,跨領域教學,跨領域創新教學課程培育跨領域人才，增進跨領域合作,,,,「國際農業產學鏈結創新教學」：提升「園場操作」課程之教學品質
教學,提高學習自由度及彈性,微學分（彈性學分）,適度鬆綁法規限制,,,,鼓勵系所鬆綁畢業學分：促進系所活化課程設計，提供學生更多跨領域修課彈性。
教學,提高學習自由度及彈性,微學分（彈性學分）,推動「通識教育再造計畫」，培養具備21世紀人才核心素養,,,,微型課程－強化自主學習成效：透過微學分的推動，彈性修課，達成學生自主並專屬的學習歷程
教學,提高學習自由度及彈性,微學分（彈性學分）,推廣微學分學習,,,,結合自主學習建構模組化跨領域課程：學生可針對所屬學院所要求之通識核心能力，選擇符合需求之通識課程
教學,提高學習自由度及彈性,微學分（彈性學分）,推廣微學分學習,,,,允許學生自由彈性選擇該核心能力相關課程，累積學分所需上課時數
教學,提高學習自由度及彈性,微學分（彈性學分）,推廣微學分學習,,,,規劃系列學習活動之微課程組合：鼓勵各院系依其所欲培育之專業核心能力，於正式課程外規劃系列學習活動
