構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,以學生學習為主軸的教學創新增能計畫,,,,將鼓勵與補助教師，以專題式學習（Project-Based Learning，PBL）及學生分組討論方式，視課程知識類型與學生程度等背景，採多元教學型態（合作性教學、活動教學、案例教學、問題導向教學、小組討論、主題辯論、角色扮演、動手作教學、實驗室體驗）等形式，激勵學生產生有意義的學習，改善學生缺乏課堂發問及主動學習之困境。
教學,強化教學品質,訂定核心能力，規劃課程地圖,品質保證檢核機制,,,,為配合跨域學習政策推動，及參酌AACSB及IEET系所認證經驗，未來五年除引導系所配合學校跨域學程加強人才培育目標重新檢討學生核心能力外，亦將更新課程地圖設計，加強教學支持系統、
教學,強化教學品質,調整課程規劃,推動各系及第二專長總整課程,,,,未來五年將協助系所加深加廣原有實驗及專題課程外，擬推動各系擇定一門規劃成為總整課程。
教學,強化教學品質,調整課程規劃,推動各系及第二專長總整課程,,,,將深化大學部的第二專長跨域學程，推動第二專長總整課程。
教學,強化教學品質,調整課程規劃,品質保證檢核機制,,,,將引導院系所課程共享和共同指導規劃，提升教學資源使用效率及專長領域課程整合。配合碩連博（逕博）修業規定5年修業，鼓勵學院進階專業課程整合，目前已有電機學院逐步推動，未來五年將請其他學院持續精進院內資源整合，增加修課選擇，以回應學生衝堂與加選問題。
教學,強化教學品質,調整課程規劃,紮實精進特色專業課程，立足競爭優勢,,,,或設計推動總整（Capstone）課程。
教學,強化教學品質,調整課程規劃,以學生學習為主軸的教學創新增能計畫,,,,由校方主導依據「106年創創工坊總整課程經費補助申請之說明」推動各學系於大學部高年級課程實施總整課程，藉由課程成果直接驗收學生學習成效。
教學,強化教學品質,培育優良教學助教/人力,統合資源成立學生學習資源小組，引領學習探索與開發,,,,持續推動本校助教學習體系，設立演習助教課程，讓學生不只是學習，也擔任起傳承的重要角色。
教學,強化教學品質,培育優良教學助教/人力,多方資源支持課堂教學增能計畫,,,,在學習輔導教學助理（TA）的專業能力培訓方面，擬依據本校「國立交通大學「教學實務」課程開課辦法」及「教學助理施行準則」，每年定期舉辦專業訓練課程，包含TA扮演的角色、TA倫理以及優良TA傳授教學經驗等，以利提升TA的學習引導與輔助能力。
教學,強化教學品質,培育優良教學助教/人力,多方資源支持課堂教學增能計畫,,,,本校亦將編製「學習輔導計畫助理工作手冊」，彙整所有教學及行政應有之資訊，並將於每學期舉辦學習輔導計畫助理期末座談會，提供TA基礎能力以及更多交流機會。
教學,強化教學品質,教師專業分享輔導機制,以學生學習為主軸的教學創新增能計畫,,,,透過「國立交通大學新進教師輔導辦法」及「新進教師研究增能」計畫，建立薪傳制度以進行研究及教學優良理念的經驗傳承。
教學,強化教學品質,教師專業分享輔導機制,以學生學習為主軸的教學創新增能計畫,,,,每年舉辦新進教師研習營及編纂《新進教師手冊》，讓新進教師快速掌握校園環境資源的活動。行政單位亦致力由教學、研究、主計、人事等校園資源面協助，讓新進教師盡早融入校園，成為學校的新生力軍。
教學,強化教學品質,教師專業分享輔導機制,以學生學習為主軸的教學創新增能計畫,,,,持續鼓勵各院定期舉辦校內或校外教師聚會，增進教師專業團體的友善關係，並藉由表揚獲獎師生活動，凝聚師生對院系的榮譽感與向心力。
教學,強化教學品質,教師專業分享輔導機制,以學生學習為主軸的教學創新增能計畫,,,,擬以小規模精緻化的講座系列課程，鼓勵教師參與教師增能活動
