構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,英文秧成樹人深耕,,,,藉由PBL教學，培養學生自主學習與解決問題能力，訓練學生以英文進行跨領域及表達溝通能力，訓練學生了解在地文化意涵並增加認同感。
教學,強化教學品質,推廣創新教學模式,核心課程深碗設計,,,,配合翻轉教室。
教學,強化教學品質,推廣創新教學模式,院特色跨領域學程,,,,教學共創團隊計畫：鼓勵教師開發創新並改善教材與教法。
教學,強化教學品質,推廣創新教學模式,院特色跨領域學程,,,,以PBL教學培養學生自主學習與解決問題的能力。
教學,強化教學品質,推廣創新教學模式,教師專業成長,,,,訂定校級教學實驗研究計畫實施要點，鼓勵由教師提出教學創新課程計畫，通過審查給予課程經費補助。
教學,強化教學品質,推廣創新教學模式,基礎與專業課程再設計與深化,,,,利用「問題導向」的教學模式，在正課中教授食農三大主軸中之重要理論。
教學,強化教學品質,訂定核心能力，規劃課程地圖,課程分流雙軌育才,,,,修正課程地圖系統，結合UCAN職能平台，提供學生職涯發展與修課建議。
教學,強化教學品質,訂定核心能力，規劃課程地圖,課程分流雙軌育才,,,,學術/實務型課程模組完成審查達100%：各學系建置縱貫性學用合一學術型及實務型課程模組「基礎學程→核心學程→特色實務型學程→頂石課程（實作專題）→場域/企業實習」，透過校內三級三審課程委員會，完成課程模組規劃審議作業。
教學,強化教學品質,訂定核心能力，規劃課程地圖,課程分流雙軌育才,,,,透過UCAN職涯就業途徑對應系所核心能力及課程，提供系所調整開授課程，修正教師的課程規劃及內容。
教學,強化教學品質,訂定核心能力，規劃課程地圖,問題導向總整學習,,,,於Capstone課程之課程綱要中規劃及界定系訂核心能力，配合對應之核心能力，訂定課程評量的指標（rubrics）、評分方式與權重等。
教學,強化教學品質,調整課程規劃,問題導向總整學習,,,,新規劃或精進現行頂石課程，將Capstone課程列為系必修或選修科目。
教學,強化教學品質,調整課程規劃,院特色跨領域學程,,,,以實作與展演課程進行學習成果的整合與展現（頂石課程）。
教學,強化教學品質,調整課程規劃,院特色跨領域學程,,,,選定5類課程作為學程基礎課程（學程必修課），在進階課程部分規劃為選修，但要求學生必須在本系開設之進階課程至少一門，外系開設之進階課程至少一門。
教學,強化教學品質,調整課程規劃,院特色跨領域學程,,,,在頂石課程方面，每個參與計畫的系都必須規劃學程內必修的頂石課程。
教學,強化教學品質,培育優良教學助教/人力,大學國文能力與人文素養提升,,,,招募與培訓TA團隊。
教學,強化教學品質,培育優良教學助教/人力,大學國文能力與人文素養提升,,,,每年舉辦6場以上TA研習活動。
教學,強化教學品質,培育優良教學助教/人力,大學國文能力與人文素養提升,,,,組織核心TA團隊。
教學,強化教學品質,培育優良教學助教/人力,核心課程深碗設計,,,,培養帶領討論課的TA，協助深碗課程經營。
教學,強化教學品質,培育優良教學助教/人力,院特色跨領域學程,,,,加強對於教學助理的培訓。
教學,強化教學品質,培育優良教學助教/人力,食農產業專題研究,,,,修課學生為食農產業菁英教育中心進行社會及產業服務推廣工作時之當然助教，進行就業型之學習。
教學,強化教學品質,教師專業分享輔導機制,問題導向總整學習,,,,邀請校內外學者專家，辦理問題導向學習工作坊與專題，使教師了解問題導向學習具體作法。
教學,強化教學品質,教師專業分享輔導機制,問題導向總整學習,,,,成立問題導向學習精進社群，由已有導入問題導向學習教師為種子教師，協助對問題導向學習有興趣之教師，協助課程導入問題導向學習。
教學,強化教學品質,教師專業分享輔導機制,資訊達人培育,,,,舉辦程式設計教師工作坊所需的程式設計課程。
教學,強化教學品質,教師專業分享輔導機制,大學國文能力與人文素養提升,,,,每年預計舉辦2場以上的教學分享會或教學觀摩。
教學,強化教學品質,教師專業分享輔導機制,大學國文能力與人文素養提升,,,,組織核心教師團隊，定期聚會。
教學,強化教學品質,教師專業分享輔導機制,院特色跨領域學程,,,,邀請跨領域教師組成教與學學術研究（SoTL）或讀書會。
教學,強化教學品質,教師專業分享輔導機制,院特色跨領域學程,,,,推動本院生態養殖產業相關之創新教學教師社群。
教學,強化教學品質,教師專業分享輔導機制,院特色跨領域學程,,,,辦理跨域共授教學研習。
教學,強化教學品質,教師專業分享輔導機制,院特色跨領域學程,,,,鼓勵教師組成跨域教學社群，透過工作坊、協同授課及教學觀摩等方式進行跨領域對話，並結合業界教師專才，發展創新教學策略。
教學,強化教學品質,教師專業分享輔導機制,開放課程自主學習,,,,建立混成教學典範模式，並開設教師工作坊分享典範模式。
教學,強化教學品質,教師專業分享輔導機制,開放課程自主學習,,,,開設3C科技在教學應用、數位學習的理論與應用及網路科技與教學設計等相關研習課程。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,辦理專業成長社群研習、座談會和跨領域工作坊進行增能研習等。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,實施教學觀察與回饋、教學檔案製作與評量、共同備課與議課等。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,建置臉書（facebook）網路社群、辦理期末成果發表等。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,舉辦教師實踐研究工作坊、講座與研討會。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,辦理成果發表分享教學實踐、教法進化與課程轉化的教學成效。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,由遴獲教學績優教師開放觀課予初任教師（大學教學年資未滿2年）進行課堂觀課。
教學,強化教學品質,教師專業分享輔導機制,教師專業成長,,,,成立教學精進諮詢團。
教學,強化教學品質,教師專業分享輔導機制,教師多元升等及彈薪獎勵,,,,辦理教師教學專業成長活動。
教學,強化教學品質,教師專業分享輔導機制,教師多元升等及彈薪獎勵,,,,獲得彈性薪資獎勵之教師，應依規定擔任會議或研習講座，現身說法，或製作教學宣導影、書面心得報告，分享其他教師。
教學,強化教學品質,教師專業分享輔導機制,提升師生全球移動力,,,,透過與國外傑出教學人才觀摩互動、交流討論，提升及啟發本校教師的教學方式以及教學與研究合作契機。
教學,強化教學品質,教師專業分享輔導機制,新增「安全食農學程」、「智慧農業學程」與「食農產業管理學程」,,,,理工與管理領域的老師可以提供農學及生命科學院教師在技術應用科學與行銷物流管理方面的知識。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,辦理教師增能研習活動、教學研習會、科學教育研討會等。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,成立科普教育教師社群，進行科普教材、實驗教材、動手做教案研發。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,以「安全食農」為主題，辦理各級學校教師研習。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,辦理具動手操作實驗之種子教師研習營。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,成立科普教育教師社群，進行與化學相關科普教材、實驗教材、動手做教案研發。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,辦理雲嘉南地區生物科種子教師培訓。
教學,強化教學品質,教師專業分享輔導機制,社會及產業服務推廣,,,,成立水生生物科普教育教師社群，進行相關科普教材、實驗教材、動手做教案研發。
教學,強化教學品質,教師專業分享輔導機制,外部募款基金挹注及多層次輔導機制,,,,開設培訓種子教師講座或工作坊。
教學,強化教學品質,推動多元升等,改善教學設施與降低生師比,,,,鼓勵專任教師參加多元升等。
教學,強化教學品質,推動多元升等,教師多元升等及彈薪獎勵,,,,校內章則及書表訂定、解釋、升等申請及申訴等法規研訂。
教學,強化教學品質,推動多元升等,教師多元升等及彈薪獎勵,,,,辦理新制升等途徑與教師評鑑結果結合等事宜。
教學,強化教學品質,推動多元升等,教師多元升等及彈薪獎勵,,,,協助教師投入多元升等等相關資訊能力。
教學,強化教學品質,健全教學獎勵制度,改善教學設施與降低生師比,,,,以彈性薪資延攬或留住優秀人才，增聘優秀師資。
教學,強化教學品質,健全教學獎勵制度,教師多元升等及彈薪獎勵,,,,實施彈性薪資方案。
教學,強化教學品質,減輕教師教學負擔,院特色跨領域學程,,,,聘任相關領域專案教師。
教學,強化教學品質,減輕教師教學負擔,院特色跨領域學程,,,,聘任國外科班訓練專案教師以降低師生比。
教學,強化教學品質,減輕教師教學負擔,改善教學設施與降低生師比,,,,因應跨領域學程需求增聘師資，具備全英語授課能力為優先延聘要件。
教學,強化教學品質,建立教學改善回饋系統,問題導向總整學習,,,,於期末綜合直接評估（學生核心能力的達成度成果）及間接評估（前後測學習自評問卷及教學課程學生滿意度調查）作成核心能力達成報告。
教學,強化教學品質,建立教學改善回饋系統,問題導向總整學習,,,,設計及進行前後測學習自評問卷。
教學,強化教學品質,建立教學改善回饋系統,問題導向總整學習,,,,於期末進行學生學習成效檢核與追蹤，並進行教學課程學生滿意度調查。
教學,強化教學品質,建立教學改善回饋系統,基礎學科強化與輔導,,,,運用學習診斷分析軟體（WBstar），得知基礎學科會考試題難度、鑑別度，並依據學生答對率，進行後續試題的調整。
教學,強化教學品質,建立教學改善回饋系統,院特色跨領域學程,,,,定期辦理檢討會議，了解學生統整融合知識的技能、修課人數及取得證書之比率、展演成果、業師評價與建議等。
教學,強化教學品質,建立教學改善回饋系統,學生學習成效分析與反饋,,,,讓本校自有之UCAN平臺與校務行政系統進行聯結，以利於使用學生之修課歷程與學業成績，進行各項數據分析，並做為課程規劃之依據。
教學,強化教學品質,建立教學改善回饋系統,學生學習成效分析與反饋,,,,編製全校性學習學習型態調查問卷，進行大一至大四學生問卷施測與分析。
教學,強化教學品質,建立教學改善回饋系統,學生學習成效分析與反饋,,,,教學與學生學習成效分析：分析校外競賽及增進學生思辯能力關係、分析學生在遭受挫折與教師從旁協助溝通所產生正負相關情境影響、分析增進師生間的溝通與激發教師熱忱之正負相關影響、分析學生成績對教學意見調查之影響。
教學,強化教學品質,建立教學改善回饋系統,學生學習成效分析與反饋,,,,教學品質保證指標研究：分析教師屬性對教學發展成果及貢獻的差異與學生成效的分析、分析不同領域教師的教學成果、分析教學計畫、教材及其他教學檔案反應學習成效評估、課程檢核與改善情形。
教學,強化教學品質,課程外審,課程分流雙軌育才,,,,訂定課程架構外審實施要點，聘請校外專家學者（含1位業界代表），就各學制之必、選修課程結構與系所教育目標、發展方向與願景、期待學生達到各項能力指標等方面進行審查。
教學,強化教學品質,課程外審,課程分流雙軌育才,,,,各院系進行課程評估，完成系、院自評與外審，並依審查結果進行課程修正。
教學,強化教學品質,成立教學品保委員會,院特色跨領域學程,,,,院系設置教學品質保證委員會。
教學,跨領域學習,規劃跨領域學位（分）學程,院特色跨領域學程,,,,開設農學院跨領域學程「有機農業學程」：包括作物栽培、作物生產、品種改良、雜草管理、特用作物栽培、土壤污染防治、農業概論、植物病蟲害防治、生物防治、有機農場規劃與管理及農產品行銷管理等課程。
教學,跨領域學習,規劃跨領域學位（分）學程,院特色跨領域學程,,,,設置語言治療跨領域學程。
教學,跨領域學習,規劃跨領域學位（分）學程,院特色跨領域學程,,,,開設跨領域共時課程「表演藝術行銷」（與行銷系）及「藝術展演實務」（與視藝系）。
教學,跨領域學習,規劃跨領域學位（分）學程,院特色跨領域學程,,,,訂定開設跨領域共授課程實施要點。
