構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,邏輯、批判思考與論述課程,,,,將透過融入式的方法，將邏輯思辨精神融入舊有課程，轉化現有相關課程中的部分教材教法，達到培養學生邏輯與思辨的能力。
教學,強化教學品質,推廣創新教學模式,跨域型程式語言課程分二階段操作,,,,期末專題的操作模式可作為學生修習「CS+X」和「X+CS」這二類課程的前導。
教學,強化教學品質,推廣創新教學模式,推動AI課程,,,,推動PBL型態的AI教育，希望5年後有至少50%的成大學生修習過AI相關課程。
教學,強化教學品質,推廣創新教學模式,大學生課程,,,,著重思想實驗/真實或假想個案的研討：學生除參與討論，亦必須列出1頁摘要，闡明個案的主要問題或爭論點、個案中利害關係人及各自應該負擔的責任或義務、可能採取的行動及後果等，課堂結束即須繳交。
教學,強化教學品質,推廣創新教學模式,跨域共創教學方案,,,,採行密集彈性授課方式。每一研究主題，須含有2-5位教師，其中1位作為主持人，須有最少5位大學部學生參與。
教學,強化教學品質,推廣創新教學模式,研究生跨域領導能力培育方案,,,,效法東京工業大學近年來教育改革模式中的碩士班核心教育課程〈Leadership Workshop領導能力培育工作坊〉。
教學,強化教學品質,推廣創新教學模式,研究生跨域領導能力培育方案,,,,碩士班〈Leadership Workshop領導能力培育工作坊〉係針對碩士班一年級學生設計，不同專業背景學生混同分組組成團隊，學生分別運用自己的專長，共同完成一個專題題目（）。
教學,強化教學品質,推廣創新教學模式,「校園空間再造」參與式學習方案,,,,所有空間改善與場域營造方案必須包含一個學生參與式學習方案。
教學,強化教學品質,推廣創新教學模式,「校園文化資產經營」參與式學習方案,,,,具體的課程實施方法包含標竿學習、實驗課程的開設及教學研究、師資人才引入、通識認證的教學資源投入等。
教學,強化教學品質,推廣創新教學模式,「校園文化資產經營」參與式學習方案,,,,實驗課程須搭配教學研究，以瞭解創新教學方式。
教學,強化教學品質,推廣創新教學模式,「成大大學城歷史學」參與式學習方案,,,,每一「成大大學城歷史學」方案之設計，必須包含一個學生參與式學習方案。
教學,強化教學品質,推廣創新教學模式,X．伊力學院（X-elite School）,,,,透過問題形成學習地圖的模式及實作總整課程的融入。
教學,強化教學品質,推廣創新教學模式,大學城智慧生活實驗室,,,,以創意空間、有感主題、前瞻科技，帶動全校教學與學習的創新。
教學,強化教學品質,推廣創新教學模式,大學城智慧生活實驗室,,,,採Triple Helix三螺旋創新產官學模式，使大學課程、城市未來規劃發展與產業三者能密切整合。
教學,強化教學品質,推廣創新教學模式,成大永續智慧校園課程,,,,鼓勵以多元形式發展課程專題成果。
教學,強化教學品質,推廣創新教學模式,成大永續智慧校園課程,,,,進一步對應到全球智慧城市所關注的智慧環境、智慧生活、智慧移動、智慧經濟、智慧市民、智慧政府等指標性教育模式或課程模組。
教學,強化教學品質,推廣創新教學模式,新三創課程,,,,將各教學場域、各教學形式整合為一個虛擬學院，進行以「鏈結」概念為核心的教學與學習運作。
教學,強化教學品質,推廣創新教學模式,C-Hub創意基地,,,,以top-down方式與產業進行策略研擬與先進研究。
教學,強化教學品質,推廣創新教學模式,人類永續發展院級USR,,,,透過實驗課程的開設，達到教學創新及人才培育的目標。
教學,強化教學品質,推廣創新教學模式,人類永續發展院級USR,,,,選定主軸USR議題，應依本計畫E-PCK流程選定標竿學習對象，可藉由參訪標竿對象、調查創新研究及教學的方法，再依各院狀況提出改善策略或既有優勢增強策略。
教學,強化教學品質,訂定核心能力，規劃課程地圖,研究生課程,,,,致力量身打造各院系所的教學工具包。
教學,強化教學品質,訂定核心能力，規劃課程地圖,研究生課程,,,,建立9項議題的教學工具包：教學課綱、閱讀材料、課堂講稿或投影片、研討個案及分析重點、作業或報告題目。
教學,強化教學品質,調整課程規劃,說理型寫作單元,,,,預計未來2年內將在所有大一國文課程中融入相關單元，亦即將二類說理型寫作單元納入全校必修國文課程中。
教學,強化教學品質,調整課程規劃,X．伊力學院（X-elite School）,,,,在修業時間上保持一定彈性，讓有意進入產業學習或其他校外學習模式的學生，即使暫離校園也能夠完成大學學業。
教學,強化教學品質,培育優良教學助教/人力,開發跨域型程式語言課程及培育相關跨域師資,,,,不只是發展跨域課程，更著重培育「CS+X」及「X+CS」跨域師資。
教學,強化教學品質,培育優良教學助教/人力,跨域型程式語言課程分二階段操作,,,,招募及培訓博士生或博士後研究員，籌組教師社群，作為程式設計教學儲備師資，減輕電資相關系所教師支援程式設計教學之負擔。
教學,強化教學品質,培育優良教學助教/人力,跨域型程式語言課程分二階段操作,,,,將培訓研究生及優秀大學生擔任教學助理，提供跨域程式設計課程充足助教人力協助課程進行。
教學,強化教學品質,培育優良教學助教/人力,本校及南區研究倫理聯盟學校專兼任教師、研究人員、計畫助理及課程教學助理課程,,,,培育南區研究倫理聯盟的講習種子教師，鼓勵參考學術倫理教學工具包，在專業倫理及研究方法課程試用教學工具包，提出修改建議以豐富教學工具包。
教學,強化教學品質,培育優良教學助教/人力,跨校駐點及線上課輔,,,,積極招募雲嘉南區域各校優秀教學助理，協助推動線上及跨校駐點課業輔導。
教學,強化教學品質,教師專業分享輔導機制,校級E-PCK整合平臺,,,,透過全校E-PCK教師社群，串連院E-PCK團隊，整合各院所產出之學科知識與實務知識，協助教師具備跨域學科知識、教學轉換、反省增能等專業知能。
教學,強化教學品質,教師專業分享輔導機制,組成全校E-PCK教師社群,,,,串連院E-PCK團隊，對應提供學生能力養成、跨域學習及知識實踐的創新課程需求。
教學,強化教學品質,教師專業分享輔導機制,組成全校E-PCK教師社群,,,,經由C-Hub（成大創意基地）和Atelier Future（成大未來智慧生活工場）引進產業資源。
教學,強化教學品質,教師專業分享輔導機制,對教師與教師間及教師與產業間進行*媒合串聯，期能衍生跨域E-PCK團隊。#強化教學品質（教師專業分享輔導機制）,,,,針對教師與教師間及教師與產業間進行*媒合串聯，期能衍生跨域E-PCK團隊。
教學,強化教學品質,教師專業分享輔導機制,對教師與教師間及教師與產業間進行*媒合串聯，期能衍生跨域E-PCK團隊。#強化教學品質（教師專業分享輔導機制）,,,,加深教師橫向串連，以較新穎的創意的活動方式聚集教師，也串接校內大型計畫或小型現有團體。
教學,強化教學品質,教師專業分享輔導機制,對教師與教師間及教師與產業間進行*媒合串聯，期能衍生跨域E-PCK團隊。#強化教學品質（教師專業分享輔導機制）,,,,盤點既有教師社群組織，依據校務發展方向找出較弱的社群區塊，協助組成相關社群，如「高齡化社會」、「在地空汙問題」等涉及聯合國永續發展目標（SDGs）主題或人文社科議題的教師社群。
教學,強化教學品質,教師專業分享輔導機制,專業支持工作坊,,,,施行後設研究而聘任之教學研究員、計畫觀察分析員等，也可在社群活動分享與討論。
教學,強化教學品質,教師專業分享輔導機制,專業支持工作坊,,,,提供相關資訊並積極鼓勵教師參與專業教學工作坊。
教學,強化教學品質,教師專業分享輔導機制,專業支持工作坊,,,,將院E-PCK的標竿研究成果如實傳遞給教學現場各個教師。
教學,強化教學品質,教師專業分享輔導機制,結合校務研究,,,,協助教師迅速掌握其教學調整所帶來的效果，有助於學校與教師進一步的調整策略。
教學,強化教學品質,教師專業分享輔導機制,研究生課程,,,,成立跨學院系所的學術倫理種子授課教師社群，鼓勵在專業倫理及研究方法課程試用教學工具包，並帶領研究生提出修改建議，以豐富教學工具包的內容及資料庫。
教學,強化教學品質,教師專業分享輔導機制,本校及南區研究倫理聯盟學校專兼任教師、研究人員、計畫助理及課程教學助理課程,,,,期初、期末各舉辦1場工作坊，議題包括基礎共同議題、不同研究領域的常見及熱門學術倫理議題、案例研討等。
教學,強化教學品質,教師專業分享輔導機制,本校及南區研究倫理聯盟學校專兼任教師、研究人員、計畫助理及課程教學助理課程,,,,邀請教學傑出教師帶領教學案例研討。
教學,強化教學品質,教師專業分享輔導機制,本校及南區研究倫理聯盟學校之研究計畫及課程行政事務人員課程,,,,依照相關事務屬性辦理工作坊，議題包括共同議題、不同事務常見及新興議題認識、案例研討等。
教學,強化教學品質,教師專業分享輔導機制,教學研究,,,,前期：透過蒐集國內外文獻、國外學校的學術誠信網站之建置方式及資源、國外專業學會之倫理指引、各國學術學誠信規範等，製作所有專業領域及人員共享的教學工具包。
教學,強化教學品質,教師專業分享輔導機制,教學研究,,,,中期：透過課程前後測問卷調查、專家/焦點團體座談、個別訪談等方式，以evidence-based研擬不同學術專業領域的教學工具包。
教學,強化教學品質,教師專業分享輔導機制,教學研究,,,,後期：透過課程前後測問卷調查、專家/焦點團體座談、個別訪談等方式，以evidence-based研擬在學術誠信文化中扮演不同角色之校園人員所需教學工具包。
教學,強化教學品質,教師專業分享輔導機制,「校園文化資產經營」參與式學習方案,,,,鼓勵並支持發展校園文化資產經營相關課程之教師社群及大學城文化圈，規劃以本校博物館場地為教師社群聚會場所。
教學,強化教學品質,教師專業分享輔導機制,「成大大學城歷史學」參與式學習方案,,,,定期辦理「校史/高教/大學史研討會」。
教學,強化教學品質,教師專業分享輔導機制,新三創課程,,,,成立新三創教師社群，並創新教學模式。
教學,強化教學品質,教師專業分享輔導機制,臺南濱海地區航拍及三維模型建置,,,,提供製作課程教材。
教學,強化教學品質,教師專業分享輔導機制,踏溯府城核心課程,,,,規劃每學期舉辦工作坊，邀請校內外專業師資針對12條主題路線進行講演。
教學,強化教學品質,教師專業分享輔導機制,南臺灣社會創新型USR資源中心,,,,師資培育及社群經營：鼓勵並協助更多教師參與「USR議題型教師社群」、「USR區域型教師社群」學習成長組織。
教學,強化教學品質,教師專業分享輔導機制,工作項目,,,,以蒐集的事實資料為基礎，辦理工作坊。
教學,強化教學品質,教師專業分享輔導機制,工作項目,,,,各院在正式會議中，向校方及其他學院相關代表，公開發表院經過上述程序所產生的教學創新及制度創新方案。
教學,強化教學品質,健全教學獎勵制度,雁行學習,,,,將透過友善的申請流程設計，增加媒合的成功率。
