構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,開設環境教育課程及學程，連結社區及合作方案,,,,主要以探究式教學、專題導向學習與問題導向學習等做為綠色智慧農場尋跡課程發展與實踐之方法。
教學,強化教學品質,推廣創新教學模式,規劃院本課程,,,,開設跨領域翻轉式/情境式/產出式課程。
教學,強化教學品質,推廣創新教學模式,規劃院本課程,,,,透過學生的互助共學，將不同系所學生予以異質分組，採教育問題導向（PBL）設計，依課程安排給予小組學習任務
教學,強化教學品質,推廣創新教學模式,制定教師申請課程教學創新相關配套措施,,,,新訂「教師創新教學辦法」明訂課程創新教學申請相關規定
教學,強化教學品質,推廣創新教學模式,制定教師申請課程教學創新相關配套措施,,,,明訂教學創新的相關補助措施。
教學,強化教學品質,推廣創新教學模式,鼓勵教學單位發展多元課程教學，補助教師進行教學創新相關活動,,,,擬定「補助PBL問題本位學習創新教學申請甄件」
教學,強化教學品質,推廣創新教學模式,鼓勵教學單位發展多元課程教學，補助教師進行教學創新相關活動,,,,擬定教學創新補助申請甄件辦法
教學,強化教學品質,推廣創新教學模式,鼓勵教學單位發展多元課程教學，補助教師進行教學創新相關活動,,,,補助教師因創新教學而辦理之相關活動。
教學,強化教學品質,推廣創新教學模式,提升學生外語溝通能力,,,,增能教師，開展外語課程之創新教學與多元評量：透過教師增能，開展「翻轉課室」（Flipped Classroom）、「問題導向學習」（Problem- Based Learning）、「專案導向學習」(project-Based Learning）、以及「目標導向式情境學習」（Goal-Based Scenarios）等創新教學策略，以培養學生多元能力，並對應以多元評量，降低學用落差，增加學生就業力（employability）。
教學,強化教學品質,訂定核心能力，規劃課程地圖,拓展社群橫向連結、深化社群內涵,,,,鼓勵與產官學界人士一同探討教學面及學習面的連貫與創新。
教學,強化教學品質,調整課程規劃,開設環境教育課程及學程，連結社區及合作方案,,,,以創客運動精神實踐創意發想，將多元社群友善學習的教育資源結合綠能、廢棄物減量、新農業、智慧機械等新興科技，融入現有課程綱要中，進而開發出科學專題與創意發明等課程模組。
教學,強化教學品質,培育優良教學助教/人力,優化教學獎助生功能，輔助教學成效,,,,完善教學獎助生遴選、培訓、強化專業知能與考核等機制提升教學獎助生輔助教學之效能。
教學,強化教學品質,培育優良教學助教/人力,建構特色課程教學獎助生，培育創意教學種子,,,,遴選各領域具特色之課程給予教學獎助生補助
教學,強化教學品質,培育優良教學助教/人力,建構特色課程教學獎助生，培育創意教學種子,,,,由授課教師與教學獎助生共同發展課程之設計與實施，強化課程中學生學習之興趣與動機。
教學,強化教學品質,培育優良教學助教/人力,建置人才資料庫,,,,TA人才資料庫，提供教師有更多優秀人才可供選擇，並使更多優秀學生擁有擔任TA的機會。
教學,強化教學品質,培育優良教學助教/人力,落實以「互惠」與「反思」為基礎的全校性服務學習，培養學生利他精神與社會實踐的能力,,,,「服務學習TA培訓」
教學,強化教學品質,培育優良教學助教/人力,深化跨領域專業課程共同參與地方公共議題的推動，協力促進地方發展。,,,,「社參教學TA培訓」
教學,強化教學品質,教師專業分享輔導機制,規劃院本課程,,,,組成教師專業社群。
教學,強化教學品質,教師專業分享輔導機制,建置數位學習支援環境,,,,定期舉辦教育訓練
教學,強化教學品質,教師專業分享輔導機制,提升教師數位教學知能,,,,辦理數位教學工作坊及相關課程
教學,強化教學品質,教師專業分享輔導機制,提升教師數位教學知能,,,,鼓勵數位學習教師專業社群，凝聚數位學習共識與交流數位專業知能，成為數位學習推動種子教師。
教學,強化教學品質,教師專業分享輔導機制,持續落實並修訂教師專業社群補助辦法,,,,依據教師教學以及社群主題特性，規劃分級經費額度（縱向：1萬至10萬不等）提供不同的資源管道及適宜的補助經費。
教學,強化教學品質,教師專業分享輔導機制,提供社群網路分享平台,,,,透過平台交流教師教學經驗及討論實踐研究相關議題。
教學,強化教學品質,教師專業分享輔導機制,社群與各項計畫共生相長,,,,結合校內推動的各項方案計畫，透過社群整合資源分享當前教育重大議題及資訊。
教學,強化教學品質,教師專業分享輔導機制,增進專業知能，進行專業對話,,,,邀請校內外專家、學者，辦理專業知能研習以增進教師教學有關之專業知識、方法技巧等，有效協助教師教學。
教學,強化教學品質,教師專業分享輔導機制,分享教學經驗，創新教學方法,,,,邀請校內或校外近三年榮獲教學獎教師擔任主講人
教學,強化教學品質,教師專業分享輔導機制,分享教學經驗，創新教學方法,,,,鼓勵教師參與專題式學習課程，提供教師教學方法與技巧之觀摩，提升教師教學融入實務能力。
教學,強化教學品質,教師專業分享輔導機制,實作與創業職涯輔導,,,,藉由職涯導師培訓，協助導師具備職涯諮詢基本技巧，培養職涯導師具備職涯規劃相關知能。
