構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,跨領域實務專題課程,,,,推動以計劃問題為導向之實做學習教學創新。
教學,強化教學品質,推廣創新教學模式,導入創新教學課程設計,,,,"推動「問題導向式學習（Problem-Based Learning, PBL）」之教學活動外，同時推廣「過程導向的探索式學習（Process Oriented Guided Inquiry Learning, POGIL）」、「學思達教學法」等創新教學法。"
教學,強化教學品質,推廣創新教學模式,民族文化與教學空間的盤點與規劃,,,,教學形式應儘量採取體驗式教學。
教學,強化教學品質,推廣創新教學模式,建構品讀在地客家文化教學基地，激發學生創新創意,,,,在「客家展示館」特展中透過PBL教學模式，打破傳統教學藩籬，激發創新創意。
教學,強化教學品質,推廣創新教學模式,課程融入客家特色產業內涵，引導學生認識產業,,,,開授客家文化相關PBL課程。
教學,強化教學品質,訂定核心能力，規劃課程地圖,鼓勵教學單位推行「課程模組化」,,,,針對中長程校務發展之聚焦智慧整合橘綠科技與社區、產業脈動及社會變遷議題，盤整現有課程後拆分並重組，推行「課程模組化」。
教學,強化教學品質,訂定核心能力，規劃課程地圖,以學院為教學核心單位,,,,統籌整合系所課程，規劃融入系所教育目標與課程大綱之「課程地圖」，採取共同學科不分系混和上課、跨系選修課程合併、成立大一不分系班，同時導入PDCA品保架構，以進行課程調整、師資調度及招生規劃，優化教學資源之配置與調度。
教學,強化教學品質,訂定核心能力，規劃課程地圖,推廣多元化通識課程,,,,針對電機、電子、材料、機械、能源、光電、物聯網、資訊安全等相關實務課程進行盤點，並聘請產業人士給予課程規劃意見，將5+2產業及數位經濟之相關概念導入課程。
教學,強化教學品質,訂定核心能力，規劃課程地圖,發展原鄉教育課程綱要與內涵,,,,課程架構以原住民文化、工業設計、建築設計為主軸，輔以「產品企劃」、「空間規劃」、「環境與防災」、「創新與創業」及「傳統工藝」，除針對原民文創設計課程外，亦包含能學習到工業及建築領域內的相關知識與技術，課程內容亦強調實際操作及創新想法。
教學,強化教學品質,訂定核心能力，規劃課程地圖,示範性教材或教案編撰,,,,擬逐步建置中心專門人力與相關設施，與民間組織合作，結合教育專業與部落文化，引進文創、工業設計、建築等之學科專業編修具統整性之設計學系類科教材，同時融合傳統民族文化知識，以文化底蘊編撰文創教材。
教學,強化教學品質,訂定核心能力，規劃課程地圖,整合能源科技,,,,整合院內能源專長各系師資、建立能源專業人才課程地圖進行教學與研究，發展各能源系統之整合開發，建置能源相關示範教室等。
教學,強化教學品質,強化課程內容,優化學習課程，提高蒞校交流人次,,,,擬由華語文中心推動開設華文先修班、客家研究學院開設臺灣語言與文化班、管理學院開設高階管理人才專班等課程。
教學,強化教學品質,調整課程規劃,培養與強化學生研究能力特色,,,,辦理總整課程，帶入研究議題與產學合作。
教學,強化教學品質,培育優良教學助教/人力,強化多元學習能力,,,,提供師生專業證照補助，並實施教學助理培訓、延攬業師協同教學及補救教學等。
教學,強化教學品質,教師專業分享輔導機制,確認生涯目標、能力完備,,,,規劃職涯種子教師培訓系列活動，如「學生職涯探索與認知」、「學校資源整合連結」及「產業趨勢與就業環境」等知能輔導課程及實務經驗分享。
教學,強化教學品質,教師專業分享輔導機制,跨領域教師成長社群,,,,推動跨領域教師成長社群，集結人文科技不同領域專長教師共同組成社群，透過專題講座、讀書會、教學諮商、工作坊、實作、紀錄片學習、主題式參訪、教材研發及微型教學等形式之活動與課程設計，並每年辦理成果發表會。
教學,強化教學品質,教師專業分享輔導機制,促進創新教學模式典範移轉應用,,,,成立跨領域創新教學、全英語授課、三創教育等創新教學典範移轉成長社群。
教學,強化教學品質,教師專業分享輔導機制,促進創新教學模式典範移轉應用,,,,透過教師跨領域之社群活動，聘邀外籍師資建立外語授課師資培訓機制，促使創新教學典範移轉，提升教師英語授課能力，日後開設全英語授課課程。
教學,強化教學品質,教師專業分享輔導機制,促進創新教學模式典範移轉應用,,,,添購創新教學相關書籍與數位教材，建置「教學知識充電站」，並不定期將書籍簡介、文章、影音連結等相關參考資訊上傳至學校網頁，提供教師自主精進教學創新之學習管道。
教學,強化教學品質,教師專業分享輔導機制,促進創新教學模式典範移轉應用,,,,舉辦新進教師領航活動、教學知能研習講座、三創教學增能系列活動等創新教學知能研習相關活動。
教學,強化教學品質,教師專業分享輔導機制,鼓勵師生參與國際交流活動,,,,薦派校內教師出國參加培訓或研修以提升教學知能。
教學,強化教學品質,推動多元升等,透過評鑑與升等機制倡勵教師從事教學創新,,,,將參與執行學校教學創新實踐計畫納入教師評鑑加分與多元升等項目。
教學,強化教學品質,推動多元升等,促進創新教學模式典範移轉應用,,,,舉辦多元升等改革經驗分享座談會。
教學,強化教學品質,減輕教師教學負擔,減輕授課負擔以鼓勵教師從事課程教材設計,,,,調整課務系統，使其適用於混班開課及排課。
教學,強化教學品質,減輕教師教學負擔,減輕授課負擔以鼓勵教師從事課程教材設計,,,,檢討本校師資結構及生師比，修訂《教師授課鐘點數核計辦法》以減輕教師授課負擔。
教學,強化教學品質,建立教學改善回饋系統,強化學生學習成效評估,,,,建立學生學習成效評估機制，有系統地蒐集與分析學生學習資料，並提供資訊作為學生輔導、與系所之教學策略規劃與改進之依據，並強化後續學生學習輔導機制。
教學,強化教學品質,課程外審,召開原住民教育專家會議,,,,發展原鄉教育之推動期程至少進行五年，因攸關全校師生與家長之權益，藉由校務會議之召開，召集專家小組會議針對原住民教育相關提案充分討論，議案通過後按期程實施。
