構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,發展幼兒健康與安全課程教學創新,,,,規劃並開發幼兒健康與安全課程之創新教材與教法，包括：自製繪本、操作型教具（可放置於益智區、美勞區、扮演區…等）、音樂（自編兒歌）、多媒體教材（偶劇及戲劇演出）等。
教學,強化教學品質,推廣創新教學模式,運算思維與程式設計導入各領域教學之通識課程,,,,成立教學團隊研發創新教學模式與教材，邀請校內外專家學者參與指導。
教學,強化教學品質,推廣創新教學模式,透過科技的優勢來創新研究所相關課程之教學。採用「因材網」結合,,,,翻轉教室（flipped classroom）。
教學,強化教學品質,訂定核心能力，規劃課程地圖,增訂非師培生之專業知能檢核內容,,,,有關非師培生專業能力，應包括「專業與統整能力」及「跨域與創新能力」，具體而言則應完成：A.修畢所屬學系總整模組課程；B.至少修畢一項跨領域模組課程；C.參與專業實習/取得專業證照；D.參與學系專業服務學習活動。
教學,強化教學品質,訂定核心能力，規劃課程地圖,增訂非師培生之專業知能檢核內容,,,,透過師生共同參與會議研商討論，將非師培生之專業知能檢核內容納入相關法規執行。
教學,強化教學品質,訂定核心能力，規劃課程地圖,多元文化語境之英文學習革新課程計畫,,,,為解決檢核項目不均、不易彰顯成效之問題，未來擬增加口說及寫作的量化指標的評量方式，並增加聽說讀寫之質化指標做法。。
教學,強化教學品質,訂定核心能力，規劃課程地圖,跨域學習培養學生就業能力方案,,,,完備本校非師培生學習檢核項目等相關法規。
教學,強化教學品質,訂定核心能力，規劃課程地圖,透過科技的優勢來創新研究所相關課程之教學。採用「因材網」結合,,,,研議整合相關數位課程發展「教育巨量資料分析」專長增能學程之可行性與相關實施程序
教學,強化教學品質,訂定核心能力，規劃課程地圖,建立優良師資培育典範,,,,研發素養導向之國民小學、特殊教育及幼兒園各科教材教法，建構師資培育特色之教育大學。
教學,強化教學品質,強化課程內容,創新「華」世代的教與學研究,,,,致力將華語文與教育的學術專業結合起來，如合作撰寫華語文教科書、爭取教育部研究案研發各種教材教法。
教學,強化教學品質,強化課程內容,創新「華」世代的教與學研究,,,,針對華語文教學相關課程開發創新教材或教法。例如以各種語音、詞彙、句型語法、聽說讀寫等教學法核心概念本位，設計多元的教學活動。
教學,強化教學品質,強化課程內容,教材研發與推廣,,,,以輔助科技實驗室研究團隊為核心，研發應用輔助科技於融合教育的相關教材；透過課程的創新，使特教系大學部師培生具備應用輔助科技於教材製作的能力。
教學,強化教學品質,強化課程內容,發展幼兒健康與安全課程教學創新,,,,培養學生利用創新教材與教法引導幼兒從小落實健康安全行為，進而促進幼兒健康與安全。
教學,強化教學品質,強化課程內容,建立優良師資培育典範,,,,進行教育專業課程之創新教學及彈性多元的師資培育課程，提升師資培育及師資生素質。
教學,強化教學品質,強化課程內容,紮根英語文領域教學研究計畫方案,,,,發展素養導向英語師資培育課程。
教學,強化教學品質,強化課程內容,紮根英語文領域教學研究計畫方案,,,,發展素養導向特色國小英語課程模組。
教學,強化教學品質,調整課程規劃,訂定總整模組課程實施要點及補助方式，協學系落實學生學習成效檢核,,,,各學系發展為期4年7個學期的總整課程模組配套措施，以利學生有系統性的學習歷程。
教學,強化教學品質,調整課程規劃,訂定總整模組課程實施要點及補助方式，協學系落實學生學習成效檢核,,,,訂定相關表單，協助各系總整課程之課程設計符合整合、收尾、反思及過渡四項功能，以確實檢視學生學習成效。
教學,強化教學品質,調整課程規劃,建立以素養為導向的閱讀暨表達課程模組,,,,建立UBD課程設計，提升教學品質。
教學,強化教學品質,調整課程規劃,跨域學習培養學生就業能力方案,,,,完備本校課程模組化實施要點，調整各系所現行課程架構為系基礎模組課程、系核心模組課程、系專業模組課程，並增加學院共同必修課程。
教學,強化教學品質,培育優良教學助教/人力,建立以素養為導向的閱讀暨表達課程模組,,,,通過教學助理社群經營，建立培訓閱讀暨表達教學種子人才。
教學,強化教學品質,培育優良教學助教/人力,啟動教學助理（TA）人才網絡,,,,規劃教學助理培育實作課程及教學職能課程，分為通才及專才系列工作坊，提升教學助理職能，強化協助教學之能力。
教學,強化教學品質,培育優良教學助教/人力,啟動教學助理（TA）人才網絡,,,,培育教學助理學習整合，建立專業養成與教學協助履歷資料。
教學,強化教學品質,培育優良教學助教/人力,啟動教學助理（TA）人才網絡,,,,暢通人才庫媒合管道，以系統化思維完善TA制度。
教學,強化教學品質,教師專業分享輔導機制,建立以素養為導向的閱讀暨表達課程模組,,,,通過教師社群經營，研討大一及大二以上閱讀教學策略、表達教學策略之教學方案。
教學,強化教學品質,教師專業分享輔導機制,創新教學增能新象,,,,評估教師需求，持續辦理多元教學增能研習。
教學,強化教學品質,教師專業分享輔導機制,創新教學增能新象,,,,執行教師研習揪團機制，由教師自主規劃研習課程。
教學,強化教學品質,教師專業分享輔導機制,創新教學增能新象,,,,建立虛實整合e化研習平台，開放不受限的研習型態。
教學,強化教學品質,教師專業分享輔導機制,建構跨域學習場域，引領教師投入,,,,盤點校內教師社群現況，建立跨域教學社群運作機制。整合社群運作支持系統，鼓勵教師組成跨域教學社群，分享專業領域問題，討論並釐清背後關鍵。
教學,強化教學品質,教師專業分享輔導機制,強化跨域學習場域，培育教師教學跨域力,,,,推動跨域教學社群，跨域教學社群透過研討激發創意點子，發展教學活動設計。完善並落實社群運作支持系統。
教學,強化教學品質,教師專業分享輔導機制,適性教學教材開發與適性教學素養精進,,,,辦理因材網工作坊，讓校內教師熟練因材網與教學模式，提升教師適性教學素養。
教學,強化教學品質,教師專業分享輔導機制,適性教學教材開發與適性教學素養精進,,,,邀請校內各系所以必修課程為目標，分析結合因材網融入之課程可行性，建立適性教學教師社群。
教學,強化教學品質,教師專業分享輔導機制,適性教學教材開發與適性教學素養精進,,,,開發適性教學教材，辦理編製工作坊，協助合作教師編製課程知識結構、講義製作與評量設計。
教學,強化教學品質,教師專業分享輔導機制,運算思維與程式設計導入各領域教學之通識課程,,,,形成跨域教師專業發展社群，帶動教師教學與研究結合，進而精進教學與專業。
教學,強化教學品質,教師專業分享輔導機制,運算思維與程式設計導入各領域教學之通識課程,,,,建立本校各領域典範教材與評量標準並辦理教學工作坊持續示範與推廣。
教學,強化教學品質,教師專業分享輔導機制,透過科技的優勢來創新研究所相關課程之教學。採用「因材網」結合,,,,辦理工作坊，分享及推廣以因材網進行高教課程教學創新經驗。
教學,強化教學品質,教師專業分享輔導機制,彌合以實證研究為基礎之教學策略與實務應用之創新課程,,,,成立跨國專家諮詢小組，與國外學校共同規劃交流課程。
教學,強化教學品質,教師專業分享輔導機制,彌合以實證研究為基礎之教學策略與實務應用之創新課程,,,,邀請相關領域學者參與專業教師社群，共同開發創新教學模式課程。
教學,強化教學品質,教師專業分享輔導機制,彌合以實證研究為基礎之教學策略與實務應用之創新課程,,,,提供教師創新教學的觀課機會。
教學,強化教學品質,教師專業分享輔導機制,教師在職進修基地計畫,,,,進修推廣部持續透過並增加開設各種教師在職進修班、推廣學分班與非學分班以及相關線上課程，發展教師在職進修課程創新教學模式（如翻轉教學、遠距課程）。
教學,強化教學品質,教師專業分享輔導機制,研發與實踐小學數學,,,,規劃科學、技術、工程與數學（STEM）之統整課程，透過研討會與專業社群研討方式分享並推廣成果，協助學生掌握STEM計畫導向的學習的重點。
教學,強化教學品質,教師專業分享輔導機制,國民小學本土語文教學研究中心,,,,提昇在職教師及師資生讀說寫作閩南語及客家語能力，規劃辦理「閩南語認證研習班」及「客家語認證研習班」
教學,強化教學品質,健全教師（學）評鑑制度,系所品質保證機制,,,,建立共識，完備教學品保機制校、院、系級法規及作業程序。
教學,強化教學品質,健全教師（學）評鑑制度,系所品質保證機制,,,,參考國內外專業評鑑機構評鑑項目及內容，持續檢討修正教學品保機制。
教學,強化教學品質,健全教師（學）評鑑制度,提升學生（華語教師）學習成效部分,,,,開設證照加強班，以強化華語師資證照考取率；開設實務培訓班，以強化準華語師資職前知能。
教學,強化教學品質,健全教師（學）評鑑制度,國民小學本土語文教學研究中心,,,,輔助教育部臺灣閩南語臺語認證考試B級及客家語中高級，適用於閩南語及客家語進階學習、觀光服務業的語言能力認定，而通過此級認證，進而培訓本土語文教學師資，以推廣本土語文教學，並具備有本土語言授課資格。
