構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,經典課程跨系合作,,,,「表演藝術的兩種PaR研究」：PaR的雙重意義包括將研究與實踐互相一體結合的實踐研究（Practice as Research），也是展演研究（Performance as Research），發展出北藝大對於表演藝術兩種PaR研究取向。而PaR實踐研究，亦是藝術社會實踐的一種樣貌。
教學,強化教學品質,推廣創新教學模式,深耕推廣與藝術體驗,,,,教學構面
教學,強化教學品質,推廣創新教學模式,放眼大亞洲、新南向藝術連線,,,,教學構面
教學,強化教學品質,健全教師（學）評鑑制度,教務創新與改革,,,,發展藝術大學特色的「教學評量」：以自身獨特的展演教學型態，考量教務整體制度，重新打造專屬於北藝大的「教學品質機制」，將由通識課程開始實施，並透過五年的時間，進行專業學院內的討論，提供校內理論、實作、術科或工作坊等不同型態課程另一種課程評量的選擇，預計推動全校60％至70%的課程實施。
教學,強化教學品質,健全教學獎勵制度,設立獎學金制度，推動碩、博士生教授跨領域基礎課程,,,,設立博、碩生教學獎學金制度，遴選各專業系所優秀博、碩生開課給非專業主修學生學習的學士班課程。搭配跨領域教師共時授課的跨域對話課程，讓跨領域學習的方式更多元、更深入，提早培養博、碩生的教學能力，促進本校教學助理制度的進化，與國際標竿高等院校的獎學金制度接軌。
教學,強化教學品質,減輕教師教學負擔,降低「生師比」，提升教學品質,,,,為提升教學品質，顧及學生學習權益，預計透過本計畫資源的挹注，增聘專案教師14人，以降低北藝大的「生師比」，以提升整體高等教育的品質。
教學,跨領域學習,規劃跨領域學位（分）學程,善用新媒體技術的跨系開課,,,,課程調整設計：如「新媒體影像創作」、「新媒體科技研發」、「新媒體跨域表演」等課群方式養成學生的基本能力；這些課程除了影新學院的學生修習之外，也與舞蹈、戲劇與音樂三個學院進行跨院合作，規劃至少兩位跨領域教師共同開課，讓雙邊學生共同選修。預計將透過音樂系、新媒系相關課程，將音樂媒材與行動裝置感測器大數據分析交相應用，進行跨域實驗創作的學習課程。
教學,跨領域學習,規劃跨領域學位（分）學程,經典課程跨系合作,,,,「數位聲音課程」：對現階段音樂學系「電腦音樂創作課程」教學模式進行創新與改變，再以此電腦創作課程為基礎，進行多元跨域教學擴充，與影音多媒體等其他領域藝術教學展演資源結合，同時與國際姊妹校合作進行移地教學，並引進國際合作教學模式，強化教師社群教學實力，與國際專家學者交流學習。
教學,跨領域學習,規劃跨領域學位（分）學程,經典課程跨系合作,,,,「國際動畫課程」：擬與法國巴黎第八大學藝術與科技影像系所合作舉辦的跨域課程。
教學,跨領域學習,規劃跨領域學位（分）學程,經典課程跨系合作,,,,「劇場管理學分學程」：學分學程預計引進耶魯大學專業師資，結合兩系之教學資源與專長，從經驗知識系統與理論基礎，建構系統化的教學脈絡，精進製作管理與舞臺監督相關能力，需跨系選修，而製作管理主修，除了本院的主修課程外，亦必修藝術行政與管理研究所（簡稱藝管所）課程，兼具管理專業能力，以培養全方位專業劇場製作與管理人才。
教學,跨領域學習,規劃跨領域學位（分）學程,教務創新與改革,,,,推動多元自主學習的「藝跨學程」：修習取得之學分可內含於畢業學分，突破傳統學分學程的框架及成效不彰的困境；期更能有效解決學生因畢業門檻限制而無暇顧及自主學習之窘境。
教學,跨領域學習,規劃跨領域學位（分）學程,深耕推廣與藝術體驗,,,,為愛啟程──音樂藝術跨藝美感體驗計畫：邀請2至3位跨藝領航導師及跨藝案例對談分享，進行數位影音錄製，為後續跨藝實務課、跨國跨領域工作坊的預備，已邀請音樂系、傳統音樂系、動畫系、新媒系、舞蹈系師長參與跨藝領航導師。後續將進行更多不同系所的串聯，同時亦縱向透過專業實務類課程，深化創作實務、編曲實務、展演實務、音樂事業實務…等課程，建立IMPACT同學編、創、產、製之專業知能。
教學,跨領域學習,跨領域教學,以科技誘發藝術創作與展演的大膽想像,,,,跨越音樂類型的「大樂團」：推動「IMPACT跨藝領航聯盟」教師社群的連結，邀請本校各院系具有跨藝理念之專任教師擔任跨藝領航導師，共同促進IMPACT音樂學程與各院系師生在課程學習上的實務合作。
教學,跨領域學習,跨領域教學,經典課程跨系合作,,,,「電影道具佈景工作坊」：針對影視場景的搭建做為基礎，讓學員在學校內學習如何使用適當的工具搭建出可拍性高的場景空間。該工作坊將成為跨領域教學空間，招收電影系、美術系、劇設系及其他相關系所學生，並鼓勵不同領域學生相互學習。
教學,跨領域學習,跨領域教學,經典課程跨系合作,,,,「傳統樂器工藝工作坊」：透過製琴的過程，讓學生具備修復樂器的基本能力，並且進一步延伸到跨文化音樂演出時，對樂器的掌握。
教學,跨領域學習,跨領域教學,深耕十二年國教藝術教育人才整合,,,,跨領域整合：以新媒體藝術課程為根基，將108課綱將釋出的彈性空白課程建立更多跨領域共同備課連結，提供義務教育教師增能與技術諮詢，進縱向而連結高等教育與義務教育。
教學,人才國際化,多元文化/文化交流,深耕推廣與藝術體驗,,,,從樂器建立國際觀－「亞洲傳統樂器博物館」：透過專業的盤點與管理、建構樂器的線上資料庫做教育推廣；最重要的是希望能夠設置「亞洲傳統樂器博物館」展出，並邀請臺灣相關領域的研究學者，進行演出、演講等等活動。這個計畫希望從臺灣傳統音樂出發並串連「世界音樂」，讓大家了解臺灣傳統音樂和亞洲傳統音樂的關係，做為建立國際視野的一個方式。
教學,人才國際化,多元文化/文化交流,放眼大亞洲、新南向藝術連線,,,,新南向城市標竿大學音樂展演暨學術研討會：以展演交流互惠方式建立實質關係外，並由本校音樂學院舉辦「南島語系音樂學研討會」，主動邀約東南亞地區音樂學者及亞洲、臺灣南島語系相關研究學者交流。
教學,人才國際化,多元文化/文化交流,放眼大亞洲、新南向藝術連線,,,,南向多元跨域合作：更深入專業而永續多元而深入的合作。
教學,人才國際化,多元文化/文化交流,跨出亞洲，國際連線,,,,國際動畫影展雙向交流計畫：交流合作，擬積極建立姊妹影展的關係並舉辦師生觀摩影展活動。與國際知名中大型影展擬與國際各知名動畫影展建立雙向交流與觀摩活動，參與國際影展與授權展等
教學,人才國際化,多元文化/文化交流,跨出亞洲，國際連線,,,,國際動畫學校雙向交流計畫：擬與國際各知名動畫學校展開課程或工作坊雙邊創作與交流活動，並積極建立國際動畫姊妹系，並舉辦師生觀摩與雙相交流活動。
教學,人才國際化,辦理海外參訪或移地教學,跨國連線「日本利賀夏日學校」,,,,設立日本北藝大校區，每年暑假期間實施移地教學，派遣戲劇研究所主修導演、表演及理論的研究生各約15名進駐利賀校區，進行聯合夏日學校課程。利用「利賀國際藝術節」的界面，讓臺灣的學生在國際性的場域當中訓練、創作、展演、參與導演競賽，並參加國際藝術節，且與聯盟友校現地交流。
教學,人才國際化,辦理海外參訪或移地教學,跨出亞洲，國際連線,,,,國際交換駐地計畫：透過關渡美術館原有的資源網絡機構交換駐地創作的機會，或透過系所學院及教師資源網絡新鏈結的駐地場域，每年得以甄選優秀的劇本創作學生赴當地進行駐地創作計畫，在不同的場域間開展不同的眼界，學生也能為未來在華語戲劇編創業間投石問路。
教學,人才國際化,辦理海外參訪或移地教學,跨出亞洲，國際連線,,,,姊妹校聯合展演、課程、培訓及雙向交流：落實於課程教學的雙向交流，並為未來建立雙聯學制做前行鋪路預備。預計執行模式，將由姊妹校雙方教師到對方學校（或者以雙方學校交換教師方式），以微型課程或大師班方式開設與展演交流相關課程以進行培訓，再由教師帶領學生至對方學校進行課程與展演交流。
