構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,啟發師生創意,,,,開設創意課程，經由課程教師及學生之間之互動彼此腦力激盪。
教學,強化教學品質,推廣創新教學模式,啟發師生創意,,,,課程以小組的方式進行合作學習，師生討論以及簡短的創意概念構想書為依據，瞭解學生在課堂中的學習以及回饋為何。於課程評量部分加入創意發想書初稿作為課程評量依據之一。
教學,強化教學品質,推廣創新教學模式,微翻轉遊戲-安全幸福系統,,,,發展「微翻轉遊戲式學習」系統：將品德教育、防制藥物濫用、反詐騙、學生賃居安全、交通安全教育及防災教育等教材融入數位遊戲，以擴增實境的情境教學環境。例如，開發「花甲男孩」「通靈少女」擴增實境遊戲，請學生參與角色扮演。
教學,強化教學品質,推廣創新教學模式,微翻轉遊戲-安全幸福系統,,,,設計互動學習機制：在課程中加入舞臺表演、3D教育體驗及闖關遊戲、摸彩等等活動，與現場參與學生互動，以落實宣達學生安全的正確觀念。預計探討的議題有：孝道、手足倫理、網交、人身安全、詐騙預防、拒絕毒品、防災體驗及防範交通事故等單元。
教學,強化教學品質,推廣創新教學模式,鼓勵教師發展創新教學方法，優化教學並展現教創領航之能量,,,,持續舉辦教學創新實踐計畫，鼓勵教師在教學方法上不斷精益求精。
教學,強化教學品質,推廣創新教學模式,鼓勵教師發展創新教學方法，優化教學並展現教創領航之能量,,,,替換式數學教學的設計是要修改過去數學教材以單一向度的佈題設計思維，改為同時考量二個向度（垂直替換佈題與水平替換佈題）的二維設計數學問題。
教學,強化教學品質,推廣創新教學模式,鼓勵教師發展創新教學方法，優化教學並展現教創領航之能量,,,,「結構式提問策略」主要是以一個具有二個向度的「結構式提問單」去建構文本中的問題。教師可以藉由統整性的問題，要求學生整合各段訊息以回答問題，或是從文本推論出更高層次的提問問題。此種方法可廣泛運用於各種需文本閱讀的課程。
教學,強化教學品質,推廣創新教學模式,鼓勵教師發展創新教學方法，優化教學並展現教創領航之能量,,,,學習共同體之相互理解教學法係結合「學習共同體」、「合作學習」，以及「相互理解教學法」研擬而成的創新教學模式。特別適合用在「教育實習」等實務性課程。
教學,強化教學品質,推廣創新教學模式,鼓勵教師發展創新教學方法，優化教學並展現教創領航之能量,,,,「主題式即興個案教學法」簡述如下： 老師講解與當日個案有關之理論觀點與實務議題，接著由同學閱讀當日指定個案，每位同學思考個案討論問題單元，再由同學們提出個案相關問題與討論，老師引導同學們進行更多元及深入的討論。此種方法適合用在「個案管理」「案例教學」等課程。
教學,強化教學品質,推廣創新教學模式,鼓勵教師發展創新教學方法，優化教學並展現教創領航之能量,,,,多面向應用模式教學以主題單元方式進行，藉由小組共讀文本，討論與分享，形成問題，在單元結束後由主題延伸相關活動，並能進行桌遊設計或旅遊文案等跨域實作。適合用於「文學賞析」「女性文學」等。
教學,強化教學品質,推廣創新教學模式,建構問題導向學習機制,,,,強調有基礎扎根的創新教學，透過適性學習的方式，培養學生跨域整合能力，更養成問題解決、團隊合作的能力，強化學生語言與程式設計能力，建立「彈性自主且開放性的實務教學模式」。
教學,強化教學品質,推廣創新教學模式,產學研發館,,,,分組討論與同儕互評系統能協助教師更為有效管理課室，為學生進行分組，開放討論版面，甚至可以在同儕作品上進行互評，提高認知技能。
教學,強化教學品質,推廣創新教學模式,產學研發館,,,,數位學習遊戲結合桌遊機制、以程式設計操作機器人、並在遊戲情境中進行運算思維邏輯思考與問題解決，再透過動手作之科技導入創客課程，讓學習者得以自己創造機器人，創客設計美化，然後進行遊戲。
教學,強化教學品質,推廣創新教學模式,敢DO課程拼圖,,,,分流課程中的實驗課採以翻轉教學方式進行，增加學生學習動機，讓學生以peer-to-peer的學習方式進行實驗。
