構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,精進磨課師課程翻轉教學,,,,藉由翻轉教室學習之教學模式，強化師生課堂間之互動與交流。
教學,強化教學品質,推廣創新教學模式,必修與分類通識課程活化方案,,,,要求必修與分類通識課程授課教師在學期中增加有助學生主動學習和參與的學習活動，包括實地考察、機構參訪、表演、創作、肢體活動、競賽、工作坊等。
教學,強化教學品質,推廣創新教學模式,民族樂器移動櫥窗方案,,,,以中國音樂學系開設的三門課程（中國樂器概論、臺灣音樂概論、中國音樂史）為主體，每學期先通過課堂講授各12週（包含音樂形式與內容、圖卡與看板製作方法、移動櫥窗概念與影片拍攝編輯）、2週製作移動櫥窗所需的文案與圖卡，2週在校園尋覓不重複的5位非音樂學院之教職員工生，為其進行移動櫥櫃宣講介紹（含講解3分鐘、示範表演2分鐘、Ｑ&A1~3分鐘）。
教學,強化教學品質,推廣創新教學模式,民族樂器移動櫥窗方案,,,,移動櫥櫃校園傳播小組每組3位同學，在2週內持圖卡看板和樂器，向校園夥伴介紹樂器常識與示範表演（包含音樂常識介紹、現場演奏或短片播放）並同步錄製影片，再將影片剪輯並配上字幕後，以M與地方（或中央）政府連結（配合政策提供專業資訊/服務）檔案於最後2週在課堂上播放，並與師生分享移動櫥窗的執行完成與心得感想，由授課教師講評。
教學,強化教學品質,推廣創新教學模式,藝術科技跨域管理人才方案,,,,課程以移動教室進行，運用設計思考（Design Thinking）教學技巧帶領學生發想節目的創新製作與展演內容。
教學,強化教學品質,訂定核心能力，規劃課程地圖,推動核心能力評核與回饋機制,,,,各院（含共教會）每學年度定期召開課程規劃委員會，並參照學生、雇主、畢業生、產業界等利害關係人之建議，檢討基本素養與核心能力。
教學,強化教學品質,培育優良教學助教/人力,行政資源,,,,規劃每位專任教師聘請至少1位教學助理協助相關課程之教學進行。
教學,強化教學品質,培育優良教學助教/人力,中文表達能力提升方案,,,,聘任與培訓中文TA，協助閱讀書寫等相關專班及輔導。
教學,強化教學品質,培育優良教學助教/人力,英文能力提升方案,,,,培訓英文TA，協助閱讀書寫等相關專班及輔導。
教學,強化教學品質,培育優良教學助教/人力,預警輔導機制,,,,每學期辦理課輔助理（CA）遴聘工作，協助教師課程教學與學生之課後輔導，並定期辦理教學助理、課輔助理研習活動。
教學,強化教學品質,教師專業分享輔導機制,行政資源,,,,持續辦理教師專業成長活動與創新教學論壇活動，同時與各學院合作辦理教學成長講座，讓講座主題能符合各學院所需之專業化及深入化。
教學,強化教學品質,教師專業分享輔導機制,同儕支持,,,,推動新進教師輔導與研習活動。
教學,強化教學品質,教師專業分享輔導機制,同儕支持,,,,鼓勵教師參與傳習制度，由資深教師協助引導資淺教師之專業成長，包含：教學、研究與展演合作、學生輔導等，同時也讓資淺教師在互動過程中能分享一些新觀念給資深教師。
教學,強化教學品質,健全教師（學）評鑑制度,教師評鑑,,,,評鑑制度則期望結合傳習制度、教師社群以及多元升等制度之推動，讓教師在接受評鑑前就能夠取得教學輔導之資訊及資源。
