構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,建構新校務相關制度法規,,,,提供創新教學獎勵機制：分校、院擬定創新教學獎勵辦法，籌組審查委員會及審查機制，編列年度預算。定期舉辦成果發表會，以收觀摩示範成效。
教學,強化教學品質,推廣創新教學模式,英文創新課程,,,,設計以學生為主體的創新教學方法，例如English for International Communication 「英文溝通力創新教學課程」。
教學,強化教學品質,推廣創新教學模式,發展創新教學模式,,,,推動問題導向式課程教學：建立問題導向式課程典範，導入並執行問題導向式課程之教育法則，並舉辦相關之推廣教育工作坊，由教師在教學過程中，以實務問題為核心，鼓勵學生進行小組討論之合作學習模式，培養學生主動學習、批判思考和問題解決能力。此外與校內各級研究中心及在地產業連結，作為專題研究題目之基礎。
教學,強化教學品質,推廣創新教學模式,發展創新教學模式,,,,發展自主性學習教學模式：以「綠色與資訊科技」兩大特色知識領域為主軸開設「資訊志工」及「教學實驗演示」兩類型專業服務學習課程。配合臺東在地需求，在專業服務學習課程授課教師的翻轉式教學模式引導下，由學生自主設計課程學習內容，並擔任「志工」角色，結合校內系所學術專業以及校外產業應用實務，根據需求去勾勒出實踐技能，並以此製作教學單元，經志工課程會議進行專業審查後作為開課參考內容。
教學,強化教學品質,訂定核心能力，規劃課程地圖,程式設計課程,,,,發展程式教育共同基礎指標：藉由授課教師共同合作，第一階段先建立107-110學年度程式教育共同基礎指標。
教學,強化教學品質,訂定核心能力，規劃課程地圖,落實跨域與自主學習成效,,,,推動各系運用UCAN系統結合職能重新修正核心能力、盤點課程及繪製課程地圖，包括課程相關UCAN職能及跨域/新興職業之設定，並由設定之職能清單檢核系核心能力、課程的連貫性與完整性，調整課程設計。
教學,強化教學品質,訂定核心能力，規劃課程地圖,落實跨域與自主學習成效,,,,依各系學科領域之特性，開設不同型態之統整性課程。課程由2-4位教師及6-24位學生形成師徒群制，結合各院二級中心資源，由師生共同訂定研究議題，課程涵蓋學術探究、實作實習、創業培訓、成果加值等方向，辦理統整性課程發表會，促進各系所教師、學生間的分享、學習與回饋。
教學,強化教學品質,訂定核心能力，規劃課程地圖,推動族語課程與族語師資培育課程,,,,開設常態性族語課程，課程分為基礎、初階、中階、高階等，實施團體課程與個別課程，提供國內外人士學習族語之平臺。
教學,強化教學品質,訂定核心能力，規劃課程地圖,原住民生態智慧教研,,,,增聘師資，有系統的開設原住民TEK課程：由淺而深、由概論而專論的開設相關課程，舉例如下。學士班：原住民族文化資源概論→碩班：原住民族文化資源與調查；學士班：原住民族社會與文化→碩班：原住民族志研究；學士班：原住民族生態環境教育概論→碩士班：原住民族生態環境教育與實作、布農族山林教育專題、排灣族生態知識系統研究等。
教學,強化教學品質,訂定核心能力，規劃課程地圖,統整綠色知識經濟產業教研能量,,,,統整與智慧、健康、永續、及美學相關之跨領域學習路徑，適當導入UCAN核心職能、就業途徑，提供系所核心能力、課程核心職能、及學生學習路徑之調整及規劃建議。
