構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,擴大專業實作課程,,,,鼓勵並補助開設工作坊課程之教師，鼓勵教師從事創新教學。
教學,強化教學品質,推廣創新教學模式,獎勵教師創新教學,,,,建構翻轉教學：將課堂「知識講授」和學生回家自行練習作業的順序對調，再帶到課堂上進行討論。
教學,強化教學品質,強化課程內容,強化學生基礎能力,,,,以前一年學生選課的反饋，增加並強化專業課程內容與師資。
教學,強化教學品質,調整課程規劃,擴大專業實作課程,,,,以院為單位，統整專業實作課程，設計課程各式模組。
教學,強化教學品質,調整課程規劃,強化學生基礎能力,,,,以「課程編碼」推動專業課程模組，培養學生核心能力。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,採補助金額分級機制，依社群規劃內容與預期成效給予相關補助，納入學生共同參與專業社群機制，保持師生雙向溝通。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,透過獎項的設立及辦理公開的成果分享與經驗傳承的交流活動，促進教師專業實踐分享與創新發展。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,透過校際間各社群的互訪活動，藉不同背景的社群經驗交流，提供多樣化的學習管道、發展教師人際關係。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,建置「教師成長基地」，每學期定期安排教師成長研習活動，提供教師跨域合作、討論交流空間。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,透過「小型教學座談會」針對校內資深或教學績優教師經驗分享，做為Mentor教師，提供新進教師諮詢與經驗傳承等相關資源。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,舉辦「教師成長營」，鼓勵教師持續精進並促進同儕交流，及對教師在職涯上可能遇到的教學及研究問題與未來挑戰。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,舉辦「多元教師成長講座」，邀請校內外教學績優教師、各領域專家學者等分享教學與實務經驗，並培養一位教師所需具備的六大能力，強化教師教學。
教學,強化教學品質,教師專業分享輔導機制,獎勵教師創新教學,,,,透過系所初選推薦教師，經院級複選提報，最後由校方決選初核與複核後，依總成績高低錄取之；並以Mentor夥伴制度讓教學卓越績優教師帶領新進教師及進行教學輔導。
教學,強化教學品質,教師專業分享輔導機制,強化學生基礎能力,,,,成立「英語教學教師社群」：邀請學者演講或邀請具全英語授課經驗之教師分享教學經驗。
教學,強化教學品質,教師專業分享輔導機制,推行教師研究與升等變革,,,,推廣專利及技術移轉等教育訓練，帶動教師創作能量。
教學,強化教學品質,教師專業分享輔導機制,推行教師研究與升等變革,,,,舉辦講座，讓教師分享與交流其專業與升等過程。
教學,強化教學品質,健全教師（學）評鑑制度,獎勵教師創新教學,,,,教學績優教師反饋協助教師，讓新進教師得以及早融入本校教學環境，教師評鑑未通過或教學評量不足之教師，獲得輔導及改善教學。
教學,強化教學品質,健全教師（學）評鑑制度,推行教師研究與升等變革,,,,教師在研究、教學、創作、展演任一領域有績效卓越者，免予評鑑。
教學,強化教學品質,健全教師（學）評鑑制度,推行教師研究與升等變革,,,,配合教育部政策增加推行面向，如善盡社會責任之參與項目和成效等。
教學,強化教學品質,健全教師（學）評鑑制度,推行教師研究與升等變革,,,,針對現行教師評鑑制度進行檢討。
教學,強化教學品質,推動多元升等,推行教師研究與升等變革,,,,鼓勵教師組織教師多元升等專業社群。
教學,強化教學品質,健全教學獎勵制度,獎勵教師創新教學,,,,修正本校教學卓越績優教師遴選及獎勵要點，訂定獎勵分級制，配合修正相關評分項目。
教學,強化教學品質,健全教學獎勵制度,獎勵教師創新教學,,,,依據新修訂辦法遴選教學卓越績優教師「教學績優」及「教學優良」獎，頒發獎狀及獎勵金。
教學,強化教學品質,健全教學獎勵制度,獎勵教師創新教學,,,,選拔「教學績優」及「教學優良」教師，邀請教師分享，將卓越之教學經驗傳承，並針對獲獎教師進行側錄及建檔。
教學,強化教學品質,健全教學獎勵制度,推行教師研究與升等變革,,,,盤點並修訂本校獎勵及補助機制。
教學,強化教學品質,健全教學獎勵制度,推行教師研究與升等變革,,,,訂定並推行學術研究及創作展演卓越獎勵辦法，獎勵積極從事學術研究及創作的優異教師。
教學,強化教學品質,建立教學改善回饋系統,建立IR校務資料應用機制,,,,透過IR分析了解學生學習歷程，分析問題並適時反應及回饋，以達到學習成效的評估。
教學,強化教學品質,建立教學改善回饋系統,建立IR校務資料應用機制,,,,開發行動APP將IR分析、比對、量化後的學生個人學習評估狀況提供給學生。
教學,強化教學品質,建立教學改善回饋系統,建立IR校務資料應用機制,,,,整合既有M化校務行政服務基礎，將IR量化後的學生個人學習評估狀況，結合「雲端服務資源」、「服務導向架構」與「物聯網感知服務」，建立高度適性的智慧校園。
教學,跨領域學習,規劃跨領域學位（分）學程,建構跨域學習優質環境,,,,建構各院跨領域課程模組。
教學,跨領域學習,規劃跨領域學位（分）學程,建構跨域學習優質環境,,,,透過全校統一時段之跨領域課程，鼓勵學生修習非本專業學院的課程。
教學,跨領域學習,規劃跨領域學位（分）學程,建構跨域學習優質環境,,,,增加跨系選修課程。
教學,跨領域學習,規劃跨領域學位（分）學程,擴大專業實作課程,,,,規劃跨院之專業課程組。
教學,跨領域學習,規劃跨領域學位（分）學程,擴大專業實作課程,,,,推動跨域專案課程。
教學,跨領域學習,規劃跨領域學位（分）學程,強化學生基礎能力,,,,開設跨域創作課程。
教學,跨領域學習,跨領域教學,獎勵教師創新教學,,,,招募與成立以美術、設計、傳播、表演藝術等藝術專業之跨域種子教師團隊。
教學,跨領域學習,跨領域教學,獎勵教師創新教學,,,,媒合機械、程式設計、各式多媒體等技術專家學者及業界資源，組成跨域協作團隊。
教學,跨領域學習,跨領域教學,獎勵教師創新教學,,,,與業界專家進行知識創新的跨領域對談、專案規劃、學習誘因與氛圍環境塑造及課程設計。課程設計部分，透過專案模式，幫助教師了解現今跨領域藝術展現的焦點，協助學生於專案製作中，獲得適當的跨域整合訓練。
教學,跨領域學習,跨領域教學,強化學生基礎能力,,,,協調各學系、院、通識中心教師參與開設課程之相關事宜，並鼓勵師資整合與協同教學。
教學,提高學習自由度及彈性,調降系必修學分,建構跨域學習優質環境,,,,逐步降低必修學分數。
教學,提高學習自由度及彈性,微學分（彈性學分）,建構跨域學習優質環境,,,,專業課程彈性化：在合理範圍內學生不拘年級與學制選擇專業課程。
教學,人才國際化,增進外語能力,強化學生基礎能力,,,,開設多元語文課程，提升學生多元語文能力。
教學,人才國際化,增進外語能力,強化學生基礎能力,,,,依不同學院科系蒐集該學院常用的英文單字，上傳至臺灣藝術英語網，作為學生學習基本資源。
教學,人才國際化,增進外語能力,強化學生基礎能力,,,,設置藝術英文寫作診療室：聘請本校外籍專業教師，針對教師和學生英文寫作之疑難雜症，協助學生出國交換或參加國際比賽撰寫文案等服務，並定期舉辦英文寫作技巧和方法之演講。
教學,人才國際化,增進外語能力,強化學生基礎能力,,,,深化多元語言通識課程：逐年增設多元語言課程，如日文、法文、西班牙文等，配合本校開設之國際視野課程。
教學,人才國際化,多元文化/文化交流,強化學生基礎能力,,,,多元語言環境教室：設置語言（日、法、西班牙文等）交換配對機制，設立國際情境教室，促進與國際學生語言與文化交流。
教學,人才國際化,多元文化/文化交流,鼓勵師生境外研習,,,,輔導並補助學生成立國際學生社團。
教學,人才國際化,多元文化/文化交流,拓展國際藝術視野,,,,定期舉辦臺灣文化活動，使外籍學生與教師能藉此了解並體驗臺灣在地風土民情。
教學,人才國際化,多元文化/文化交流,拓展國際藝術視野,,,,籌辦「國際週」藝術活動：促進國際學生與在地學生藝術文化、美食交流，分享生活文化差異。
教學,人才國際化,多元文化/文化交流,攜手國際學術聯盟,,,,透過本校大臺北國際藝術節與雙年展等國際活動，逐步籌備歐美澳地區知名藝術學術殿堂與專業團隊，來臺聯合展演。
教學,人才國際化,多元文化/文化交流,攜手國際學術聯盟,,,,結合本校各系所專業帶動在地國際藝術交流，如整合行銷與開發周邊商品，可和本校設計學院與傳播學院資源串聯等。
教學,人才國際化,辦理海外參訪或移地教學,鼓勵師生境外研習,,,,鼓勵師生積極參與境外教學活動。
教學,人才國際化,辦理海外參訪或移地教學,鼓勵師生境外研習,,,,制定獎勵教師赴境外短期研修、交流展演相關法規。
教學,人才國際化,辦理海外參訪或移地教學,鼓勵師生境外研習,,,,協助教師規劃海外培訓事宜，以及與海外學校洽談。
教學,人才國際化,辦理海外參訪或移地教學,鼓勵師生境外研習,,,,鼓勵教師參加海外短期研修教師工作坊，回國舉辦心得發表。
教學,人才國際化,交換學生,鼓勵師生境外研習,,,,配合新南向政策，獎勵學生前往南向政策國家異地學習。
教學,人才國際化,交換學生,鼓勵師生境外研習,,,,提供赴外研修補助，並可於課程研修及畢業等認定，從寬彈性辦理。
教學,人才國際化,交換學生,鼓勵師生境外研習,,,,持續提升姊妹校的出國交換名額與擴大選讀系所，針對學生需要，積極接觸海外學校洽談合作事宜。
教學,人才國際化,交換學生,拓展國際藝術視野,,,,成立「外語諮詢中心」：提供多國語言之出國交換、留學、境外實習、出國交流之研修計畫、申請表單及作品集等相關文件之撰寫建議與諮詢服務。
教學,人才國際化,交換學生,攜手國際學術聯盟,,,,強化與歐美國度之代表性藝術大學之合作與交流，同時佈署澳、非等其他區域之國際交流。
教學,人才國際化,交換學生,攜手國際學術聯盟,,,,籌辦交換教師，擴大招收交換學生。
教學,人才國際化,生源國際化（及其配套措施）,拓展國際藝術視野,,,,配合境外生需求開設華語課程，要求境外生接受華語能力測驗，並依結果分班授課。
教學,人才國際化,招聘外籍老師（或邀請授課）,拓展國際藝術視野,,,,長期聘任國際師資：請各系所以三年為期，敦聘優良國際師資。
教學,人才國際化,招聘外籍老師（或邀請授課）,拓展國際藝術視野,,,,以國際師資為中心開辦講座、工作坊或展演活動。
教學,人才國際化,招聘外籍老師（或邀請授課）,攜手國際學術聯盟,,,,藉藝術節與雙年展之常態活動，邀請來校國內外專家學者駐校，並以其為中心開設工作坊課程或講座，促進專業跨域交流。
教學,提升基礎能力,強化寫作能力,強化學生基礎能力,,,,開設「傳承『心』故事課程」：學生透過臨摹大師的作品，摸索自我創作的樂趣和個人風格。
教學,提升基礎能力,強化寫作能力,強化學生基礎能力,,,,「傳承『心』故事」，結合「口述歷史」與「樂齡長輩」的課程計畫，課程作品「生命故事書」完成後在校內舉行展覽和比賽。
教學,提升實作能力,推動各類競賽（實作能力）,強化學生基礎能力,,,,舉辦「我的跨領域藝術創作」競賽：鼓勵各系所學生組隊或個人跨領域藝術創作，邀請專家學者進行評審，分享其跨域藝術創作經驗。
教學,提升實作能力,推動各類競賽（實作能力）,建構跨域學習優質環境,,,,新生入學第一學期即有「創意舞劇競賽」，讓新生體驗美術、設計、表演、傳播的跨領域合作學習。
教學,提升實作能力,呈現、檢核或評估實作成果,擴大專業實作課程,,,,擴大辦理各式成果發表會，邀請業界企業一同檢視學習產出，並將共同檢視成果之意見回饋至校內課程，調整授課模式。
教學,提升實作能力,呈現、檢核或評估實作成果,建構優質學創平臺,,,,辦理「創作成果發表」展會。
教學,提升實作能力,呈現、檢核或評估實作成果,拓展學生藝文育成,,,,集結優秀文創工作室團隊辦理大型成果展覽。
教學,提升實作能力,呈現、檢核或評估實作成果,拓展學生藝文育成,,,,辦理文創工作室綜合成果展覽。
教學,提升實作能力,開設增進實務能力導向課程,擴大專業實作課程,,,,調整開課模式，認可學期內開設短期密集課程的學分，藉此邀請國內外專家密集授課，部分學期中開設的工作坊課程，採課程結束後認證學分。
教學,提升實作能力,開設增進實務能力導向課程,獎勵教師創新教學,,,,開設跨域（校）專案實作課程：以培養新世代藝術及科技人才為特色，並以運用科技於專業藝術領域為目標，進行相關專案課程開發。
教學,提升實作能力,聘請業師或雙師協同教學,建構跨域學習優質環境,,,,加強與業界的合作，藉業界參與課程，增加學生日後實習及就業選擇。
教學,提升實作能力,聘請業師或雙師協同教學,擴大專業實作課程,,,,引入相關藝術領域業界師資授課，深化工作坊相關課程。
教學,提升實作能力,聘請業師或雙師協同教學,擴大專業實作課程,,,,邀請業界專家共同指導學生，規劃創作諮詢和作品審查期程的實務講座。
教學,提升實作能力,聘請業師或雙師協同教學,強化學生基礎能力,,,,引進業師加入課程，以豐富專業基礎課程內容，做為進階課程之基礎。
教學,提升實作能力,聘請業師或雙師協同教學,區域加值國際能量,,,,邀請姐妹校表演藝術領域專家學者短期駐校，設計一系列課程、工作坊、大師班、講座，並以演出做為駐校成果展現。
教學,提升實作能力,建立/強化實習制度,完善學生輔導機制,,,,強化實習熱絡度，建立實習補助機制，增加未出社會時的工作經驗。
教學,數位化,數位教學創新,獎勵教師創新教學,,,,以全校教師為對象，成立數位教材工作坊，鼓勵教師參與基礎培訓；進階教師培訓則以數位化教材製作專案方式進行，由多媒體團隊輔導教師開發及製作數位教材，產出完整數位學習教材。
教學,數位化,數位教學創新,獎勵教師創新教學,,,,協助教師錄製數位化課程，創製數位化教材，並善用數位科技資源應用於課程面。
教學,資訊力,開設程式設計課程,強化學生基礎能力,,,,開設基礎程式設計相關課程。
教學,資訊力,強化基本資訊能力,強化學生基礎能力,,,,開設相關增進邏輯思考能力之課程，提高學生運用資訊科技及邏輯思考能力與未來競爭力。
教學,博雅教育,通識課程革新,強化學生基礎能力,,,,以「淬鍊人文底蘊、激發藝術熱情」為目標設計通識課程，讓學生學習從自我出發，追求人與自己、人與社會、人與自然的和諧，以達真、善、美人生的教育。
教學,博雅教育,辦理藝術展覽或藝文活動,建構跨域學習優質環境,,,,以「大臺北藝術節」機制與校內教學活動結合：善用「藝術節」與「雙年展」等常態性優質展演，持續強化本校教學及展演環境，並邀請業界及國內外藝術與設計領域專家學者共同參與或講評。
教學,博雅教育,辦理藝術展覽或藝文活動,區域加值國際能量,,,,持續與中央及各地方教育單位合辦藝術教育嘉年華系列活動（例如新北市藝術教育月）。
教學,博雅教育,辦理藝術展覽或藝文活動,區域加值國際能量,,,,辦理大臺北藝術節（國際表演藝術節及國際當代藝術雙年展）。
教學,博雅教育,服務學習,落實師生藝術區域回饋,,,,透過服務學習課程活動與反思過程，實踐在地服務。
教學,培育創新創業人才,育成學生創業團隊,拓展學生藝文育成,,,,擬定創新創業課程架構與內容，整合校內外課程資源，並組成專業師資，輔導本校文創工作室學生模擬創業模式。
