構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,推動創新教學,,,,鼓勵教師施用以學生學習為核心之創新教學法：鼓勵使用問題導向、磨課師等方式進行創新課程開發、教學策略發展、評量方法革新等。
教學,強化教學品質,推廣創新教學模式,跨院系課程整合,,,,以問題導向學習為教學核心。
教學,強化教學品質,推廣創新教學模式,跨院系課程整合,,,,結合批判性思考思辨（critical thinking）課程，以及大數據創客空間。
教學,強化教學品質,培育優良教學助教/人力,推動創新教學,,,,培育教學助理並增進其教學協助知能。
教學,強化教學品質,教師專業分享輔導機制,推動創新教學,,,,組成跨領域教師社群，藉由教學技巧研習、經驗傳承、工作坊、共同教學、互相觀課等形式，共同研究教學相關問題。
教學,強化教學品質,教師專業分享輔導機制,推動創新教學,,,,辦理數位教學、教學多元與創新等主題的教師成長研習活動。
教學,強化教學品質,教師專業分享輔導機制,跨院系課程整合,,,,在教師面，成立運動教練社群，透過社群成員意見交流與研討，提升教師教學品質。
教學,強化教學品質,健全教師（學）評鑑制度,推動創新教學,,,,將創新教學模式等制度納入教師評鑑之評分要項。
教學,強化教學品質,健全教師（學）評鑑制度,推動創新教學,,,,分析教學評量與教師給分、學生出席狀況、產業雙師等因素之關聯，做為改進教學評量的依據。
教學,強化教學品質,推動多元升等,推動創新教學,,,,協助教師以教學成就升等：制定以教學成就升等機制，並針對全校教師召開公聽會，廣納意見，協助教師進行教學研究，提升教學品質。
教學,強化教學品質,建立教學改善回饋系統,厚實校務研究,,,,分析教學及輔導成效。
教學,強化教學品質,建立教學改善回饋系統,厚實校務研究,,,,分析教師評量與該課程給分標準的影響。
教學,強化教學品質,提升教師群專業度,跨院系課程整合,,,,增聘一名大數據分析專長之專任教師。
教學,跨領域學習,規劃跨領域學位（分）學程,跨院系課程整合,,,,以中區大學聯賽為平台，整合運動產業學院、運動教育學院相關課程（賽會管理、場館經營等）。
教學,跨領域學習,規劃跨領域學位（分）學程,跨院系課程整合,,,,結合現有或新開之統計學、數據科學、機器學習等大數據分析課程；以及運動科學領域知識（Domain Knowledge）課程。
教學,跨領域學習,規劃跨領域學位（分）學程,跨院系課程整合,,,,深化運動科學、運動訓練之理論學習，與運動大數據應用學程結合，培養分析及解讀情蒐與成績大數據的能力。
教學,跨領域學習,規劃跨領域學位（分）學程,跨院系課程整合,,,,在課程面，將結合賽會管理傳播學程，協助辦理運動賽事。
教學,跨領域學習,規劃跨領域學位（分）學程,跨院系課程整合,,,,學習各年齡層、各族群的健身指導；並結合運動產業學院運動俱樂部經營管理等課程，使學生多元學習。
教學,跨領域學習,規劃跨領域學位（分）學程,精緻化的研究發展,,,,與大數據應用學程結合，分析各項感應器長期收到的大量數據。
教學,跨領域學習,規劃跨領域學位（分）學程,精緻化的研究發展,,,,與專業教練學程結合，讓學生了解教練應如何與運科人員合作。
教學,跨領域學習,規劃跨領域學位（分）學程,精緻化的研究發展,,,,與健身運動指導學程結合，讓學生學習最新的健身指導理論及實務。
教學,跨領域學習,規劃跨領域學位（分）學程,打造創新創業生態環境---創客空間,,,,與自行車產業學程、運動賽會經營學程、大數據應用學程等跨領域學程及相關產業結合。
教學,跨領域學習,跨領域教學,跨院系課程整合,,,,整合運動產業學院各系相關課程（運動管理、行銷管理等），結合理論與實務，培養自行車以及其他運動觀光產業的跨領域人才。
教學,提高學習自由度及彈性,深碗課程,跨院系課程整合,,,,採用深碗化學習，培養開發及應用數據分析結果的能力。
教學,人才國際化,增進外語能力,以運動為主題的深入語文學習,,,,以運動為主題的英文基礎課程：持續落實大一英文分級，小班授課，開發以運動為主體的教材，設計與運動相關的情境。
教學,人才國際化,增進外語能力,以運動為主題的深入語文學習,,,,開設運動主題口說英語課程。
教學,人才國際化,增進外語能力,以運動為主題的深入語文學習,,,,針對系所特性、職場需求，發展專業英語課程。
教學,人才國際化,增進外語能力,以運動為主題的深入語文學習,,,,開設基礎及進階日語課程。
教學,人才國際化,增進外語能力,跨院系課程整合,,,,強化外語能力，得以與國際運動界學習及接軌。
教學,人才國際化,多元文化/文化交流,以運動為主題的深入語文學習,,,,由學生組成營隊規劃團隊，帶領國際學生，導覽各文化景點。
教學,人才國際化,多元文化/文化交流,以運動為主題的深入語文學習,,,,每年舉辦全美夏令營隊，融入東西方文化交流、情境話劇、舞龍舞獅等主題，透過運用外語進行日常對話與講解運動課程的場域，提升學生外語表達力。
教學,人才國際化,辦理海外參訪或移地教學,卓越競技,,,,與國外姊妹校合作，選送選手至對方的優勢項目進行長期移地訓練。
教學,人才國際化,交換學生,校園國際化,,,,鼓勵長期交換學生：培養並補助更多學生前往國際姊妹校擔任一學期或一學年的交換學生。
教學,人才國際化,交換學生,校園國際化,,,,鼓勵短期海外學習：鼓勵並補助更多學生從事海外實習、壯遊體驗學習，拓展國際視野。
教學,人才國際化,交換學生,校園國際化,,,,鼓勵海外學習：放寬海外學習之學分認定，協助申請校外經費補助，並增加校內經費補助。
教學,人才國際化,交換學生,校園國際化,,,,針對各姊妹校，擴大宣傳本校國際交換生學習計畫，結合全英文授課，吸引國際學生來校交換一學期或一學年。
教學,人才國際化,交換學生,校園國際化,,,,設計結合本校舉辦之鐵駱駝單車環島、登山、運動科學、冒險活動、運動傳播之暑期短期課程，讓姊妹校學生可取得學分。
教學,人才國際化,推動英語授課/全英語學程,校園國際化,,,,辦理全英語授課技巧講座，邀請他校專家學者至本校做經驗分享，提升各教師以全英語授課的能力，讓更多教師開設全英語授課課程。
教學,人才國際化,招聘外籍老師（或邀請授課）,以運動為主題的深入語文學習,,,,由主持人規劃內容，並邀請外籍師資、國際學生、及校內外協助師資加入課程活動。
教學,人才國際化,招聘外籍老師（或邀請授課）,卓越競技,,,,聘任具有豐富執教經驗及成果之外籍教練來校長短期任教或指導。
