構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,程式軟體開發與資通訊技術應用人才培育計畫,,,,建議老師採用專題式的教學方式，亦即先提出要完成的系統，然後根據系統需求，教導所需的技能。
教學,強化教學品質,推廣創新教學模式,觀光系教學品質深耕改善計畫,,,,推動老師及學生教學模式由傳統教科書教學形式轉變至個案化甚至遊戲化教學形式。
教學,強化教學品質,推廣創新教學模式,創新創意教學翻轉計畫,,,,以跨領域的翻轉教室工作坊、社群學習推展翻轉教室的創新教學理念，在工作坊中發現問題、討論問題，與解決問題。
教學,強化教學品質,推廣創新教學模式,創新創意教學翻轉計畫,,,,主軸課程「創意思考」，即是在啟發學生創意思維與創新想法為主，增進學系內、外創意與創業之精神與支持性的環境。
教學,強化教學品質,推廣創新教學模式,自主學習、創新實踐,,,,融入翻轉教室、問題導向學習等創新教學方法於課程。
教學,強化教學品質,訂定核心能力，規劃課程地圖,自主學習、創新實踐,,,,利用大數據分析，探討課程與核心能力及職能間的關聯。
教學,強化教學品質,訂定核心能力，規劃課程地圖,建築師的職業第一哩路,,,,與專業事務所、公司之產學交流，帶回實習機構的意見，以作為系上課程與核心能力之調整依據。
教學,強化教學品質,強化課程內容,程式軟體開發與資通訊技術應用人才培育計畫,,,,建議老師把研究成果導入到授課內容上。
教學,強化教學品質,調整課程規劃,自主學習、創新實踐,,,,強化核心精熟課程與連貫式頂石課程之設計。
教學,強化教學品質,培育優良教學助教/人力,教師教學知能增進機制,,,,設有教學助理培訓認證、落實教學助理回饋機制、辦理傑出教學助理選拔與獎勵、教學助理平台維護與建置。
教學,強化教學品質,教師專業分享輔導機制,教師教學知能增進機制,,,,邀請優良教師擔任教學諮詢團隊，提供教學改善建議或分享傳承教學經驗，輔助教師提出改善教學策略。
教學,強化教學品質,教師專業分享輔導機制,跨域創新軟體 VR/AR/MR 應用,,,,建立專業研究聚會群組分享案例及教學方法模式推動。
教學,強化教學品質,教師專業分享輔導機制,自主學習、創新實踐,,,,成立跨領域教師教學研討社群。
教學,強化教學品質,教師專業分享輔導機制,長照三創-創意、創新與創業-開創學生職場新藍海,,,,補助教師進行三創跨域學習。
教學,強化教學品質,教師專業分享輔導機制,主題式多學科校外現地聯合教學,,,,參與課程教師應於期初、期中、期末，各至少開一次教學工作坊或研討會，以確立課程共識及實施方案，並及時檢核課程缺失和成效。
教學,強化教學品質,推動多元升等,教師多元升等制度深化計畫,,,,協助申請多元升等之教師進行相關資料彙整。
教學,強化教學品質,推動多元升等,教師多元升等制度深化計畫,,,,舉辦相關多元升等工作坊，聘請具有多元升等經驗之教師至本校分享經驗。
教學,強化教學品質,推動多元升等,教師多元升等制度深化計畫,,,,不定期參訪具多元升等辦理經驗及重要指標學校，進行經驗交流及校內制度之滾動式檢討。
教學,強化教學品質,健全教學獎勵制度,教師教學知能增進機制,,,,每年遴選出院級優良教師及校級教學傑出教師，頒發獎座及獎狀肯定教師教學成效。
教學,強化教學品質,健全教學獎勵制度,教師教學知能增進機制,,,,以延攬優秀人才彈性薪資原則，肯定教師教學的貢獻，留住優秀教研人才。
教學,強化教學品質,健全教學獎勵制度,磨課師未來規劃課程,,,,教師開設磨課師課程、於既有的開設遠距教學課程1.5小時鐘點費，新增課程彈性薪資每個月一萬元整，可領4.5個月（即開課期間）。
教學,強化教學品質,健全教學獎勵制度,磨課師未來規劃課程,,,,彈性薪資的獎勵為積極鼓勵教師開設磨課師課程，以每一門課為單位，申請製作經費。
教學,強化教學品質,減輕教師教學負擔,教師多元升等制度深化計畫,,,,由專責辦公室聘請兼任教學助理。
教學,強化教學品質,減輕教師教學負擔,東南亞研究中心設立計畫,,,,引進東南亞研究師資。
教學,強化教學品質,建立教學改善回饋系統,教師教學知能增進機制,,,,持續精進教學評量機制，將學生之學習歷程紀錄和教學評量做更好的連結，透過數據分析讓授課老師了解學生學習成效，以針對性地做出回應。
教學,強化教學品質,建立教學改善回饋系統,教師教學知能增進機制,,,,評量問卷內容的設計亦能參考他校方式，將不同課程以不同的評量方式呈現，確實反映出教師上課內容狀況及學生學習狀態。
教學,強化教學品質,建立教學改善回饋系統,人工智慧在土木工程教育之應用,,,,持續導入、施作、評估、改善、回饋AI課程教學。
教學,強化教學品質,建立教學改善回饋系統,護理學系提升教學品質及創新教學計畫,,,,「mini-OSCE：護理專業核心能力鑑定與回饋計畫」：運用「微型OSCE」的評量方式，重視教學成果之評量，全面推動實習前專業核心能力鑑定。
教學,強化教學品質,建立教學改善回饋系統,自主學習、創新實踐,,,,改善教學成效評量機制。
教學,強化教學品質,建立教學改善回饋系統,數位人文學習與閩南文化教學,,,,學習評量則以多元方式呈現學習成果，課程架構則因應時代趨勢與學生需求逐年微調，並透過課程會議、數位教學平臺和學生互動，瞭解學生對課程的意見。
教學,強化教學品質,教學單位國際認證,自主學習、創新實踐,,,,申請工程認證評鑑。
教學,強化教學品質,提升教師群專業度,教師教學知能增進機制,,,,訂定特聘教授設置辦法，鼓勵教授增進研發能量、學術研究水準及爭取學術榮譽，給予特聘教授額外之待遇與福利。
教學,跨領域學習,規劃跨領域學位（分）學程,創新創意教學翻轉計畫,,,,課程設計以跨領域為主，學生專題以「運動與休閒」、「護理與健康照護」與「電資領域」的結合為主。
教學,跨領域學習,規劃跨領域學位（分）學程,自主學習、創新實踐,,,,開設跨領域及就業導向學分學程。
教學,跨領域學習,跨領域教學,推動課程模組化發揮跨域學習綜效,,,,院級課程模組（共同專業）：依各院特性，規劃出共同專業課程（如各院專題、共同基礎必修課程），並由不同系所教師共同開設單一課程。
教學,跨領域學習,跨領域教學,推動課程模組化發揮跨域學習綜效,,,,T型人才：以就職為目的，深入修習系級課程模組（包含概論性與技術性），並跨領域廣泛選修其他院級課程模組與概論性專業模組。
