構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,6+1年學碩士及6+N年博士一貫學位學程 （N≧3）,,,,現行醫師科學家B組，規劃大一大二與「大一大二不分系學士班」、「生命科學系」一齊上整合性基礎科學課程，大三回歸醫學系獨特的PBL整合課程，大四改為修讀與本校臨醫所整合的研究所課程，於大五時同時註冊臨醫所準備碩士學位考。
教學,強化教學品質,推廣創新教學模式,建構滾動式課程修正機制並鼓勵開設第三學期彈性課程,,,,規劃開設AP課程及創新教學方式等。
教學,強化教學品質,推廣創新教學模式,教師發展中心轉型為「教學發展中心」,,,,研究執行的目的以改善教學品質及提升學習成效為目標，並鼓勵校內教師從事教與學的學術研究，以及創新教學法、創意課程與教學材料之研發。
教學,強化教學品質,推廣創新教學模式,陽明整合式健康中心（Yang-Ming Integrated Health Center ）,,,,將由規劃國際標竿學習開始，擇定國外深具特色的大學，以社區實務與應用導向的教學，增加以社區實務菁英培育為目標的課程教學。
教學,強化教學品質,推廣創新教學模式,以問題導向之實作學習教學，培養師生社會創新的能力,,,,課程強調在地連結，以互動或活動型授課方式取代傳統授課。
教學,強化教學品質,訂定核心能力，規劃課程地圖,完善「生醫科學人才培育實驗班」課程，培養跨領域對話能力,,,,本學程規劃大一、大二必修基礎科學核心課程44學分，學術導師課程4學分及通識課程28學分。大三、大四根據個人興趣選擇必修不同領域的課程，包括生醫光電、奈米科學及生醫人文社會等。
教學,強化教學品質,訂定核心能力，規劃課程地圖,醫學院與生醫工程學院實體化情形,,,,透過檢視各項學分學程之學生修課情形進行課程地圖之修正，以培養大學部學生的第二專長。
教學,強化教學品質,訂定核心能力，規劃課程地圖,規劃生命科學院實體化,,,,規劃院級研究所、大學部核心課程，連結重點發展五大領域-癌症、老化、感染與發炎、神經科學、跨領域技術，分別規劃基礎與進階課程。
教學,強化教學品質,訂定核心能力，規劃課程地圖,建構滾動式課程修正機制並鼓勵開設第三學期彈性課程,,,,就學系之必修、必選課程及畢業學分數檢視並評估調降之可行性。
教學,強化教學品質,訂定核心能力，規劃課程地圖,建構滾動式課程修正機制並鼓勵開設第三學期彈性課程,,,,廣泛蒐集各關係人資訊、聽取建言及交換意見，建立滾動式課程調整修正機制。
教學,強化教學品質,訂定核心能力，規劃課程地圖,建構滾動式課程修正機制並鼓勵開設第三學期彈性課程,,,,藉由前揭課程檢視之機制，結合職涯多元進路規劃，重新建置完善的課程地圖，提供學生更實用、便利之使用內容及介面，作為學生入學至畢業之學習指南。
教學,強化教學品質,訂定核心能力，規劃課程地圖,陽明整合式健康中心（Yang-Ming Integrated Health Center ）,,,,擬將課程制度化、學分化，發展創新「領導菁英創新學制」，以零存整付的概念，只要學生在日後考取本校研究所，即可承認相關修習學分為畢業門檻的二分之一。
教學,強化教學品質,強化課程內容,創新生醫臨床專業領域學制,,,,六年制物理治療學士學位更強化基礎課程與深化專業課程，加強物理治療鑑別診斷、臨床決策分析的專業能力，擴增多元新興領域、研究相關、行政管理與行銷經營的課程，並結合不同場域見習與實習的實務課程。
教學,強化教學品質,強化課程內容,"領導菁英創新學位學程（Executive Leader of Innovative Project, ELIP）",,,,配合經濟部來函「智慧電子、生技醫藥、航太課程建議」納入護理學院所課程及教學規劃：健康理論課程加入涵蓋社會行銷；個案管理課程增加「經營管理」；健康促進課程增加「科技化健康照護（E-health及Telecare）」。
教學,強化教學品質,調整課程規劃,完善「生醫科學人才培育實驗班」課程，培養跨領域對話能力,,,,學程採大一、大二不分系，大三、大四選擇專攻不同領域，或者轉入其他臨床專業科系，並且提供彈性讓已確定就業志向與興趣的同學，可以提早於大二轉至相關證照科系。
教學,強化教學品質,調整課程規劃,完善「生醫科學人才培育實驗班」課程，培養跨領域對話能力,,,,課程規劃上，大一大二與「大一大二不分系學士班」、「生命科學系」一齊上整合性基礎科學課程，大三回歸醫學系獨特的PBL整合課程，並調整原醫學系大四課程延後至大五修習，大四改為修讀與本校臨醫所整合的研究所課程，於大五時同時註冊臨醫所準備碩士學位考。
教學,強化教學品質,調整課程規劃,完善「生醫科學人才培育實驗班」課程，培養跨領域對話能力,,,,醫一必修醫師科學家研究概論課程；醫二選擇校內有興趣的實驗室及老師開始進行專題研究；醫二、醫三暑假前往國外從事實驗室研究；醫三繼續於校內實驗室進行專題研究；醫四申請陽明或國外研究所碩士班；醫四暑假後正式就讀研究所，完成學業，再回醫學系完成臨床訓練並畢業。
教學,強化教學品質,調整課程規劃,6+1年學碩士及6+N年博士一貫學位學程 （N≧3）,,,,學程規劃醫一必修醫師科學家研究概論課程，了解各研究領域；醫一暑假開設選修課，發掘有潛力的學生；醫二選擇校內有興趣的實驗室開始進行專題研究；醫二、醫三暑假前往國外從事實驗室研究，得到初步結果，並確定培育對象；醫三繼續於校內實驗室進行專題研究；醫四申請本校或國外研究所碩士班；醫四暑假後正式就讀研究所，完成學業，再回醫學系完成臨床訓練並畢業。
教學,強化教學品質,調整課程規劃,"領導菁英創新學位學程（Executive Leader of Innovative Project, ELIP）",,,,新增碩士班管理相關課程；博士班－護理與醫療照護策略、護理與醫療照護之領導與系統分析。
教學,強化教學品質,調整課程規劃,生醫光電暨奈米科學學位學程,,,,生醫光電暨奈米科學學位學程與生醫光電所合作推動培育高階專業人才並建立一貫修讀學碩士學制，整合大學部與研究所課程。
教學,強化教學品質,調整課程規劃,生醫光電暨奈米科學學位學程,,,,落實教學創新精神，將大學部基礎科目與碩士班專業課程統整規劃，鼓勵學生於五年內完成紮實的學碩士訓練並取得學位。
教學,強化教學品質,調整課程規劃,建構滾動式課程修正機制並鼓勵開設第三學期彈性課程,,,,規劃開設核心課程、學碩博一貫學位課程、第三學期課程。
教學,強化教學品質,調整課程規劃,建構滾動式課程修正機制並鼓勵開設第三學期彈性課程,,,,訂定本校暑期開班授課辦法及持續推動本校教學精進與課程改革實施要點，鼓勵各系所教師於暑假第三學期，開設基礎學科課程、AP課程或各學系概論課程等，以實體授課、網路方式、創客實作或虛擬化實驗等方式，提供學生多元彈性選修機會。
教學,強化教學品質,調整課程規劃,院整合招生,,,,本校醫學院與醫工學院已參與「大學校院以學院為核心教學單位試辦計畫」，透過課程整併專業領域，提供學生更寬廣的課程選擇，同時可達到師資彈性調整，院內招生名額合理分配之目的；生命科學院亦將於今年提出申請。
教學,強化教學品質,培育優良教學助教/人力,強化學生的倫理思辯能力與人文素養,,,,為整合小班討論的課程與大量師資或助教，本校將延聘專業師資、培訓研究生，並強化醫學倫理課程所需要的師資與經費、培育更多醫學倫理教育的人才。
教學,強化教學品質,培育優良教學助教/人力,教師發展中心轉型為「教學發展中心」,,,,為協助教師課程實施，修正本校獎助生相關法規，持續擴大教學獎助生名額。藉由隨堂學習指導教師教學方法或課餘進行線上學習等方式，提升教學獎助生之教學實務知能外，隨堂學習班級經營、備課、學習輔導技巧等，進而提升教學品質。
教學,強化教學品質,培育優良教學助教/人力,教師發展中心轉型為「教學發展中心」,,,,輔導教學獎助生（TA）輔助課程教學之技能，辦理教學獎助生認證研習、課堂諮詢服務，鼓勵教學獎助生自主及終身學習，定期舉辦教學獎助生評鑑及表揚傑出教學獎助生，以提升整體課程品質。
教學,強化教學品質,培育優良教學助教/人力,VR/AR中心,,,,配置教學助教，協助欲進行自主學習的學生進行VR/AR軟硬體設備操作與困難排除。
