構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,微型課程,,,,實作型操作。
教學,強化教學品質,推廣創新教學模式,深碗課程,,,,實務操作：增加課堂操作、引導、討論時間。
教學,強化教學品質,推廣創新教學模式,深碗課程,,,,情境教學。
教學,強化教學品質,推廣創新教學模式,深碗課程,,,,案例討論。
教學,強化教學品質,推廣創新教學模式,深碗課程,,,,結合創意思考教學、PBL教學、實作教學、與創業技能教學。
教學,強化教學品質,推廣創新教學模式,幼兒體育教學創新及課程創作,,,,透過創作課程、創新教學進行實作修正與彙整增學生創作能力。
教學,強化教學品質,推廣創新教學模式,幼兒體育教學創新及課程創作,,,,結合理論概念將創作課程彙整成教材教案為幼兒園創建幼兒三十分鐘大肌肉活動教材資料。
教學,強化教學品質,推廣創新教學模式,幼兒體育教學創新及課程創作,,,,結合律動創作增進幼兒園活動之效益。
教學,強化教學品質,推廣創新教學模式,幼兒體育教學創新及課程創作,,,,引導學生創作之理念並融入實作訓練以修正課程創作之內容。
教學,強化教學品質,推廣創新教學模式,幼兒體育教學創新及課程創作,,,,做中學學中做，邊做邊修正、再結合研究觀察，進一步分析研究。
教學,強化教學品質,推廣創新教學模式,運動賽事轉播及Edius國際剪接證照,,,,以體育傳統產業專業延伸至相關產業。
教學,強化教學品質,推廣創新教學模式,運動教案開發,,,,提出創新運動遊戲教材教法的方法。
教學,強化教學品質,推廣創新教學模式,運動教案開發,,,,鼓勵教師完成由教師成長社群指導開發之創意教學模式教材與教案。
教學,強化教學品質,推廣創新教學模式,運動教案開發,,,,鼓勵教師與學生配合創新教材教具的研發。
教學,強化教學品質,推廣創新教學模式,運動保健實踐創課,,,,實踐創課，讓學生思考與討論如何利用各種創新教學方法(教材、教學法、反思）。
教學,強化教學品質,推廣創新教學模式,運動保健實踐創課,,,,學生從學習者轉變為教學者。
教學,強化教學品質,推廣創新教學模式,活躍老化學習加值計畫,,,,發展「活躍老化」導向之「健康」、「社會參與」及「安全」教學內容設計。
教學,強化教學品質,推廣創新教學模式,活躍老化學習加值計畫,,,,導入跨領域學生專案導向學習(project-based learning）。
教學,強化教學品質,推廣創新教學模式,建立中高齡者之運動健康促進課程研發中心,,,,建立學界及業界合作的課程新模式，與國際知名大學與廠商合作。
教學,強化教學品質,推廣創新教學模式,建立中高齡者之運動健康促進課程研發中心,,,,整合與運動消費者行為調查需求，進行課程內容創新之建立。
教學,強化教學品質,推廣創新教學模式,建立中高齡者之運動健康促進課程研發中心,,,,引入國外最新中高齡課程。
教學,強化教學品質,推廣創新教學模式,建立中高齡者之運動健康促進課程研發中心,,,,共同研發更多之多元有效訓練課程及教學方案。
教學,強化教學品質,推廣創新教學模式,建立中高齡者之運動健康促進課程研發中心,,,,在課程中增加教學影片輔助教學、個案分析與討論、實地情境教學等方法。
教學,強化教學品質,推廣創新教學模式,建立中高齡者之運動健康促進課程研發中心,,,,現場實務學習。
教學,強化教學品質,推廣創新教學模式,教師面,,,,將競技學院大學部「運動心理學」的課程，採用聚焦式的微型課程執行。
教學,強化教學品質,推廣創新教學模式,師生參與方式,,,,社區服務現場教學平台不同於傳統課室之學習，將作為增進學生專業學習與服務新場域。
教學,強化教學品質,推廣創新教學模式,校務研究資訊公開,,,,提供運動員、師資培育等分析，以落實教學創新。
教學,強化教學品質,訂定核心能力，規劃課程地圖,弱勢學生課業輔導,,,,透過各類課程例如：游泳、服務學習、英文檢定、資訊檢定、專業證照等畢業門檻檢定，確保原住民族學生具備核心能力。
教學,強化教學品質,強化課程內容,優秀運動員輔導與適性分流發展,,,,強化優秀運動員競技表現相關知能。
教學,強化教學品質,強化課程內容,運動心理諮商,,,,強化課程實務學習。
教學,強化教學品質,調整課程規劃,建構體能檢測專業人才計畫,,,,增加以運動員選才為主軸之「肌力與體能訓練模組」，並逐年提高模組完整性。
教學,強化教學品質,調整課程規劃,建立中高齡者之運動健康促進課程研發中心,,,,調整實務面之運動處方、體適能測驗與評量、步態評估、阻力訓練理論與實務、阻力訓練指導法及功能性肌肉適能實務研究、動作評量分析、慢性病與營養研究等課程進行整合。
教學,強化教學品質,調整課程規劃,教學與體能訓練,,,,依照支援團隊其主要的賽事劃分不同訓練時期。
教學,強化教學品質,調整課程規劃,教學與體能訓練,,,,強調技術訓練、肌力訓練與體能訓練相互協調，有效監控總訓練強度。
教學,強化教學品質,培育優良教學助教/人力,教學獎助生,,,,觀摩教師授課，帶領學生進行實驗、討論、練習、協助教師準備課程資料、維護課程教學平台、課後輔導等事項。
教學,強化教學品質,培育優良教學助教/人力,教學獎助生,,,,數位教學獎助生：協助專業/實務課程錄製教材影片及後製。
教學,強化教學品質,培育優良教學助教/人力,教學獎助生,,,,補救教學獎助生：與授課教師共同研議補救/輔導內容。
教學,強化教學品質,培育優良教學助教/人力,從心出發服務學習,,,,培訓服務學習種子教師。
教學,強化教學品質,培育優良教學助教/人力,職涯輔導,,,,培訓各班級1名輔導股長，提升學生團體之潛能並協助導師輔導活動。
教學,強化教學品質,培育優良教學助教/人力,運動賽事轉播及Edius國際剪接證照,,,,培訓數位師資。
