構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,自我探索與專業定位,,,,創新教學方式，以實境遊戲讓學生探索學院特色，107年採用106年開發的遊戲，後續讓學生每兩年更新開發實境遊戲。
教學,強化教學品質,推廣創新教學模式,推動不同層次的問題導向學習課程，培養學生解決真實問題能力,,,,鼓勵教師運用PBL融入教學，區分三種PBL課程設計類型。
教學,強化教學品質,推廣創新教學模式,推動不同層次的問題導向學習課程，培養學生解決真實問題能力,,,,舉辦PBL創新教學研討會﹕本計畫自第三年開始，每年舉辦PBL創新教學研討會或成果展。
教學,強化教學品質,推廣創新教學模式,推動不同層次的問題導向學習課程，培養學生解決真實問題能力,,,,發展PBL課程設計檢核表，協助教師進行課程設計及確保本校推動PBL有一致的教學品質。
教學,強化教學品質,訂定核心能力，規劃課程地圖,自我探索與專業定位,,,,建立「協同教學」的教學團隊，於課前協同設計、課中協同教學、課後進行檢討對話，並研發「教學模組」。
教學,強化教學品質,訂定核心能力，規劃課程地圖,打造V型教學團隊,,,,建立可傳承教學經驗之「教學模組」：鼓勵教學優良獲獎教師將自身教學技巧等經驗整理轉化為「教學模組」。
教學,強化教學品質,訂定核心能力，規劃課程地圖,打造V型教學團隊,,,,課程模組化：學系試辦建構「基礎課程、核心課程（包含共通核心課程與分流之核心課程）與分流之總結性課程」課程模組。
教學,強化教學品質,強化課程內容,推動磨課師及15+3數位教材，鼓勵教師運用媒體融入教學,,,,鼓勵教師自行設計擇定3週課程拍攝教學影片，讓學生課前觀看，課堂著重在問題討論。
教學,強化教學品質,調整課程規劃,以學院為核心的專業探索,,,,共同課程工作坊：各學院共同課程召集人開學前召開，確認當學期課綱、進度安排、學習評量表單及學院會考辦理時程等教學安排。
教學,強化教學品質,調整課程規劃,學習自由度與專業主修彈性,,,,鼓勵系所合作推動總結性課程。
教學,強化教學品質,調整課程規劃,基本核心與通識能力,,,,總結性課程階段：以社會參與式課程為總結，提出各種形式的專業敘事學習成果。
教學,強化教學品質,調整課程規劃,基本核心與通識能力,,,,推動學生自主開課：鼓勵學生提出學習需求，媒合相關領域之教師協同課程規劃，以隨到隨審的機制開設新課程。
教學,強化教學品質,調整課程規劃,基本核心與通識能力,,,,形成課程輪開與汰換機制。
教學,強化教學品質,調整課程規劃,基本核心與通識能力,,,,持續推動社會參與式課群：多元課群與café philo小型講座的辦理與粉絲頁的經營，形成本校社教基地。
教學,強化教學品質,調整課程規劃,程式語言能力,,,,發展學院特色與需求的程式設計課程，培養學生運用科技解決問題能力。
教學,強化教學品質,調整課程規劃,未來創新學院,,,,低年級學生具備跨領域開放心胸、基礎力：透過大一學院營隊、大學入門核心課程。
