構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,問題導向學習（PBL）的專業領域創新教學方案,,,,各學系發展一系列之問題解決導向之課程方案。
教學,強化教學品質,推廣創新教學模式,教師/師生共學社群、教學獎助生,,,,教師成立「專業領域」與「跨領域」教師/師生共學社群。
教學,強化教學品質,推廣創新教學模式,教師/師生共學社群、教學獎助生,,,,發展共時/協同教學。
教學,強化教學品質,推廣創新教學模式,雲端智慧-互動樂學導航,,,,內容後製團隊養成。
教學,強化教學品質,訂定核心能力，規劃課程地圖,數位經濟產業推動創新創業,,,,訂定各系大學部課程分流系統表及修業要點。
教學,強化教學品質,訂定核心能力，規劃課程地圖,學高為師-名師陶融領航,,,,試行教育專業統整課程（必、選修課程）一個領域。
教學,強化教學品質,強化課程內容,特色教學與偏鄉服務,,,,運用課程作業的多元設計，開發學生區域主題探究能力，提高對國家社會發展的認識和參與性。
教學,強化教學品質,調整課程規劃,生活化外語教育與國際接軌,,,,課程籌備與師資群組建立：開設災難教育課程，搜尋台灣天然災難種類及發生原因，了解國際組織的功能性及如何做結合。
教學,強化教學品質,培育優良教學助教/人力,教師/師生共學社群、教學獎助生,,,,培訓教學獎助生，強化教學效能。
教學,強化教學品質,培育優良教學助教/人力,社區多元經營,,,,科學教學與社區實踐：科學教學與社區實踐之人才培育，落實大學社會責任，推動師生社區服務。
教學,強化教學品質,教師專業分享輔導機制,問題導向學習（PBL）的專業領域創新教學方案,,,,各系所組成教師教學發展社群。
教學,強化教學品質,教師專業分享輔導機制,學院跨系所課程模組化資源整合,,,,辦理跨域課程教學與研究工作坊。
教學,強化教學品質,教師專業分享輔導機制,創新教學教材與多元升等：提供補助教師創新教材或教學方法之資源,,,,舉辦新創優良教材研發工作坊。
教學,強化教學品質,教師專業分享輔導機制,創新教學教材與多元升等：提供補助教師創新教材或教學方法之資源,,,,舉辦教師創新教學及應用技術工作坊。
教學,強化教學品質,教師專業分享輔導機制,學高為師-名師陶融領航,,,,辦理108新課綱、領綱解和核心素養概念解讀研習會。
教學,強化教學品質,教師專業分享輔導機制,學高為師-名師陶融領航,,,,辦理核心素養導向教學案例成果發表會。
教學,強化教學品質,教師專業分享輔導機制,學高為師-名師陶融領航,,,,辦理檢討會議。
教學,強化教學品質,教師專業分享輔導機制,創新、創業與產業媒合,,,,「5+2創新產業政策」跨領域整合：盤點科技和理學院與「5+2創新產業政策」和光電綠能與人工智慧及新農業與生化科技專長教師，定期舉辦跨領域專長整合講座及交流會，分享經驗提升成果。
教學,強化教學品質,教師專業分享輔導機制,社區多元經營,,,,建立籌備課程之師資群組。
教學,強化教學品質,教師專業分享輔導機制,社區i運動，商品i文創,,,,愛才惜才培育運動專業人力：舉辦教師運動知能工作坊，培育運動休閒、健康促進等專業師資。
教學,強化教學品質,健全教學獎勵制度,獎勵優良教學及教師,,,,訂定教師創新教材獎勵辦法，教師創新教學、研究優良、服務與輔導優良獎勵辦法，並舉辦相關活動。
教學,強化教學品質,課程外審,問題導向學習（PBL）的專業領域創新教學方案,,,,將教學計畫大綱送交外界專家學者審議。
教學,跨領域學習,規劃跨領域學位（分）學程,跨領域多元創新學習系統,,,,建立本校「跨領域學程中心」。
教學,跨領域學習,規劃跨領域學位（分）學程,跨領域多元創新學習系統,,,,重新訂定有利學生跨域學習之機制。
教學,跨領域學習,規劃跨領域學位（分）學程,學院跨系所課程模組化資源整合,,,,開設人文應用課程。
教學,跨領域學習,規劃跨領域學位（分）學程,學院跨系所課程模組化資源整合,,,,規畫語言文化學士學位學程原住民專班。
教學,跨領域學習,規劃跨領域學位（分）學程,學院跨系所課程模組化資源整合,,,,規劃跨領域模組課程。
教學,跨領域學習,規劃跨領域學位（分）學程,學院跨系所課程模組化資源整合,,,,開設跨領域課程。
