構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,「軍陣醫學」,,,,為在軍陣醫學實習課程教學創新，有效提升教學效果，本校規劃以情境模擬之模擬醫學為基礎的教學策略是有效吸引學生學習興趣的模式，在課程中提供未來學生臨床實務應用面、災難醫學與軍陣特色醫學相關基本概念與知識
教學,強化教學品質,推廣創新教學模式,發展創新教學模式,,,,改變以往的教學模式，增強師生間互動以達雙向交流。進一步改進前述的缺點
教學,強化教學品質,推廣創新教學模式,發展創新教學模式,,,,"進一步運用團隊合作（team-based learning, TBL）的模式來執行翻轉教室的教學"
教學,強化教學品質,推廣創新教學模式,發展創新教學模式,,,,本計劃旨在推動及提升學生自主學習、團隊合作、培養思考與解決問題的能力，結合現今翻轉教室概念，並以科技輔助學習，錄製線上課程，讓學生的學習超越時間與空間的限制，將課堂的時間著重在解決問題與延伸討論，讓學習更有效率且能思考運用
教學,強化教學品質,訂定核心能力，規劃課程地圖,培養學生就業能力,,,,透過各系所發展特色訂定所需具備之核心能力，由基礎課程培養專業知識素養
教學,強化教學品質,訂定核心能力，規劃課程地圖,培養學生就業能力,,,,本校醫學系和護理學系教師將依此概念，參考美國醫學院協會提出的13項核心EPAs，發展「核心可信賴專業活動（core entrustable professional activity）課程」，設計出符合本校醫學系和護理學系畢業生獨立執行此13項EPAs時所應具備的核心能力。
教學,強化教學品質,強化課程內容,發展創新教學模式,,,,校內也採用Kirkpatrick四層次評估模式，主要因其各層次間具有因果的關係，提供系統化且簡單易懂的理論，讓使用者瞭解訓練成效及課程預達到目標的程度。
教學,強化教學品質,強化課程內容,強化核心（五加二）產業人才培育,,,,為幫助學生基礎學科能力奠定良好基礎，於大學部課程中開設「醫學研究技術與方法」課程，以協助學生了解何為醫學研究，進而培養研究精神內涵
教學,強化教學品質,培育優良教學助教/人力,教師面,,,,本校各學科系所助教，實施優秀畢業生留任或公開進用甄才，以儲備各基礎醫學專業人才，並依各學科系所教學研究發展及師資培育所需，經由國內外碩、博士班深造教育之規劃，以達專任教師自育自用之目的。
教學,強化教學品質,教師專業分享輔導機制,發展創新教學模式,,,,透過Zuvio推行小組與推廣之種子教師，以工作坊的方式推動醫學系教師認證，使其熟悉軟體的使用並有專門助理協助處理上課時的各種因軟體無法使用或操作不當所衍生的各種問題，加以記錄並分享到群組中。
