構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,問題導向式學習方案,,,,辦理「大同培力學堂」，透過問題導向式教學，打破學生被動學習慣性。
教學,強化教學品質,推廣創新教學模式,推動CDIO教育模式,,,,以「專案式的教育和學習」（PBL） 教學方式進行教學，強調專案導向做為學習主軸，在實踐過程中直接找到對應的知識應用面。
教學,強化教學品質,推廣創新教學模式,推動CDIO教育模式,,,,在PBL之課程模式下，推動創新教學、推動以學生為中心之教學方法，鼓勵老師採用創新教學方法，例如「翻轉教學」、「磨課師」、「行動學習」、「探索式學習」及「團隊導向學習」等。
教學,強化教學品質,推廣創新教學模式,鼓勵課程及教學之創新實踐研究（含翻轉教學等創新教學法）方案,,,,持續推動執行自主教學先導計畫－「創新教學課程設計徵選」。預計於每年初辦理多項宣傳說明活動，敦促教師參與徵選。
教學,強化教學品質,推廣創新教學模式,鼓勵課程及教學之創新實踐研究（含翻轉教學等創新教學法）方案,,,,持續推廣並深化翻轉教學於校內老師教學之中，鼓勵教師運用多元的教學設計技巧。
教學,強化教學品質,訂定核心能力，規劃課程地圖,以學院為核心之課程規劃方案,,,,制定院之共同基礎、核心課程及專業模組課程
教學,強化教學品質,強化課程內容,建構TTU創新學習生態系統方案,,,,建構跨域合作、創意啟發、彈性自主之「TTU創新學習生態系統」
教學,強化教學品質,調整課程規劃,深化創新課程模式（微型課程、總整課程、服務學習課程等）之運作方案,,,,推動多元總整課程：將實務專題、產學合作計畫或跨領域專題納入整體課程規劃，依據系所屬性，強化學生專業領域之實作能力。
教學,強化教學品質,調整課程規劃,推動CDIO教育模式,,,,整合培養學生工程實踐核心能力之課程，工程學院推動整合各系進行課程設計及教學模組，就基礎課程（cornerstone course）、核心課程（Keystonecourse）、CDIO總整課程（capstone course）等進行設計，能有更堅實的操作基礎。一年級課程為學習CDIO的基本技術（Exposure to CDIO skills），二年級課程在強化CDIO的技術（Reinforcement of CDIO skills），三年級課程則為實踐應用CDIO的技術（Practice and Apply of CDIO skills）。
教學,強化教學品質,調整課程規劃,以學院為核心之課程規劃方案,,,,成立推動委員會，以推動課程之整合與創新為核心工作。
教學,強化教學品質,培育優良教學助教/人力,跨領域挺生學院試辦計畫方案,,,,在挺生學院的催生下，課程因應而生的教學助理，已非傳統單純協助教師授課與批改作業的課程助教，其需具備更多元之能力，包含課堂觀察、創新思維、共創課程等多面相，故本行動方案也將培訓創新教學助理，使其具備因應未來創新教學的多元能力
教學,強化教學品質,培育優良教學助教/人力,善用教學新科技與充實數位教材方案,,,,推動數位教學助理制度，培訓助教之數位教學知能，協助教師製作數位影音教材與帶領線上課程互動
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,維持課程配置教學助理之比例達40%以上
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,每學期修訂教學助理工作手冊，說明目標規範、工作職責、薪資、培訓程序及考核項目等。
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,每學期辦理全校性教學助理資訊應用/共通職能培訓活動，增進教學助理知識與認知。
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,針對不同課程類型教學需求，鼓勵各教學單位辦理不同的專業培訓課程
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,辦理優良教學助理經驗分享座談會，邀請校內外資深優良教學助理，分享教學經驗
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,每學期末由通過初審之優良教學助理進行本學期工作內容及優良事蹟之口頭報告
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,進行「教學助理協助教學意見反應調查」及教學助理自評期末成果報告，作為遴選優良教學助理及教學助理是否續聘之參考依據。
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,設「教學助理遴選委員會」，負責每學期特優/優良教學助理遴選作業，分別頒發獎狀及獎金予以獎勵。
教學,強化教學品質,培育優良教學助教/人力,手牽手共享學習力擴散計畫方案,,,,持續豐富教學助理交流平台，建立教學助理線上諮詢機制
教學,強化教學品質,教師專業分享輔導機制,跨領域挺生學院試辦計畫方案,,,,組成挺生種子教師社群，利用一學期的時間討論、設計、學習、分享，來建立挺生學院的課程。這個團隊需要各式的教育知識，因此需要教師間的跨域合作。
教學,強化教學品質,教師專業分享輔導機制,問題導向式學習方案,,,,透過各式工作坊與校內共學的機會，累積改變與創新的能量，再讓平台上架，產生更加活潑多樣之創意課程。
教學,強化教學品質,教師專業分享輔導機制,推動CDIO教育模式,,,,建立「導師制」（mentor），通過有經驗之導師指導，使新進教師及年輕教師能夠儘快融入到教學計畫
教學,強化教學品質,教師專業分享輔導機制,推動CDIO教育模式,,,,建立學術交流機制，定期開展教學研討，以學習及探討教學之能力
教學,強化教學品質,教師專業分享輔導機制,深化創新課程模式（微型課程、總整課程、服務學習課程等）之運作方案,,,,透過教師社群定期聚會與分享，達到相互觀摩、互相學習、互相激勵之功效。
教學,強化教學品質,教師專業分享輔導機制,深化創新課程模式（微型課程、總整課程、服務學習課程等）之運作方案,,,,從課程設計、課程內容、評量方式、總整精神、核心能力檢視等層面，協助各系規劃總整課程
教學,強化教學品質,教師專業分享輔導機制,深化創新課程模式（微型課程、總整課程、服務學習課程等）之運作方案,,,,藉由相互觀摩、檢討，提升各系總整課程實施之成效。
教學,強化教學品質,教師專業分享輔導機制,跨領域基礎通識課程方案,,,,造物教育中心擬舉辦分享工作坊，讓教師間的領域透過工作坊彼此交流。
教學,強化教學品質,教師專業分享輔導機制,以學院為核心之課程規劃方案,,,,建置教師教學成果發表平台、建立專業人才庫，協助大學教師增進教學之能力，編寫優良之教案。
教學,強化教學品質,教師專業分享輔導機制,跨學院交叉課程設計方案,,,,甄選各院創新教學教師並建立典範，透過跨院教師觀課與分享，提供與媒合跨院專題合作。
