構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,開發PBL翻轉學習模式：發展問題導向學習與教學模式，以實務問題為核心，引導學生於討論與實作中，逐步強化問題解決與高階思考能力。
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,環境發現（discover）：學生至實際場域深入體驗與觀察，掌握問題情境。
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,實作發展（develop）：學生藉由討論與蒐集資料，嘗試規劃行動方案。
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,產業開發（deliver）：以最終成果方案於相關實務業界發展產學合作，以延伸本課程模組之效益。
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,研發科技化教材與多元評量：以教學內容之創新性與有效性為前提，開發多元教材與評量，以提升學生學習表現與動機。
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,內容製作：教師先將複雜理論概念轉換為簡單概要式的重點，再轉化成生動活潑的多媒體影片。
教學,強化教學品質,推廣創新教學模式,鼓勵共學共創之教師專業社群，開發教學創新模式,,,,教學試驗：以互動微課程方式呈現個別單元影片，提供閱聽學習、練習評量題庫、互動討論區及延伸學習等功能。
教學,強化教學品質,推廣創新教學模式,形塑教學創新，活化創意思維,,,,導入科技與資源，擴展學習視野：推動虛實整合之數位教育，納入翻轉教學元素於IRS即時反饋系統，以創新教學模式增進學生之學習動機及自主學習能力。
教學,強化教學品質,推廣創新教學模式,開發跨域與創新語文教材，翻轉教學與學習模式,,,,研發跨域特色文本：為強化大一國文通識課程之品質與內涵，增加餐飲、設計、管理、人文與資訊五類文本教材，教師可依學生之屬性分類，加以運用。
教學,強化教學品質,推廣創新教學模式,開發跨域與創新語文教材，翻轉教學與學習模式,,,,共創適性創新教材：大學英文（1）（2）的授課教師群須依各班學生的程度，共同編寫適當的教材，包含主要授課文章及相關活動作業單等，以符合學生的實際需求及興趣。
教學,強化教學品質,推廣創新教學模式,開發跨域與創新語文教材，翻轉教學與學習模式,,,,活化多元評量：在英文課程中，延續本校於教學創新試辦計畫中之「IDEA教學創新策略」，以自我介紹、分享海報、推廣城市/產品與撰寫計畫書等為主要的評量方式。
教學,強化教學品質,推廣創新教學模式,開發跨域與創新語文教材，翻轉教學與學習模式,,,,翻轉教學與學習模式，培養主動學習者：教師共創翻轉教室課程與資源，並導入任務型與專案型活動於課堂教學，使學生能從中體會語言的趣味與效用。
教學,強化教學品質,推廣創新教學模式,創新程式設計課程，提升學生學習興趣與邏輯思考能力,,,,開設全面性「大一新生混合式學習」課程：整合線上與課室之翻轉學習模式，安排大一新生先以磨課師進行線上學習
教學,強化教學品質,推廣創新教學模式,規劃與推動校級之共通性教學創新機制,,,,完善支持教師發展教學實踐之機制：為鼓勵教師改善教學實務與發展教學創新，本校以教學發展中心為專責單位，協助通過教學實踐研究計畫之教師。
教學,強化教學品質,推廣創新教學模式,規劃與推動校級之共通性教學創新機制,,,,徵選教學創新教材與課程及遴選教學優良教師：訂定「教學創新教材與課程獎勵辦法」，鼓勵教師開發創新教材與教法。
教學,強化教學品質,推廣創新教學模式,規劃與推動校級之共通性教學創新機制,,,,彈性改變教室環境，發展「學習共同體」：「學習共同體」概念著重於以學生為主體之協同教學
教學,強化教學品質,推廣創新教學模式,翻轉學校教學模式,,,,除了重新規劃課程的教學進度與方法，本計畫同時規劃以工作坊、專業論壇、主題演講、線上操作、現場實作、音樂會和結合並強化學校實驗室或實習餐廳設備與使用率
教學,強化教學品質,訂定核心能力，規劃課程地圖,打造跨域學習環境，倍增學生專業與跨域能力,,,,核心專業課程：廣設核心專業課程，強化各院系學生跨域的專業能力。
