構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,創新多元教學法,,,,問題導向學習（problem-basedlearning）教學：以學習者為中心並利用產業真實的問題引發學習者討論，透過教學目標與進行問題的引導，整合所學科目應用，有效提昇自主學習的動機。
教學,強化教學品質,推廣創新教學模式,創新多元教學法,,,,遊戲化（Gamification）：遊戲化設計（Gamificationdesign）的核心精神已廣泛應用於課程教學上，使課程的教育性與遊戲性保持一定的平衡，達成課程學習的目的。藉由課程遊戲化設計教學模式工作坊、建立遊戲化設計教學夥伴社群、將遊戲化設計技術應用於課程設計上，以達創意教學革新，增進學生學習成效。
教學,強化教學品質,訂定核心能力，規劃課程地圖,扎根基礎關鍵能力,,,,規劃統一會考
教學,強化教學品質,強化課程內容,扎根基礎關鍵能力,,,,商業資訊學院：提升健康科技學院學生在數位應用、科技資訊、專業倫理等領域，進行課程內容與教學品保之規劃，以確保教學品質。
教學,強化教學品質,強化課程內容,創新多元教學法,,,,以新視界探索解剖生理學：讓學生親身體驗操作生理儀器，觀察自身的生理變化，結合肺功能測試明白生理運作，以分貝計運用在感覺系統的教學，透過分光光度計，了解泌尿系統運作與液體攝取的關聯性，透過3D人體虛擬解剖台，建構學生對人體3D概念，明瞭人體器官與結構的關係。
教學,強化教學品質,教師專業分享輔導機制,創新多元教學法,,,,推動多師共時教學模式：課程設計以跨領域為主軸，當涉及多個專業領域時，規劃多師共時教學，同時激發不同教學創新內容，可促進跨領域實務專業課程與多師共時教學模式課程之開設，並培養學生跨領域學習及溝通能力。針對專業課程規劃多師共時教學，一方面促進不同領域專業教師合作解決問題外，另一方面共同努力激發創新內容，培養學生整體學習與合作能力。
教學,強化教學品質,教師專業分享輔導機制,教師教學實務增能,,,,多方共構專業教學社群：結合「線上」及「實體」社群模式，並同步邀請「產業端」（如5+2相關企業）、「在地社區」（如USR計畫合作單位）及夥伴學校擴展社群主題及成員來源，以教學創新為共構目標，共同設計教學、開發教材。建立教師跨領域專業成長社群，整合教師資源，規劃多師教學模式，促進教師教學多元化。）
教學,強化教學品質,教師專業分享輔導機制,教師教學實務增能,,,,全程式教師教學提升：聚焦「製作多元教材」、「創新教學教法」與「豐富教師教學涵養」層面，辦理主題式教師專業成長活動、「教學創新工作坊」及「教學成長研習營」，增加教師教學技巧，配合「教學知能認證」機制，激發教師更優質教學品質。
教學,強化教學品質,教師專業分享輔導機制,教師教學實務增能,,,,成立教師教學學群：推動共同規劃及研發課程教材、試課制度、共同備課制度，增進實務教學專業知能，以提升教學品質及學生學習成效。
教學,強化教學品質,教師專業分享輔導機制,教師教學實務增能,,,,同儕攜手教學成長：以跨院系教學諮詢小組，教學觀摩與諮詢，萃取教學歷程中的有效模式，精進教學模式認證，提升教師創新創意教學知能，強化教師教學技巧。
教學,強化教學品質,健全教師（學）評鑑制度,精進課程發展與教學品質,,,,多元教學成效檢核：落實期中教學意見反應調查問卷與回饋。期末教學總結性評量，有效檢核教學成效。以總結性教學評量，調查學生對學習成果之自評，反映學生對教師授課方式、課程規劃等回饋，使教師瞭解學生的學習投入程度及學習成效。先推行系所創新特色教學方法成果展，再辦理全校跨域教學成果檢核與教學觀摩展，分享各系科融入健康產業創意教學成果展演，擬透過各學制競賽式展演探究學生學習成效，並擇優勝作品鼓勵，亦可同步檢核教學品質深化成效。
教學,強化教學品質,健全教師（學）評鑑制度,教師教學實務增能,,,,成果導向教師評鑑：以教學、輔導、服務與研究之「成果」導向教師評鑑，強化教師關懷輔導，導引教師發展。
教學,強化教學品質,推動多元升等,師資人力結構改善,,,,訂定多元升等制度：訂定多元升等辦法，建立教學績優質量化指標、教師教學實務升等審查機制，及審慎評估流程，促進教學績優教師教學升等。辦理教師教學績優升等經驗分享與教學實踐成果展現激勵教師學習典範。
教學,強化教學品質,健全教學獎勵制度,績優教師留才攬才,,,,規劃彈性薪資制度：訂定本校「延攬及留住特殊優秀人才彈性薪資實施辦法」，透過實質薪資差別制度，延攬與留住教研之優異人才，提升本校教學特色與內涵。
教學,強化教學品質,健全教學獎勵制度,績優教師留才攬才,,,,彈性薪資獎勵優良教師：每學年實施績優教師彈性薪資遴選，具表現優異之教師可依表現支領不等之彈性薪資，激勵教師在學校教育貢獻與研發產出能量。
教學,強化教學品質,健全教學獎勵制度,績優教師留才攬才,,,,教師專業成長激勵制度：規劃「獎勵教師跨域學習制度」，為促進具特色與前瞻性之跨領域課程與學程，符合學校發展特色，建構長照專業跨域人才培育力，獎勵教師以個人或團隊方式，至國內外產官學進行短期研修。
教學,強化教學品質,建立教學改善回饋系統,學生學習成效檢核,,,,基本素養檢核：訂定校院系基本素養，以人文素養與健康素養之可量測數據，作為基本素養檢核。
教學,強化教學品質,建立教學改善回饋系統,學生學習成效檢核,,,,"專業核心能力檢核：實施多元核心能力檢核，依專業能力與職場需求，如以OSCE,DOPS,mini-CEX等符合產業實務所需之多元檢核方法"
