構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,以全程協助規劃與執行之方式取代片段式的審查作業，發展本校教師創新教學模式，輔導-協助-改善,,,,推廣及鼓勵非醫學院系所教師進行PBL教學，培訓及鼓勵教師撰寫PBL教案。
教學,強化教學品質,推廣創新教學模式,以全程協助規劃與執行之方式取代片段式的審查作業，發展本校教師創新教學模式，輔導-協助-改善,,,,持續選送教師出國短期進修創新創意教學、全英語教學及其他最新教學法，接受最新教學及研究觀念之洗禮，不斷提升教研品質。
教學,強化教學品質,推廣創新教學模式,ABC新世界-英語教學創新,,,,進行教學改革，以專題式學習（project-based learning）及問題解決導向學習（problem-based learning）為主的方式，培養學生主動學習的興趣，提高學生主導課堂參與。同時並藉由專題及問題導向學習引導並增進學生反思及創造能力，提高學習成就。並舉辦以專題及問題導向學習為主軸的英語營，增進合作，解決問題，反思，溝通及創造力。
教學,強化教學品質,推廣創新教學模式,程式設計創新課程,,,,"推動專案導向學習法（project-based learning, PBL），以物聯網（IoT）程式設計應用為主軸結合PBL教學法與選修學生本身的專業。"
教學,強化教學品質,推廣創新教學模式,跨領域「做中學」專題式通識課程,,,,教師專業組將規劃「非生醫領域PBL教學工作坊」，加強推廣PBL教學法於各學系課程。
教學,強化教學品質,調整課程規劃,ABC新世界-英語教學創新,,,,創新課程規劃，將大一英文與英文畢業門檻課程重新規劃，從聽、説、讀、寫四技能為導向設計基礎及應用課程，讓學生可以就自己的興趣和需求選課，使課程能顧及英語基礎的建立，以及學生的選修意願。課程設計融合跨領域學習，結合本科系及興趣或專業選項，促進跨領域溝通能力。
教學,強化教學品質,調整課程規劃,持續課程改革,,,,共同基礎課程如基礎生物、大一國文、英語…等，由現行各學系獨立開課，改為依學生程度分班授課，精實能力，提升學習成效。
教學,強化教學品質,調整課程規劃,持續課程改革,,,,改革校訂核心能力（國文、英語、資訊、體能）檢核機制，強調學生能力加值培養，取消以替代機制通過畢業門檻之輔導方式，改由以各課程把關確保學生具備應有的核心能力。
教學,強化教學品質,培育優良教學助教/人力,以全程協助規劃與執行之方式取代片段式的審查作業，發展本校教師創新教學模式，輔導-協助-改善,,,,為協助教師教學，提升課堂學生之學習品質，持續進行教學助理培訓、定期考核及獎勵優良教學助理。
教學,強化教學品質,培育優良教學助教/人力,「碩學通儒․點亮東台灣」培育未來人才通識課程計畫,,,,教學助理安排：為使同學們熟悉人文講座討論課程進行，配置1位專職教學助理及3位兼職助理進行，同時教學助理必須完成討論課程帶領等訓練資格。
教學,強化教學品質,教師專業分享輔導機制,營造教師社群,,,,以現有教師社群為基礎，擴展教師專業成長活動。讓以多元管道升等成功的教師發揮母雞帶小雞的效應，幫助更多教師找到專業成長的方向。
教學,強化教學品質,教師專業分享輔導機制,以全程協助規劃與執行之方式取代片段式的審查作業，發展本校教師創新教學模式，輔導-協助-改善,,,,鼓勵教師創新教學，成立教師社群，強化跨域合作並促進學生自主學習。
教學,強化教學品質,教師專業分享輔導機制,教學資源之區域共享、輔導、協助、改善,,,,鼓勵教師成立校內或跨校社群。
教學,強化教學品質,教師專業分享輔導機制,教學資源之區域共享、輔導、協助、改善,,,,由教師專業組擔任召集，每週固定安排全校教師固定聚會，進行交流。
教學,強化教學品質,教師專業分享輔導機制,ABC新世界-英語教學創新,,,,舉辦教師的教案研習，設計創新教學教案，確定各課程教師能以創新教學方式進行教學，讓所有基礎課程有教學共識，以期達到預期成效。
教學,強化教學品質,教師專業分享輔導機制,教育轉型–以學習者為中心的學習與教學,,,,在以學習者為中心的環境中教學：擬成立課程發展研究組織，並組織「教學實踐研究」教師社群，推動差異化及個人化創新教學，促使教師成為以學習者為中心的環境中類似師徒制的師傅或樂團指揮的新角色。透過教師社群的同儕發展與支援、課程發展專業研究人員跨域合作提供專業，協助教師發展新技能，及發揮數位學習的最大潛能。
教學,強化教學品質,健全教師（學）評鑑制度,持續課程改革,,,,配套教學評鑑、教師評鑑及升等制度改革及支持激勵方案，支持及鼓勵教師創新教學及跨領域授課。
