構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,深化博雅實踐場域,,,,"推廣議題導向的自主方案學習（Active Project Learning, APL）核心訓練。"
教學,強化教學品質,推廣創新教學模式,深化博雅實踐場域,,,,採用發展資源概念框架（The Developmental Assets Framework）設計清掃學習行為發展的課程和方案。
教學,強化教學品質,推廣創新教學模式,通識課程延伸與重塑,,,,引導式的教學。
教學,強化教學品質,推廣創新教學模式,通識課程延伸與重塑,,,,帶領學生走向「做中學」以及社會參與。
教學,強化教學品質,推廣創新教學模式,碎片化計算思維的數位學習單元與多領域學習路徑,,,,程式語言課程的規劃採成果導向（Outcome-Based）的模組化設計，包含八週基礎FBP課程與八週PBL實作課程。
教學,強化教學品質,推廣創新教學模式,運用PBL教學環境,,,,採取「問題導向學習」作為核心精神。
教學,強化教學品質,推廣創新教學模式,發展基於流程圖導向的程式設計教學與工具,,,,「流程圖導向程式設計（Flowchart-Based Programming，FBP）」教學法是本校所開發，用來幫助不同領域、不同學習程度的學生學習程式語言的教學方法。
教學,強化教學品質,推廣創新教學模式,發展基於流程圖導向的程式設計教學與工具,,,,學生透過學習繪製圖像化流程圖的邏輯思維步驟，轉化為符號的程式碼撰寫。
教學,強化教學品質,推廣創新教學模式,程式設計共學助教培訓課程,,,,以PBL導向的程式語言學習方式需由有經驗的老師與助教來帶領學生學習、討論，透過參與學習社群達到共學的目標。
教學,強化教學品質,推廣創新教學模式,專業跨域與銜接課程之規劃,,,,透過共時授課、深碗型、微學分、通識課程、中英文課程、全時段學習、國際化、職涯接軌、終身學習等機制創造新的學習模式。
教學,強化教學品質,推廣創新教學模式,以社會責任實踐的多元課程設計,,,,進行各種不同的課程規劃（學程、模組課程、深碗型課程、線上課程、微學分）與教材教案設計。
教學,強化教學品質,推廣創新教學模式,課程與跨領域實作主題之設計與操作,,,,利用跨領域統整課程、專題實作以及社區實踐等不同方式進行。
教學,強化教學品質,推廣創新教學模式,數位學習中心,,,,教務處教資中心則負責數教材製作與推廣。
教學,強化教學品質,推廣創新教學模式,議題推動到新創加速,,,,翻轉現有教學模式，推動創新的學習模式。
教學,強化教學品質,推廣創新教學模式,共享經濟,,,,推動東海虛擬貨幣，成立時間貨幣與金幣委員會，再者集結消費力影響區域商圈，以金幣拓展消費商家聯盟，以消費能力影響商圈。
教學,強化教學品質,推廣創新教學模式,共享經濟,,,,獎勵校內循環與共享經濟，建立時間銀行，鼓勵好行為儲值。
教學,強化教學品質,推廣創新教學模式,提升學生思考社會議題的能力,,,,多元學習課程方式。
教學,強化教學品質,推廣創新教學模式,校園典範學習場域的建置,,,,於校園場域內結合實體/虛擬環境的布置，建立10個主題性示範學習場域。
教學,強化教學品質,訂定核心能力，規劃課程地圖,強化博雅學習平台並建立評量機制,,,,統整出校內具博雅核心素養的課程，提供學生規劃屬於自己博雅學習規劃的地圖。
教學,強化教學品質,訂定核心能力，規劃課程地圖,第2年,,,,結合資訊相關系所建構每一位學生與社會需求完整結合的學習地圖。
教學,強化教學品質,訂定核心能力，規劃課程地圖,跨域整合型,,,,推動課程模組：系所可以規劃課程模組或課程地圖。
教學,強化教學品質,調整課程規劃,全校中文課程模組化設計,,,,可依學院系性質、任課教師專長之不同，一學期之中作出不同模組之組合，並彈性調整課程時數。
教學,強化教學品質,調整課程規劃,全校中文課程模組化設計,,,,規劃突破上下學期同一任課老師之限制，按學生興趣與需求選課，以套餐方式自由配搭四大模組之課程。
教學,強化教學品質,調整課程規劃,博雅宏通教育課程規劃和推動,,,,學生在校期間的學習，突破4個年級8個學期的傳統區分，而是8個學期加上3個暑假（等於3個學期）共11個學期，若再加上大一入學前的暑假則共有12個學期的學習活動。
教學,強化教學品質,調整課程規劃,博雅宏通教育課程規劃和推動,,,,「大一前」學測結束後確定申請東海的高中生，在進入東海前有長達5個月的空檔。
教學,強化教學品質,調整課程規劃,博雅宏通教育課程規劃和推動,,,,「宏通期」為大一至大二上，共3學期。
教學,強化教學品質,調整課程規劃,博雅宏通教育課程規劃和推動,,,,「專業培育期」為大二下至大四，共5學期；「專業延伸期」則以「畢業作品」、研究所和實習銜接進入社會。
教學,強化教學品質,調整課程規劃,組織架構的建立與成效評估,,,,在願意投入實辦實驗計畫的系所中，組織架構的調整，以利於精實盤點現行之課程、保留學分的調整彈性、設計多元的課程和專業的分組。
教學,強化教學品質,調整課程規劃,第1年,,,,以現有的中英文、通識集中至「宏通期」建立起課程的基礎，依試辦系所的特色需求，從專業課程的學分中調整出10學分以上。
