構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,厚植基本學習力－參與式多元評量,,,,除了從平時表現、考試和報告評量學生外，規劃發展「參與式多元評量」，讓授課教師依據學生的個人特質、學習狀況等等給予學生合適的幫助、評價和鼓勵。
教學,強化教學品質,培育優良教學助教/人力,強化教學支持系統－教學資源投注,,,,"建立教學助理（Teaching Assistant, 簡稱TA）制度，分為通識教學助理、專業教學助理、研修教學助理三類，主要任務為協助教師規劃、發展與管理課程。"
教學,強化教學品質,教師專業分享輔導機制,強化實作學習－課程,,,,開設「正念學專題」，未來結合本校已有的師資與其他相關實作課程，發展成獨立的學分班或培訓系統，培訓可在各級學校教導正念的合格正念師資。
教學,強化教學品質,教師專業分享輔導機制,強化教學支持系統－強化教師本職學能，以研究提升教學,,,,佛教學系規劃每年舉辦教師成長研習活動（教師教學方法工作坊與教師學術研究成長營交替舉辦）。
教學,強化教學品質,教師專業分享輔導機制,強化教學支持系統－強化教師本職學能，以研究提升教學,,,,人文社會學群每學期預定舉辦教師學術分享會，邀請學程教師進行學術分享。
教學,強化教學品質,教師專業分享輔導機制,強化教學支持系統－強化教師本職學能，以研究提升教學,,,,增加於每學期期末舉辦學群教師期末交流分享會，分享每學期教學情況與困難。
教學,強化教學品質,教師專業分享輔導機制,強化教學支持系統－強化教師本職學能，以研究提升教學,,,,增加邀請校外專家學者及舉辦人文社會學群教師期末交流分享會。
教學,強化教學品質,教師專業分享輔導機制,獎勵開發創新教材或教學方法,,,,多元學習與課程設計方案透過定期舉辦系列演講與工作坊之形式，讓專業師資群獲得「開發創新教學方法與教材」之相關知識。
教學,強化教學品質,教師專業分享輔導機制,獎勵開發創新教材或教學方法,,,,辦理「促進成長活動」的教學觀摩。
教學,強化教學品質,教師專業分享輔導機制,禪修跨域鏈結推廣－教師心靈環保教學研習營,,,,以生命教育與心靈環保為主軸，透過講座、交流、分享，將觀念與方法，運用在教學及生活上。
教學,強化教學品質,健全教師（學）評鑑制度,獎勵開發創新教材或教學方法,,,,將教材、講義之編製納入教師評鑑項目。
教學,強化教學品質,健全教學獎勵制度,數位人文扎根，啟發程式學習－重點課程數位化,,,,依據「獎勵教師自編教材作業要點」，鼓勵教師編纂優良自編講義教材、教具、數位媒材，未來將檢討修正現行法規和制度，並編列預算鼓勵授課教結合科技發展趨勢，研發編撰優良創新教材。
教學,跨領域學習,規劃跨領域學位（分）學程,調整學分結構 學習自主彈性,,,,四個學程以跨領域的課程規劃，對於學生專業能力之養成與教學規劃上，採取具有彈性整合優勢的學程化設計。
教學,跨領域學習,規劃跨領域學位（分）學程,跨域整合學習－跨領域共同課程規劃,,,,校內設有各教學單位間（學系、學程），互相承認計入畢業學分之選修課程6學分之機制。
教學,跨領域學習,規劃跨領域學位（分）學程,跨域整合學習－跨領域共同課程規劃,,,,規劃校內教學單位之「團塊化有機連結」，讓屬性較近者共組教學團塊，設計團塊內橫跨不同教學單位的「共同科目課程」。預期規劃兩大教學，亦即「佛教＆生命」以及「社企＆社區＆環境」，後續由此二團塊規劃系列共同科目課程。
教學,跨領域學習,規劃跨領域學位（分）學程,跨域整合學習－跨領域共同課程規劃,,,,目前由本校一級學術中心「心靈環保研究中心」開設校共同必修「心靈環保講座」，以及社會企業與創新提供之「佛教與現代社會：經典、歷史與社會經濟」。
教學,跨領域學習,跨領域教學,跨域整合學習－跨領域共同課程規劃,,,,佛教學系與人文社會學群之碩士班課程可跨領域選修。
教學,提高學習自由度及彈性,調降系必修學分,調整學分結構 學習自主彈性,,,,規劃將人社學群四學程必修學分降至三分之一以下。
教學,提高學習自由度及彈性,調降系必修學分,調整學分結構 學習自主彈性,,,,計畫調整佛教學系部分研究所與學士班課程學分，由兩學分調整為三學分，以及調降畢業學分數。
教學,人才國際化,增進外語能力,厚植基本學習力－五大基本能力輔訓,,,,開設大一英文、基礎佛學英文、英語佛學論著選讀（I）~（II）、進階佛學英文（I）~（IV）課程，並增設「外語能力」相關輔助課程數量。
教學,人才國際化,增進外語能力,厚植基本學習力－五大基本能力輔訓,,,,開設初中級日文、基礎佛學日文課程，並增設「外語能力」相關輔助課程數量。
教學,人才國際化,增進外語能力,厚植基本學習力－語言強化,,,,辦理課外語言學習相關活動，如日文讀書會、梵語讀書會、梵語唱誦練習課、藏文輔導課等等。
教學,人才國際化,多元文化/文化交流,境教陶冶，書院生活圈－境外生輔導,,,,辦理外籍生文化之旅。
教學,人才國際化,多元文化/文化交流,境教陶冶，書院生活圈－境外生輔導,,,,舉辦國際日等外籍生聯誼活動。
教學,人才國際化,辦理海外參訪或移地教學,強化實作學習－實習,,,,由本校教授佛教儀軌之教師與漢傳佛教教師共同安排學生於寒暑假至大陸進行校外教學，校外教學活動規劃二年一次。
教學,人才國際化,交換學生,深化國際交流裨益學生視野－學海築夢與學海飛颺,,,,學海飛颺：選送優秀學生赴國外大專校院院（不包括大陸及港、澳）修讀學分。
教學,人才國際化,交換學生,強化實作學習－實習,,,,積極拓展與國外相關系所簽訂合作交換協議。
教學,人才國際化,交換學生,深化國際交流裨益學生視野,,,,赴國外修習專業佛典語言（梵文、藏文及巴利文）：經由本校專任教師提出學習計畫書，擇定學習機構，選送學生赴國外學習專業佛典語言。
教學,人才國際化,交換學生,深化國際交流裨益學生視野－大陸學僧來台研修計畫,,,,為辦理海外地區僧侶至本校佛教學系短期研修佛教教義之各項相關作業，特訂「海外地區僧侶至法鼓文理學院研修教義申請作業要點」。
教學,人才國際化,生源國際化（及其配套措施）,厚植基本學習力－五大基本能力輔訓,,,,針對外籍生增設「華語文能力」相關輔助課程數量。
教學,人才國際化,生源國際化（及其配套措施）,厚植基本學習力－語言強化,,,,針對外籍生規劃中文小老師，增強外籍生華語能力，也讓外籍生對台灣在地文化有更多的瞭解。
教學,提升基礎能力,強化國文能力,厚植基本學習力－五大基本能力輔訓,,,,開設佛典文獻學（I）~（II）課程，並增設「文獻閱讀」相關輔助課程數量，增強學生蒐集與閱讀專業領域之原文書及古典文獻的能力。
教學,提升基礎能力,強化表達溝通能力/領導能力,厚植基本學習力－五大基本能力輔訓,,,,開設資料庫系統、開放式文書處理實作等課程，並增設「研究工具」相關輔助課程數量，增強學生使用國內外期刊論文資料庫、文書處理軟體工具、撰寫報告和製作簡報之能力。
教學,提升實作能力,推動各類競賽（實作能力）,厚植基本學習力－語言強化,,,,訂定有語言競賽獎勵要點和外語檢定測驗獎勵措施，由語言和翻譯中心每年在校慶時舉辦綜合語言競賽以及「五分鐘說書」比賽（現更名為「五分鐘外文書評」）。
教學,提升實作能力,開設增進實務能力導向課程,強化實作學習－課程,,,,於生命教育學程開設「安寧與老年關懷專題」、「生命照顧實務」。
教學,提升實作能力,開設增進實務能力導向課程,強化實作學習－課程,,,,於社區再造學程開設「社區再造理論與實務」。
教學,提升實作能力,開設增進實務能力導向課程,引導學生創新創意實踐,,,,舉辦社會企業工作坊。
教學,提升實作能力,開設增進實務能力導向課程,引導學生創新創意實踐,,,,舉辦社會投資報酬（Social Return on Investment，簡稱SROI）工作坊。
教學,提升實作能力,開設增進實務能力導向課程,研發成果衍生創新創業培訓－社企專業實踐與推廣,,,,開設社會影響力工作坊課程與培訓。
教學,提升實作能力,開設增進實務能力導向課程,研發成果衍生創新創業培訓－社企專業實踐與推廣,,,,SROI初階專案經理人實務培訓工作坊，提供給從事公益創投、影響力投資或CSR相關工作者深入熟悉SROI準則框架、工具操作程序，或是希望成為英國認證合格的SROI專業執業師的初階入門教學訓練。
教學,提升實作能力,聘請業師或雙師協同教學,強化實作學習－教學,,,,課程視需要聘請相關技術人員和業界人士等與學校教師共同授課。
教學,提升實作能力,聘請業師或雙師協同教學,強化實作學習－教學,,,,訂有「碩博士班協同教學實施要點」，參與協同教學之師資得包括國內外客座教授、國內其他學校教師及業界專業人士，外校及業界人士協同教學，以不超過該課程總授課時數二分之一為原則。
教學,提升實作能力,聘請業師或雙師協同教學,學習輔導，開拓畢業發展,,,,邀請校外專家學者，協助學生論文撰寫及多元學習。
教學,提升實作能力,聘請業師或雙師協同教學,數位人文扎根，啟發程式學習－大專生程式課程扎根,,,,Workshop活動由校內教師之支援，並適當邀請資訊產業界或開放原始碼社群等具資訊專長之人士前來參與授課。
教學,提升實作能力,建立/強化實習制度,深化國際交流裨益學生視野,,,,赴國外專業實習（含產企業界）：經由本校專任教師提出計畫書，選送學生赴國外大學、研究機構、產經企業機構實習。
教學,提升實作能力,建立/強化實習制度,深化國際交流裨益學生視野－學海築夢與學海飛颺,,,,學海築夢：運用國際合作計畫管道，選送學生赴國外非新南向國家之企業、機構進行職場實習（不包括大陸及港、澳），由薦送學校自行安排實習機構及規劃實習領域，充實實習課程。
教學,提升專業證照能力,專業技能檢定之輔導機制,研發成果衍生創新創業培訓－社企專業實踐與推廣,,,,輔導參與學員取的英國社會價值學會（Social Value UK）的SROI證照資格。
教學,數位化,建置開放式線上課程,數位人文扎根，啟發程式學習－重點課程數位化,,,,擬規劃盤點學系/學群基礎與重點課程，分析數位化之需求性、可能性與優先順序，比較現行sharecourse與Moocs課程異同，分析導入Moocs課程之可行性。
教學,數位化,教材雲端化,數位人文扎根，啟發程式學習－重點課程數位化,,,,鼓勵教師利用便利的數位工具以協助進行教學活動與匯集教學資源，擬以製作數位課程為優先考量項目。
