構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,活化學院核心課程,,,,院核心課程發展出「做中學、實作學習」的教學特色，以增進學生學習效率，此外以小班群組課後討論，轉變為「參與式學習」，為學生找到適合的學習方式。
教學,強化教學品質,推廣創新教學模式,推動學程教師共同備課社群,,,,持續行課程改善與教學創新：對學程量身打造課程內容，以呼應學程之設置目標與核心能力指標，而非以原屬學系課程設計進行教學。
教學,強化教學品質,推廣創新教學模式,推動教師教學實務研究類計畫,,,,教師於深耕計畫提出申請並可獲得獎補助的計畫，均將以學校整體定位為核心，注重以學生為導向的教師教學，透過創新思維與科技環境的運用，以精進教師的教法及教材，並經由以學生為主體的學習歷程，增加學生學習課程內容、參與學習活動的興趣，進而提升其學習成效。
教學,強化教學品質,推廣創新教學模式,推動教師教學實務研究類計畫,,,,建置教師創新課程計畫平臺：透過深耕計畫的支持，建置「教師創新課程的計畫平臺」，針對計畫的宣傳、申請、審查、執行、結案、成果分享等工作，建立完整且嚴謹的輔導與查核機制。
教學,強化教學品質,推廣創新教學模式,推動教師教學實務研究類計畫,,,,優先落實教師教學的特色與創新，透過深耕計畫的支持，建置「教師創新課程計畫服務平臺」，針對計畫的宣傳、申請、審查、執行、結案、成果分享等工作，建立完整且嚴謹的輔導與查核機制，以協助教師完成各項計畫相關工作，最後再透過「校務研究分析」將各計畫成果匯整以形成全校性的創新教學特色，並透過校外推廣與分享活動以提高本校創新教學特色的公共性，並進而達成善盡社會責任的終極目標。
教學,強化教學品質,培育優良教學助教/人力,建立數位敘事力空間,,,,數位敘事力教學助理培訓：辦理相關教師研習與課程製作活動，亦推動數位敘事力課程之教學助理之培訓，以利由教學助理協助教師相關課程之事前準備、課程進行與系列活動之辦理等事宜，並將課程經營經驗傳承予未來課程。
教學,強化教學品質,培育優良教學助教/人力,賡續辦理教學助理（TA）人才認證與培訓,,,,定期追蹤教學助理運用滿意度調查，藉以拔擢優秀教學助理，並依調查結果回饋至改善教學助理運用與培訓機制。
教學,強化教學品質,培育優良教學助教/人力,賡續辦理教學助理（TA）人才認證與培訓,,,,本校教學助理培訓內容將依據教學助理協助之主要工作，進行專長培訓，以能讓各類別教學助理得以具備所需執行工作之能力。
教學,強化教學品質,培育優良教學助教/人力,賡續辦理教學助理（TA）人才認證與培訓,,,,教學助理須完成培訓課程，方能正式獲得聘用。已取得認證資格之教學助理，須每學期定期接受職前培訓。新任教學助理則均必須通過「教學助理試教」（含試做），做為教學助理資格認證考核，且在職期間參與校內外教學研習得納入教學助理培訓認證。為瞭解教學助理需求，定期召開教學助理工作會議，瞭解教學助理進行學生學習輔導與教師教學協助所遭遇之挑戰，並提供相關諮詢與協助。
教學,強化教學品質,培育優良教學助教/人力,依照教學助理（TA）專長提供專業服務,,,,教學協助型教學助理：協助教師製作教材、學生課業輔導、協助作業評量及修改、設計並維護課程網頁、管理網路教學平臺、教學活動帶領、帶領分組討論與落後學生學習輔導等。同時，針對服務學習、反思寫作與討論課程亦可配合課程規劃，在授課老師指導監督下，帶領修課同學進行服務學習、反思寫作引導、小組討論等。
教學,強化教學品質,培育優良教學助教/人力,依照教學助理（TA）專長提供專業服務,,,,語文學習輔導型教學助理：協助學生準備及通過校訂之畢業門檻語文檢定，及「語文學習角駐點」教學服務，提供語文學習及會話練習等演練機會。此類型助理，應具備有全民英語檢定中級或新多益550分以上或相當之資格認證。
教學,強化教學品質,培育優良教學助教/人力,依照教學助理（TA）專長提供專業服務,,,,教學科技教學助理：協助教師教材上網，提供數位教材製作之協助，及數位課程影音錄製與剪輯。此類型助理應通過校內Course Master等數位教材編輯軟體與影音錄製剪輯之培訓認證。
