構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,教學知能提升計畫,,,,建構PBL與「設計思考」之教學知能，並進一步開設PBL與「設計思考」訓練課程。
教學,強化教學品質,推廣創新教學模式,教學知能提升計畫,,,,推廣PBL及「設計思考」實務應用。
教學,強化教學品質,推廣創新教學模式,教師專業分流成長社群計畫,,,,舉辦專業分流「設計思考」訓練課程，培訓種子教師。
教學,強化教學品質,推廣創新教學模式,創新教學特色計畫,,,,推動教師創新教學。
教學,強化教學品質,推廣創新教學模式,學系發展特色課程計畫,,,,各院、系或教師團隊，透過課程分流規劃，推動解決實務問題為導向之課程內容，結合PBL與設計思考創新教學型態變革，與產業合作開設企業前瞻實務課程等執行方案。
教學,強化教學品質,推廣創新教學模式,日本名城大學滑雪課程計畫,,,,導入嶄新課程，檢視課程情境、認知和知能運作情形。
教學,強化教學品質,推廣創新教學模式,日本名城大學滑雪課程計畫,,,,發展創新課程教案，提升學習動機。
教學,強化教學品質,推廣創新教學模式,日本移地教學：學院學程計畫,,,,促進學校推動課程創新、多元化，提升學校的教學的特色與定位。
教學,強化教學品質,推廣創新教學模式,日本移地教學：學院學程計畫,,,,建構跨領域、創新及多元化的教學方式，強化師生團體合作與相互關懷的素養。
教學,強化教學品質,推廣創新教學模式,琢璞產學合作實習計畫,,,,激發創新教學模式。
教學,強化教學品質,訂定核心能力，規劃課程地圖,學習奠基計畫,,,,依據現有基礎，利用IR研究與UCAN之職能項目，連結各系之教學目標與課程核心能力，進而建置UCAN發展職能導向之課程地圖。
教學,強化教學品質,訂定核心能力，規劃課程地圖,學習發展計畫,,,,審慎規劃各系所教學需求，提供師生優質的教學情境與學習環境。
教學,強化教學品質,訂定核心能力，規劃課程地圖,創新教學特色計畫,,,,發展學系專業學群。
教學,強化教學品質,調整課程規劃,管院共享知識管理創新教學計畫,,,,協助系進行橫向課程整合。
教學,強化教學品質,調整課程規劃,日本名城大學滑雪課程計畫,,,,建構學生不同環境的學習機制。
教學,強化教學品質,調整課程規劃,提升畢業生流向調查機制計畫,,,,教師面：提供系所進行教學、課程規劃。
教學,強化教學品質,培育優良教學助教/人力,學習發展計畫,,,,提供教學助理培訓相關教學知能。
教學,強化教學品質,培育優良教學助教/人力,學習發展計畫,,,,培訓具有教學知能教學助理。
教學,強化教學品質,教師專業分享輔導機制,學習發展計畫,,,,諮詢及邀請有經驗的授課老師加入課程設計。
教學,強化教學品質,教師專業分享輔導機制,通識教育強化計畫,,,,針對通識必修課程推動課程教學研究會，辦理優質教師教學分享、專業新知發表。
教學,強化教學品質,教師專業分享輔導機制,通識教育強化計畫,,,,結合文學與藝術、自然永續概論和社會關懷等課程授課教師，辦理教師教學研究會，共六場。
教學,強化教學品質,教師專業分享輔導機制,教學知能提升計畫,,,,第一年以企管系為種子系，再由種子學系協助培訓其他學系之教師，提升教學知能。
教學,強化教學品質,教師專業分享輔導機制,教學效能精進傳習計畫。,,,,由申請教師（學習教師，Mentee）邀請本校或他校獲得教學優良獎項之教師，擔任傳習教師（Mentor）共同組成教學研究團隊，透過資深教師傳習等方式，提昇教學效能與學生學習成效。
教學,強化教學品質,教師專業分享輔導機制,教學效能精進傳習計畫。,,,,推動並補助教師傳習團隊機制，提升教學知能。
教學,強化教學品質,教師專業分享輔導機制,教學效能精進傳習計畫。,,,,發表教學研究計畫，提升教學知能。
教學,強化教學品質,教師專業分享輔導機制,教學效能精進傳習計畫。,,,,建立教師傳習團隊分享機制。
教學,強化教學品質,教師專業分享輔導機制,教師專業分流成長社群計畫,,,,舉辦領域講座、工作坊相關活動。
教學,強化教學品質,教師專業分享輔導機制,教師專業分流成長社群計畫,,,,開放申請教師專業分流成長社群。
教學,強化教學品質,教師專業分享輔導機制,教師專業分流成長社群計畫,,,,推動教師跨領域交流應用。
教學,強化教學品質,教師專業分享輔導機制,教師專業分流成長社群計畫,,,,推動並補助教師專業分流成長社群機制，提升學用合一的教學模式。
教學,強化教學品質,教師專業分享輔導機制,教師專業分流成長社群計畫,,,,建立教教師專業分流成長社群分享機制。
教學,強化教學品質,教師專業分享輔導機制,大數據資料應用與分析人才養成計畫,,,,成立「資料分析人才培養」教師專業成長社群。
教學,強化教學品質,健全教師（學）評鑑制度,教師多元升等計畫,,,,修訂教師聘任升等資格審查辦法。
教學,強化教學品質,健全教師（學）評鑑制度,教師多元升等計畫,,,,修訂教師評審委員會設置辦法。
教學,強化教學品質,健全教師（學）評鑑制度,教師多元升等計畫,,,,依學校修法程序辦理修法。
教學,強化教學品質,健全教師（學）評鑑制度,教師多元升等計畫,,,,邀請校外專家學者以經驗分享形式辦理說明會及座談。
教學,強化教學品質,推動多元升等,教師多元升等計畫,,,,訂定各類（多元）升等審查作業要點。
教學,強化教學品質,推動多元升等,教師多元升等計畫,,,,舉辦各類（多元）升等說明會及專家座談。
教學,強化教學品質,建立教學改善回饋系統,學習發展計畫,,,,蒐集參與學生與受服務者的回饋。
教學,強化教學品質,建立教學改善回饋系統,數據回饋教學計畫,,,,利用本校現有iLMS、PMS等數位教學平台，加上外部資源，如UCAN與即時回饋系統檢討課程目標與檢核標準，教師能有效掌握學生學習，同步分享創新回饋意見，即時調整學內容與方向。
