構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,創新教學課程推動,,,,本校為推廣教師創新教學概念、落實創新教學方法、改善傳統教學品質，以增進學生學習成效，定有「教學創新補助作業要點」。
教學,強化教學品質,推廣創新教學模式,創新教學課程推動,,,,新興推廣類：翻轉教室/問題導向學習課程（PBL）。
教學,強化教學品質,推廣創新教學模式,創新教學課程推動,,,,教材發展類：具創新理念、改進教學方法，而撰述之教材或輔助教學設計。
教學,強化教學品質,推廣創新教學模式,策略內容,,,,教師教學策略的創新經營—例如「問題解決中心」的創新教學課程設計。
教學,強化教學品質,推廣創新教學模式,策略內容,,,,落實教學創新以「統合系所專業課程與維護教學品質」、「建立教師社群與教學相長」、「鼓勵多元創新課程與學用合一」為目標，培養學生技術能力。
教學,強化教學品質,培育優良教學助教/人力,中文表達能力思考營,,,,推動同儕學習與教學，從中文能力表現優異的同學中選拔同儕TA，以同儕互助合作的概念，協助學習有困難的同學進行學習，並帶領讀書會的組成與進行，以提升學習中文能力之成效；此外，也選拔數名表現優異之同儕TA，擔任通識課程國文TA。
教學,強化教學品質,培育優良教學助教/人力,數位資訊與邏輯能力學習吧,,,,推動同儕學習與教學，從資訊能力表現優異的同學中選拔同儕TA，以同儕互助合作的概念，協助學習有困難的同學進行學習與課業輔導，並帶領讀書會的組成與進行，以提升學習資訊能力之成效；此外，也選拔數名表現優異之同儕TA，擔任通識課程計算機概論TA。
教學,強化教學品質,教師專業分享輔導機制,專業知能訓練,,,,專業力交流講座：邀請教學經驗豐富之學者與本校教師進行主題性之教學經驗交流，以拓展本校教師之教學經驗與教學視野。
教學,強化教學品質,教師專業分享輔導機制,專業知能訓練,,,,跨域力交流講座：透過各領域之優秀學者進行各領域之多方面分享，讓教師們獲取各領域之最新新知或技術，以引發教師們跨領域之興趣；亦或者，邀請曾經跨領域之優秀學者進行跨領域之心得或經驗分享，提供本校教師借鏡學習。
教學,強化教學品質,教師專業分享輔導機制,同儕交流專業成長,,,,舉辦多元化之主題性教師社群，社群中教師們可以互為同儕交流成長，亦可透過優良且資深教師之帶領，提升教師多元化之成長。
教學,強化教學品質,教師專業分享輔導機制,同儕交流專業成長,,,,邀請主題性之優良學者進行深度座談，以快速提升教師之多元化能量。
教學,強化教學品質,教師專業分享輔導機制,同儕交流專業成長,,,,推行教師們依其專長能力，以同質性之教師組成教學或研究升等社群，讓同儕教師們可以互相激勵與合作，強化教師之能量。
教學,強化教學品質,教師專業分享輔導機制,策略內容,,,,了解教師們增能或跨領域之需求，進行教師社群之分類與組成，針對特定主題之教師社群進行專屬增能講座、活動或工作坊，以切實滿足教師增能之需求。
教學,強化教學品質,教師專業分享輔導機制,策略內容,,,,透過獎勵或鼓勵機制，讓各夥伴學校老師間有機會籌組跨校教師社群、研討會或工作坊，以達到跨校教師增能。
教學,強化教學品質,推動多元升等,同儕交流專業成長,,,,辦理教師多元升等相關講座，並制定教師多元升等制度，讓教師們可以多元化的選擇升等方式。
教學,強化教學品質,推動多元升等,策略內容,,,,多方辦理有關教師多元升等方式之相關活動，讓教師們可多元增能，並且在多元選擇之情況下，運用自我之專長，持續發展，以達自我提升之目的。
教學,強化教學品質,建立教學改善回饋系統,中文表達能力思考營,,,,中文前測與後測，以測知學生的學習成效。
教學,強化教學品質,建立教學改善回饋系統,英語表達能力成長營,,,,辦理英文前測，並進行分級輔導後再辦理後測，以檢視學生學習成效。
教學,強化教學品質,建立教學改善回饋系統,數位資訊與邏輯能力學習吧,,,,辦理資訊能力前測，並進行分級輔導後再辦理後測，以檢視學生學習成效。
教學,強化教學品質,建立教學改善回饋系統,創新教學課程推動,,,,以每學期為推動單位，所有創新教學課程的核定，均透過本校教學品質保證推動委員會會議進行審議，符合規範者始得開課，且於課程結束後，繳交成果報告並提報本校教學品質保證推動委員會會議進行審議，以作為創新教學成效之評估，並提出改善建議，提供教師們參酌。
教學,強化教學品質,建立教學改善回饋系統,策略內容,,,,教師透過「行動研究」，了解學生在學習過程中所遭遇的問題，並思考解決策略，進而改進教學方法，並針對學生學習過程、學習態度、學習績效等各方面進行評估。
教學,跨領域學習,規劃跨領域學位（分）學程,亮點系所結合熱門議題為導向的跨領域課程,,,,結合動畫遊戲設計學系、行動科技學系、表演藝術學士學位學程及休閒遊憩管理學系，規劃電競產業跨域課程，期使學生修完相關課程後，除了具備電競產業與週邊連結之知識外，亦具備有電競遊戲設計開發、電競幕前行銷與電競幕後工程架設之基礎技能，即時轉播技術、賽事觀光行銷、規劃及主播的專業技能。
教學,跨領域學習,跨領域教學,創新教學課程推動,,,,教學模式類：個案教學、跨領域教學。
教學,跨領域學習,跨領域教學,亮點系所結合熱門議題為導向的跨領域課程,,,,結合財經管理學群之休閒遊憩管理學系、餐旅管理學系與民生學群社會工作學系共同開課，並整合各系教學資源。
教學,人才國際化,增進外語能力,英語表達能力成長營,,,,辦理英文相關輔導課程：證照輔導班、英文閱讀與朗讀輔導班、英文寫作輔導課程、專業英語輔導課程、商用英語輔導課程等。
教學,人才國際化,增進外語能力,英語表達能力成長營,,,,英文廣泛閱讀、朗讀與心得寫作競賽：建立讀本資料庫、閱讀測驗題庫，進行英文相關競賽。
教學,人才國際化,多元文化/文化交流,英語表達能力成長營,,,,辦理拓展國際觀知能活動：電影賞析、詩歌朗讀、國際交流禮儀等。
教學,提升基礎能力,強化國文能力,中文表達能力思考營,,,,語文表達個別輔導工作坊：邏輯思考組織能力、語文表達與組織能力、創意思考與書寫能力、語文表達個別問題矯正。
教學,提升基礎能力,強化國文能力,中文表達能力思考營,,,,中文能力成長營：閱讀美學、短文撰寫、寫作文案、廣告創意行銷、履歷自傳、口語表達訓練等。
教學,提升實作能力,推動各類競賽（實作能力）,亮點系所結合熱門議題為導向的跨領域課程,,,,學校亦會定期的舉辦校內外電競競賽，讓學生可實際體驗比賽的臨場感，並且透過比賽的籌備，讓學生體驗幕前與幕後之行銷策略與硬體架設。
教學,提升實作能力,呈現、檢核或評估實作成果,創新教學課程推動,,,,教學成果類：實作作品/競賽/戲劇/展演/影片。
教學,提升實作能力,聘請業師或雙師協同教學,策略內容,,,,專業能力提升之活動，可搭配各系專屬課程或就業學程辦理，透過業師與授課教師之協同教學，獲取更多經驗與能力，亦可更容易彰顯活動辦理後學生之學習成效。
教學,提升實作能力,提升教師實務能力,創新教學課程推動,,,,確保教師們創新教學課程之開課品質，本校定期舉辦「創新教學工作坊」，以培育教師們多元創新教學之方式，並吸取最新創新教學之作法，以融入創新教學中。
