構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,微學分通識博雅沙龍,,,,改良傳統課堂教與學之型態，希冀同學可以經由微學分自主學習。
教學,強化教學品質,推廣創新教學模式,學生融入學習網絡,,,,將著重在運用資訊科技建立自主式「課室之外」學生融入學習網路，包括實習、見習、國際研習、海外交換、社區服務、實務專題…等。
教學,強化教學品質,推廣創新教學模式,學生融入學習網絡,,,,導引學生運用自己的思考，探勘最適合自己的學習方式，安排自己的學習過程。
教學,強化教學品質,推廣創新教學模式,四創參與活動,,,,跨領域課程的作法不僅僅以授課為主，而是以議題為導向。
教學,強化教學品質,推廣創新教學模式,課程設計,,,,依課程性質適當的增加討論、實作、演練、專題或問題導向等輔助教學。
教學,強化教學品質,推廣創新教學模式,課程設計,,,,在傳統的課堂講授方式中，融合更為互動式、實作式的教學方式。
教學,強化教學品質,推廣創新教學模式,強化實作、討論與演練的扎實院共同基礎核心課程之小班輔導,,,,搭配「實作、演練、討論與習題演算的扎實院共同基礎核心課程之小班輔導」。
教學,強化教學品質,推廣創新教學模式,強化實作、討論與演練的扎實院共同基礎核心課程之小班輔導,,,,強調各學院需進行教學與輔導融合的創新教學作法。
教學,強化教學品質,推廣創新教學模式,教師共備共組社群/教師專業社群再創/數位課程百花齊放,,,,使用新型態的教學方式，製作內容充實的數位教材。
教學,強化教學品質,推廣創新教學模式,開設問題導向專題課程,,,,各院依據課程規劃之特色及教學目標，建構問題導向之總結性專題課程之教學模式，透過專題研究過程，由指導老師引導學生面對問題，並藉由小組方式探討、分析問題，確認評估問題原因與影響因素，並提出問題解決方案與建議。
教學,強化教學品質,推廣創新教學模式,開設問題導向專題課程,,,,各學院問題導向專題課程之教學模式如表(p.55-56)所示。
教學,強化教學品質,推廣創新教學模式,共好智造Beyond the Classroom,,,,透過問題探勘、共同作業、問題解決及發表等步驟，讓學生主動選擇主題，並進行實際調查、體驗和訪談。
教學,強化教學品質,推廣創新教學模式,共好智造Beyond the Classroom,,,,不同專業領域的教師和學生，共同學習所需理論和專業知識，共同研討/提取問題點。
教學,強化教學品質,推廣創新教學模式,共好智造Beyond the Classroom,,,,進行實作雛形與檢討，最後完成作品製作或系統開發。
教學,強化教學品質,推廣創新教學模式,翻轉圖書館,,,,於課程中結合富翁、賓果及桌上遊戲等，透過分組競爭方式，讓學生學習更有趣味性。
教學,強化教學品質,訂定核心能力，規劃課程地圖,課程推動,,,,各學院規劃院共同基礎核心課程實行教學與小班輔導授課模式。
教學,強化教學品質,調整課程規劃,義大大數據DNA--各學院開設大數據基礎分析與應用課程,,,,逐年針對不同學院的學生屬性，設計不同大數據基礎分析與應用課程，課程規劃朝資料庫理論與管理、雲端運算以及大數據分析三個方向進行。
教學,強化教學品質,調整課程規劃,義大大數據DNA--各學院開設大數據基礎分析與應用課程,,,,思考大數據與各專業結合，進行課程內容上的調整修正與檢核。
教學,強化教學品質,調整課程規劃,夢想啟程--提高修習跨領域學程與第二專長課程,,,,落實跨領域學分學程退場機制。
教學,強化教學品質,調整課程規劃,開設問題導向專題課程,,,,逐步強化總結性課程與學習過程的連結，探討已修習課程、教育目標、核心能力與實作專題之相關程度，再針對執行實作專題所缺乏的面向進行調整、修正。
教學,強化教學品質,調整課程規劃,外國學生專班,,,,依照各國之特殊性逐步調整課程，提供學生更多實用醫學教育及技能。
教學,強化教學品質,調整課程規劃,外國學生專班,,,,特別著重外籍醫學生了解與其母國之常見熱帶醫學疾病有關之知識，並不斷常規性研習診斷、治療、防治的方法。
教學,強化教學品質,培育優良教學助教/人力,Learn to Code -- 程式設計大家學,,,,教師面：將以種子教師方式進行。
教學,強化教學品質,培育優良教學助教/人力,「做中學」與「教中學」的新創學習,,,,透過成績優異之高年級學生學習經歷，以擔任修習過該課程之教學助理。
教學,強化教學品質,培育優良教學助教/人力,「做中學」與「教中學」的新創學習,,,,配合辦理課程教學助理輔助機制，協助授課教師推動教學事務，提供授課學生課堂後諮詢輔導之資源。
教學,強化教學品質,培育優良教學助教/人力,「做中學」與「教中學」的新創學習,,,,協助教師教學。
教學,強化教學品質,培育優良教學助教/人力,「做中學」與「教中學」的新創學習,,,,帶領小組討論。
教學,強化教學品質,培育優良教學助教/人力,「做中學」與「教中學」的新創學習,,,,進行補救教學：為協助學習能力較差、有學習困難之學生，針對期中考不及格者，由任課教師或教學助理進行補救教學。
教學,強化教學品質,教師專業分享輔導機制,Learn to Code -- 程式設計大家學,,,,舉辦教師成長營，提供跨學院老師了解程式設計與應用在該所屬領域的可能性，並思考程式設計如何與本身專業結合以及未來可應用方向。
教學,強化教學品質,教師專業分享輔導機制,教師社群團隊合作,,,,不單一舉辦各學程專屬工作坊，透過教師間互助鏈結，跨院教師社群培養師資能量，並負責總結性課程指導老師。
教學,強化教學品質,教師專業分享輔導機制,課程配套,,,,本案推動之課程修課學生數眾多，教師可組成教學團隊，共備課程、開發教材。
教學,強化教學品質,教師專業分享輔導機制,培養「四通八達」之應用能力,,,,老師們也可利用舉辦專業的「教學工作坊」與「教師成長團體」，以精進教學技巧並交換意見。
教學,強化教學品質,教師專業分享輔導機制,延攬及留任特殊優秀人才,,,,因應跨院學程課程規劃，建立院系師資支援機制。
教學,強化教學品質,教師專業分享輔導機制,教師共備共組社群/教師專業社群再創/數位課程百花齊放,,,,針對院共同基礎核心課程，成立核心課程共備之教師課程專業社群。
教學,強化教學品質,教師專業分享輔導機制,教師共備共組社群/教師專業社群再創/數位課程百花齊放,,,,針對教師其他教學相關技能，成立包括創新教學、數位教材製作、磨課師課程規畫製作以及翻轉教學等等的教師專業社群。
教學,強化教學品質,教師專業分享輔導機制,教師共備共組社群/教師專業社群再創/數位課程百花齊放,,,,每學年檢核教師專業社群成效，並辦理專業教師社群成果觀摩交流發表會，分享並檢討教學實務成果、社群的運作經營。
教學,強化教學品質,教師專業分享輔導機制,教師共備共組社群/教師專業社群再創/數位課程百花齊放,,,,每學年鼓勵更多教師加入或成立教師專業社群，逐漸增加優質數位教材數量、實施創新教學法課程數，實施翻轉教學課程數，優質跨領域課程數。
教學,強化教學品質,教師專業分享輔導機制,教師共備共組社群/教師專業社群再創/數位課程百花齊放,,,,數位課程百花齊放--校園成立永久專業製片群/公司、成立數位課程/磨課師課程專業社群，輔導參與教師撰寫磨課師或數位課程企劃書。
教學,強化教學品質,教師專業分享輔導機制,建立多重溝通管道,,,,辦理教學實務成果發表會。
教學,強化教學品質,教師專業分享輔導機制,建立多重溝通管道,,,,教學創新教師授課觀摩。
教學,強化教學品質,教師專業分享輔導機制,提升教師多元升等意願,,,,完善教學經驗傳承機制，協助教師教學精進，設立各項教師創新教學模式補助措施。
教學,強化教學品質,教師專業分享輔導機制,提升教師多元升等意願,,,,辦理數位學習相關研習活動，增進教師創新數位教學能力。
