構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,訂定核心能力，規劃課程地圖,完備「未來生活產業」專業設計整合跨領域課程架構,,,,核心課程：強化學生對新型態行銷經紀方式的理解。
教學,強化教學品質,訂定核心能力，規劃課程地圖,推動融合實作與社會關懷之專業及服務學習課程,,,,整合本校各院系等教研資源與結合臺北市政部門資源：依學校辦學特色，整合本校各院系等教研資源與結合臺北市政部門資源，將其專業領域連結社區銀髮及學（幼）童議題，設計融合實作與社會關懷之課程。
教學,強化教學品質,強化課程內容,落實學生學習成效多元評估與保證機制,,,,推動成果導向課程改革與品質保證機制：以成果導向為主軸，以彈性化及減少教師與學生負擔為目標，依其專業基本與核心能力作為課程結構與內涵規劃整併之原則，強化課程管理與課程分級與外審機制，擴大課程學習深度與廣度。
教學,強化教學品質,強化課程內容,深化教師教學專業成長體制,,,,提供教師多元隨需教學專業成長活動：修訂本校「教師教學專業成長補助作業要點」，並與各院系合作，依教師屬性與教師生涯成長階段需求，引入教學新知。
教學,強化教學品質,強化課程內容,全民運動保健與休閒運動跨域人才培育,,,,建構運動科學資訊媒體流通網頁平台：建置一國際化運動資訊交流平台，提供正確的運動專業相關知識給專業人士及一般普眾，促進知識傳播。
教學,強化教學品質,調整課程規劃,強化學生學用合一就業力,,,,精進產出導向專業課程機制：配合106年全校性課程改革，持續推動以學生畢業進路為基礎之課程模組架構，進行「就業實務」及「學術導向」模組課程規劃，提供學生依其生職涯規劃修課之建議路徑。
教學,強化教學品質,調整課程規劃,培養學生具備使用及運用程式語言之能力,,,,推動院系開設程式設計課程獎補助機制：透過建立院系開設程式設計課程相關激勵及獎補助機制，鼓勵各院系配合本校自106學年度起進行之課程改革。
教學,強化教學品質,培育優良教學助教/人力,深化多元且隨需之學習輔導助理制度,,,,建立學習輔導助理類型、培訓、考核與獎勵制度：搭配Push-Pull學生即時自主學習與輔導支援系統透過修訂本校「課程助理要點」，完備本校學習輔導助理類型及其相關規範，並透過適性之培訓活動，培養其專業輔導能力，並建立校園同儕學習之風氣。
教學,強化教學品質,培育優良教學助教/人力,教學助理教學協作制度系統化,,,,推動多元適性教學助理培訓制度：建立多元適性教學助理培訓制度，培養具備協助教師製作數位教材之能力。
教學,強化教學品質,培育優良教學助教/人力,教學助理教學協作制度系統化,,,,精進教學助理永續推動之機制：本期計畫將透過教學助理資料庫結合教師教學與學生學習資料庫等校庫資料，逐年針對相關議題進行研究。
教學,強化教學品質,教師專業分享輔導機制,深化教師教學專業成長體制,,,,強化新進教師教學研究支援與輔導機制：持續精進新進教師研習內容及編製新進教師手冊，進而引導新進教師規劃其教師職涯，亦將持續推動新進助理教授領航制度。
教學,強化教學品質,教師專業分享輔導機制,推動任務導向之教學與跨領域教師社群,,,,推動教師教學專業成長社群：持續鼓勵並補助本校教師透過上述各元教師社群活動舉辦及討論教學精進計畫，提供教師教學成長上多重自我訓練學習及討論管道機會。
教學,強化教學品質,教師專業分享輔導機制,推動任務導向之教學與跨領域教師社群,,,,成立跨域跨界教師學習社群：透過「教師教學專業成長補助作業要點」之修訂，將跨域跨界教師學習社群納入教師社群重點補助對象，鼓勵及補助本校教師建立跨校區、跨院系及跨界合作機制。
教學,強化教學品質,教師專業分享輔導機制,推動任務導向之教學與跨領域教師社群,,,,辦理教師社群成果分享會：建立本校教師教學經驗合作與分享機制，以教學交流與教師對話方式，營造支持性之友善教學環境，以提升教學效能。
教學,強化教學品質,教師專業分享輔導機制,推動教師教學發展優良創新獎補助機制,,,,強化校內典範教師與課程轉移機制：持續推動教學風華傳承計畫，建置績優教師與課程資料庫，此外將推動「資深屆退教師優良教學典範」機制紀錄本校任教20年以上臨屆退休之資深教師之教學歷程經驗。
教學,強化教學品質,教師專業分享輔導機制,推動教師教學發展優良創新獎補助機制,,,,深化教師在地深耕服務機制：透過整合教師在地深耕服務資料，成立在地深耕服務種子教師團隊，舉辦在地深耕服務講座與活動。
教學,強化教學品質,教師專業分享輔導機制,精進創意通識教學與課程內涵,,,,舉辦通識教師與課程精進研討會：強化通識選修課程及非正式與潛在課程之整合與發展學習需求導向之專題式通識課程。
教學,強化教學品質,教師專業分享輔導機制,提供參與教師的專業成長機會,,,,提供教師所需的教學資源與國際專業創新、創意及設計思考訓練課程：教師受訓返國後有義務將其在美國的所學與本學院專業成長社群老師分享，並協助其它教師，完成IDEO線上設計思考與創意課程。
教學,強化教學品質,教師專業分享輔導機制,提供參與教師的專業成長機會,,,,規劃與國內外類似性質之機構進行交流：藉由從最初步的參訪學習、共同發表創意設計產出、到協作發表與研討交流，讓老師與學生更有機會可以藉交流互動。
教學,強化教學品質,健全教師（學）評鑑制度,精進教師評鑑與多元升等制度,,,,完備教師教學、研究與服務資料庫：透過相關行政作業與教師評鑑系統，定期檢視全校教師資料庫之完整性。
教學,強化教學品質,健全教師（學）評鑑制度,精進教師評鑑與多元升等制度,,,,精進教師評鑑制度暨回饋機制：透過定期檢視教師評鑑制度，並以公聽會問卷等多元方式蒐集各利害關係人意見，持續調整評鑑項目，提供合理之評鑑規範。
教學,強化教學品質,健全教師（學）評鑑制度,創新教學與教材教法跨域人才培育,,,,強化師資生教學能力檢核與增能機制：進行各類師資生能力檢核，並預計於108學年度，配合教育部訂於107年12月1日實施之師資培育職前教育課程基準，調整本校各師資類科之課程、能力指標與檢核方式。
教學,強化教學品質,推動多元升等,精進教師評鑑與多元升等制度,,,,建立教師多元升等輔導機制：除透過辦理教師多元升等相關說明會、講座外，亦將推動支援教師多元升等之相關機制。
