構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,建置募課沙龍,,,,募課沙龍是一個師生交誼討論的實體空間，師生在此可以相互激盪，凝聚學習的方向、激發學習的熱情，進而形成一個師生共同成長的學習活動，最終設計為學習課程
教學,強化教學品質,推廣創新教學模式,建置募課沙龍,,,,募課沙龍由輪值教師主持，課程初具雛型後，即可邀請校內教師或校外業師參與開課
教學,強化教學品質,推廣創新教學模式,推動專題式學習課程計畫,,,,專題式課程在本校雖已實施多年，然而在制度面尚須建立積極的實施方式，包括：引進業界資源、學分採計方式、教師鐘點採計方式、經費資源
教學,強化教學品質,訂定核心能力，規劃課程地圖,客製化學生學習地圖,,,,依據學生的性向特質、職涯發展、起點行為，擬具學生階段性應獲得的核心能力，據以規劃其修課路徑及相關學習活動（即學習地圖）
教學,強化教學品質,訂定核心能力，規劃課程地圖,設置師徒制產學委員會,,,,學生參與百工學堂，其學習係採客製化學習的方式，打破傳統課程架構，完全以學生需求客製化每位學生的學習地圖
教學,強化教學品質,訂定核心能力，規劃課程地圖,整合課程資源,,,,學院統一規劃選修課程，各學系採認適合者，承認為該系的選修課程
教學,強化教學品質,調整課程規劃,開授工廠專業課程,,,,採跨系合作開課方式，各學系承認為該系的必修或選修課程
教學,強化教學品質,調整課程規劃,整合課程資源,,,,學院相同必修科目採跨系合作開課方式，例如藝術設計學院大一設計課程，規劃為設計人才養成的共同課程，打破系際界線，混合編組上課
教學,強化教學品質,教師專業分享輔導機制,培訓自主學習師資,,,,與校外自主學習相關專業團體合作，進行有系統的教師培訓，培養能有效帶領學生自主學習的輔導能力
教學,強化教學品質,教師專業分享輔導機制,組成跨系教師社群,,,,師資整合由相近領域教師組成專業社群進行交流，並以共同開設課程或將需合作整合的課程排在同一時段，以促成跨域學習與教師交流合作
教學,強化教學品質,健全教學獎勵制度,組成跨系教師社群,,,,學校針對願意參與以學院為核心規劃課程之教師，給予較多之經費補助，例如教學耗材、業師聘任、TA名額等
教學,強化教學品質,健全教學獎勵制度,獎勵非大陸地區姊妹校的國際教學計劃,,,,將規劃非大陸地區姊妹校授課的獎勵措施，鼓勵教師踴躍至非大陸地區姊妹校開發短期課程的授課計畫
教學,強化教學品質,建立教學改善回饋系統,強化學生輔導機制,,,,各授課教師須確實掌握學生修課、學習成效，定期回饋給各學系、導師與教師，並適時介入輔導學生
教學,強化教學品質,建立教學改善回饋系統,強化學生輔導機制,,,,各學期進行學生選課狀況與學習成效分析，據以修訂計畫工作內容
教學,跨領域學習,規劃跨領域學位（分）學程,整合課程資源,,,,各系師資調整後協助學院跨域或特色發展規劃，各系提供適當課程供大一新生不分系選修
教學,跨領域學習,跨領域教學,百工學堂營運主題,,,,「智慧燈具DIY」將整合電子系、資管系與工設系等部分課程，使學生具有製作智慧燈具的基本知識與技能計。所需課程：電子系支援電子學、電路學與半導體元件，主要用於燈具內部的電路與LED介紹與設計；資管系支援智慧生活APP設計、APP使用者介面設計；工設系支援產品外觀設計課程，包含基礎設計、產品設計與模型製作
教學,提高學習自由度及彈性,微學分（彈性學分）,鬆綁教務制度,,,,修訂相關教務法規，針對課業要求彈性化、畢業規定彈性化、課程時間彈性化、學習場域彈性化、學分採計彈性化、成績評量彈性化、學期採計彈性化，建立制度。
教學,提高學習自由度及彈性,微學分（彈性學分）,以藝術設計學院學士班為實驗試點,,,,教務制度彈性化需要有一個試行階段，先以藝術設計學院學士班為實驗試點，根據試行經驗作檢討修正，再逐步推廣到其他學系
教學,人才國際化,增進外語能力,開設主題式外語課程，以教師社群串連學習成效,,,,一般性的聽說讀寫課程
教學,人才國際化,增進外語能力,開設主題式外語課程，以教師社群串連學習成效,,,,藉由日常生活相關主題提升習得英語的實用性，並提高學生對英語學習的興趣
教學,人才國際化,增進外語能力,開設主題式外語課程，以教師社群串連學習成效,,,,藉由電影中的實用商務狀況，提升學生對美國商業文化了解；同時電影中的對話內容及速度，也能讓同學更熟悉生活英文應用
教學,人才國際化,增進外語能力,開設主題式外語課程，以教師社群串連學習成效,,,,佛教義理的熏陶及相關英文的習得
