構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,各學院跨領域執行面,,,,未來亦將創新教學方法，推動翻轉式教學。
教學,強化教學品質,訂定核心能力，規劃課程地圖,健康促進課程／博覽會,,,,健康促進課程召集種子教師，需提出與「全人健康」或「健康促進」有關連性的課程規劃及學習活動，搭配實作成果導向、產學合作、服務學習、在地實踐等教學模式，課程結束後，學生須能呈現具體學習成果。
教學,強化教學品質,訂定核心能力，規劃課程地圖,全校整體執行面,,,,「跨領域工作推動小組」的首要任務，即為掌握產業脈動，結合校及院特色，擬定本校跨領域整合策略。小組每年將定期針對本校跨領域整合現況進行一次檢視，其內容包含：課程結構、系所活動…等，並據此擬訂策略，改善本校跨領域學習環境。
教學,強化教學品質,訂定核心能力，規劃課程地圖,全校整體執行面,,,,為確保小組所做建議均符合產業現況，除小組成員外，另外邀請業界專家及學者，組成諮詢委員會，提供跨域小組諮詢，並調整策略方向。
教學,強化教學品質,培育優良教學助教/人力,程式設計融入課程,,,,得視程式設計相關學習活動中授課需要，聘任「具備程式設計專長」之校內學生擔任教學助理。
教學,強化教學品質,培育優良教學助教/人力,教師知能成長,,,,培育全英語授課師資。
教學,強化教學品質,培育優良教學助教/人力,教師知能成長,,,,國內培訓課程，與英國文化協會（British Council）合作規劃24小時的英語培訓課程。
教學,強化教學品質,培育優良教學助教/人力,教師知能成長,,,,海外英語集訓課程，選送校內已開設及未來欲開設全英語專業課程之專任教師，至英語系國家知名大學研習進修專業課程英語授課之相關課程。
教學,強化教學品質,培育優良教學助教/人力,卓越TA選拔,,,,訂定本校「優秀TA班級經營獎勵試行要點」，每學期結束後由授課教師推薦及提出申請。
教學,強化教學品質,培育優良教學助教/人力,提供多元、創新並具國際觀之教材與資源,,,,認證指導員訓練數位課程助教，支援AIEDL教師改進課程進行認證。
教學,強化教學品質,培育優良教學助教/人力,提供順應學生能力興趣之自學支架與順應院系需求、可測量成果之學習方案,,,,持續訓練數位課程助教與導航員，以推動並支持學生的自主學習。
教學,強化教學品質,培育優良教學助教/人力,促成輔大成為教學相長、資源流通之英語學習與溝通的生態系統，並將學生之學習成果推廣至業界,,,,持續訓練英文系優秀學生擔任線上小老師、自學導航員、圖書館寫作中心與工作坊小老師以及英語數位課程教學助理。
教學,強化教學品質,教師專業分享輔導機制,健康促進課程／博覽會,,,,健康促進課程部分，除已參與之課程持續開課外，亦舉辦全校性說明會，使各院系所教師皆能瞭解此計畫核心概念，進而提高參與意願，拓展合作課程領域，使課程涵蓋之面向更加完整多元。
教學,強化教學品質,教師專業分享輔導機制,程式設計融入課程,,,,提案申請並獲經費補助之教師有義務於學期末針對本次「程式設計融入課程」之實施經驗與成果作分享與交流。
教學,強化教學品質,教師專業分享輔導機制,教師知能成長,,,,持續辦理教師專業成長研習課程，提升教師多元成長機會。
教學,強化教學品質,教師專業分享輔導機制,教師知能成長,,,,鼓勵師生組成社群以探討教與學，以學習者經驗之回饋，成為課程落實創新與教學精進的參考依據，以課程為基礎，採師生共同合作模式，關注於學生學習成效的教學策略、融入不同元素課程之設計或共同科目教材開發等。其主題包含教育科技應用：如以TronClass提升互動之教學設計；跨域創新課程主題：如程式設計、大數據等融入課程；全英語授課主題。
教學,強化教學品質,教師專業分享輔導機制,教師知能成長,,,,評量分數低於3.0以下之教師，可自願提出申請「同儕觀課與回饋計畫」，提供校外相關領域之專業或教學績優教師名單，再由教發中心聘任三名為良師智囊團共同幫助與合作，協助找出教學盲點。同儕觀課前須進行觀課前會議，提供教案與問題，再由智囊團實際入班觀課，結束後在召開觀課後會議給予建議。期能協助申請教師了解教學癥結點並提供有效具體建議。
教學,強化教學品質,教師專業分享輔導機制,全校整體執行面,,,,邀請各院系所踴躍成立跨領域教師社群，並追蹤其執行成效，做為每年評估各院跨領域執行成果之參考依據。
教學,強化教學品質,教師專業分享輔導機制,非正式學習,,,,舉辦教師工作坊與專家演講。
教學,強化教學品質,教師專業分享輔導機制,成立教職員/院種子教師社群,,,,致力推展服務學習的教職員夥伴關係，經由彼此間的服務學習經歷凝聚網絡，透過社群力量培力。
教學,強化教學品質,教師專業分享輔導機制,辦理全校性/全國性服務學習工作坊,,,,推動服務學習種子教師培育，推廣教師服務學習之執行方式及對於學生學習成效之影響，以提高教師運用「服務學習」教學法之參與度於課程內容。
教學,強化教學品質,教師專業分享輔導機制,參與海外服務學習研討會,,,,廣邀長期投入服務學習領域的教職員生們參與國際服務學習研討會，以拓展其國際觀，並與國際間學者們交流和擴增其研討網絡。
教學,強化教學品質,教師專業分享輔導機制,績優課程教案觀摩及推展,,,,為提升各院系所教師參與服務學習，將建構績優教案觀摩（全人教育通識型、專業課程），藉由觀摩鼓勵自行設計出各院系所教案模組，研討建立課程特色融入服務學習之典範。
教學,強化教學品質,教師專業分享輔導機制,跨院校專業服務學習議題合作,,,,集結全國各院校投入專業服務學習之教師，以探討共同議題或共同社區方案內容，促進彼此間交流及合作，豐富跨域合作之課程內容設計。
教學,強化教學品質,教師專業分享輔導機制,民生學院,,,,延續並精進本院與Oregon State Univ.（OSU）的師生共教共學與互訪，民生學院各系、公共衛生學系、體育學系等共組跨領域學習團隊，每年暑假至OSU進行跨國民生與全齡社區健康促進之學習與實習。
教學,強化教學品質,教師專業分享輔導機制,全人中心,,,,成立眾多語種教師工作小組與規劃上述語種之跨文化教材。
教學,強化教學品質,健全教學獎勵制度,教師知能成長,,,,依據「遠距教學課程補助辦法」鼓勵教師申請數位學習課程認證。
教學,強化教學品質,健全教學獎勵制度,教學獎勵與推廣,,,,教學獎勵：依據「教學成果獎勵辦法」與「教師教學績優獎勵辦法」遴選優良教師。
教學,強化教學品質,健全教學獎勵制度,全校整體執行面,,,,對於成果豐碩的社群教師將給予獎勵，並作為教師評鑑的重要參考。
教學,強化教學品質,健全教學獎勵制度,全校整體執行面,,,,為鼓勵教師開授產業實習課程，擬訂產業實習優秀教師辦法，每學期將於產業實習委員會審查，並選出若干優秀產業實習課程給予授課教師獎勵，並舉辦成果發表會由獲獎教師分享成果。
教學,強化教學品質,建立教學改善回饋系統,程式設計融入課程,,,,申請教師於期末需撰寫「授課成效報告」，並請修課學生填寫「學習自評問卷」，彙整後繳交至教發中心進行統計與分析，以作為教師個人與同儕未來改善與精進教學之參考依據。
教學,強化教學品質,教學單位國際認證,民生學院,,,,國際餐旅高等教育組織認證（ACPHA）。
教學,強化教學品質,教學單位國際認證,民生學院,,,,申請與國際營養師協會聯盟ICDA（International Congress of Nutritional Association）合作之認證課程與實習，以培育學生使其符合國際營養師的資格，服務國際大眾。
教學,跨領域學習,規劃跨領域學位（分）學程,全校整體執行面,,,,對於已修讀雙學位、輔系、學分學程的學生，則可舉辦「跨領域學習策略講座」，提供相關輔導，以協助其順利培養產業所需的跨領域能力。
教學,跨領域學習,規劃跨領域學位（分）學程,各學院跨領域執行面,,,,將以創新創業為核心，規劃符合未來需求及就業能力的跨領域學程或微學群，其主軸包含：翻轉家庭、綠色永續餐飲、食安品質管理、民生產業數位科技行銷、民生產業物聯網/大數據/智慧科技應用等。
教學,跨領域學習,規劃跨領域學位（分）學程,各學院跨領域執行面,,,,因應各方面產業需求，建立「全英文品牌時尚微學分學程」、「紡織成衣工業4.0跨領域學程」、「數位博物館平台建置與跨領域學程」、「時尚傳播與公關學程」，以培育跨領域產業菁英。
