構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,精進國文課程與教學，深化人文社會關懷，培養思辨與敘事能力,,,,課堂閱讀文本透過桌遊設計轉化成創新教學教材，推動翻轉教學。
教學,強化教學品質,推廣創新教學模式,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,會計學、管理學、統計學引入個案或問題導向教學法。
教學,強化教學品質,推廣創新教學模式,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,「教室即劇場、教師即導演」，以劇場教學方法深耕學生之創造力、人文素養與生涯競爭力。採劇場方式進行經濟學與商管課程之實驗教學。
教學,強化教學品質,推廣創新教學模式,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,鼓勵老師針對教育現場提出問題，透過課程設計、教材教法、科技媒體運用等，進行教學實踐研究，找出提升學生學習成效的方法，回饋至教學現場。
教學,強化教學品質,推廣創新教學模式,與國際知名學府合作辦學，提升逢甲大學的國際競爭力,,,,"以CDIO為內涵的成果導向教育（Outcome Based Education, OBE）：大部份課程應用CDIO教學模式，重視成果導向，PBL專題製作為推動之重點項目，學生在本校學習之二年期間需完成4-5個專題。"
教學,強化教學品質,訂定核心能力，規劃課程地圖,深化CDIO從構思到實踐的連貫式成果導向教育模式，與世界接軌培養未來所需的創新人才,,,,依據CDIO 12項標準，深化成果導向教育，持續精進課程與教學革新。
教學,強化教學品質,訂定核心能力，規劃課程地圖,深化CDIO從構思到實踐的連貫式成果導向教育模式，與世界接軌培養未來所需的創新人才,,,,落實CDIO四大培育能力主軸，強化理論與實務的整合實作能力，培養未來社會產業所需人才。
教學,強化教學品質,訂定核心能力，規劃課程地圖,推動以學院為主體的整合式教學創新,,,,典範學院進行院內系所師生共同分析、解構、及重新定位人才培育之目標，建構主修、次主修、輔修課程設計。
教學,強化教學品質,強化課程內容,統籌學科（微積分、物理、化學、經濟、會計、統計、管理學）引入創新教學工具，強化學生基礎能力,,,,引入PhET自由軟體，以互動式動畫模擬方式讓學生反覆練習與探索科學知識。
教學,強化教學品質,強化課程內容,統籌學科（微積分、物理、化學、經濟、會計、統計、管理學）引入創新教學工具，強化學生基礎能力,,,,結合手機Apps及內建感測器量測相關物理量，藉由實驗操作、數據分析等方式，驗證抽象的理論方程。
教學,強化教學品質,強化課程內容,統籌學科（微積分、物理、化學、經濟、會計、統計、管理學）引入創新教學工具，強化學生基礎能力,,,,融入CDIO工程教育課程設計，搭配創新教學實驗室及實驗內容翻轉，並加入PBL（Project-Based Learning）專題實驗式的教學方法。
教學,強化教學品質,強化課程內容,統籌學科（微積分、物理、化學、經濟、會計、統計、管理學）引入創新教學工具，強化學生基礎能力,,,,經濟學、會計學、統計學及管理學之統籌課程，規劃創新教學模式。藉由教師教學專業成長社群，導入創新教學模式，配合自主學習輔導系統，提升學生學習成效。
教學,強化教學品質,強化課程內容,透過學生自治組織、社團及志工隊，開設基礎與進階知能課程，深化學生需要的軟能力及執行力,,,,設計需求導向式能力課程，提供學生系統性的基礎融合能力學習方案。能力課程內容包括生涯規劃、問題解決、溝通表達、團隊合作、健康生活、與社會參與等六大知能。
教學,強化教學品質,強化課程內容,深化CDIO從構思到實踐的連貫式成果導向教育模式，與世界接軌培養未來所需的創新人才,,,,可經由CDIO平台瞭解國際經驗，提升教育品質，藉由每年的國際年會與亞洲區域會議，觀摩世界知名大學的教學模式與具體實施方式。
教學,強化教學品質,強化課程內容,深化CDIO與Design Thinking融入通識教育，強化學生人文創新、社會實踐精神,,,,結合產官學資源及本校師生能量，共同面對社會產業發展與創新課題。
教學,強化教學品質,強化課程內容,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,結合創新工具無人載具、影像拼接與3D建模技術進行農業田野調查。
教學,強化教學品質,強化課程內容,深化未來大學計畫成效，推動提升學習動機的榮譽學生制度，結合Mentor機制，強化學生自主學習,,,,實踐導向的社會參與式課程。如智慧校園計畫、參與式社區改造計畫、永續教育、社會企業創業等。
教學,強化教學品質,強化課程內容,推動開放環型大學（Open Loop University）機制，以Minerva Schools為師建立典範鏈結國際,,,,強化專業及應用的整全性課程機制，並建立國際移動的跨域自主學習。
教學,強化教學品質,強化課程內容,打造人工智慧與機器人、創新設計、人文與社會創新三學位學程，支持創能學院、跨領域設計學院、社會創新學院，培養全校學生創新能力,,,,實虛共構：以數位製造為基礎，結合AR/VR發展實虛整合服務。
教學,強化教學品質,強化課程內容,打造人工智慧與機器人、創新設計、人文與社會創新三學位學程，支持創能學院、跨領域設計學院、社會創新學院，培養全校學生創新能力,,,,智慧互動：以互動科技為基礎，結合智慧生活設計，發展智慧生活服務。
教學,強化教學品質,調整課程規劃,推動CDIO與Design Thinking專題式課程融入專業教育，提升學生創新實作能力，深化專業知能,,,,大一新鮮人參與Freshman Project，讓學生藉由真實議題，如智慧校園、智慧生活與智慧城市。
教學,強化教學品質,調整課程規劃,深化CDIO與Design Thinking融入通識教育，強化學生人文創新、社會實踐精神,,,,推動專題製作課程融入CDIO學習模式，以18小時學習內容組成一學分之彈性課程設計。
教學,強化教學品質,調整課程規劃,深化CDIO與Design Thinking融入通識教育，強化學生人文創新、社會實踐精神,,,,與特定專業系所合作，為特定班級或特定群組學生量身訂作，客製化學生所需之人文創新、社會實踐能力。
教學,強化教學品質,調整課程規劃,推動以學院為主體的整合式教學創新,,,,選定試辦學院，105學年度本校建築專業學院採學院下設學士學位學程進行招生，建立課程設計操作實例。
教學,強化教學品質,調整課程規劃,推動以學院為主體的整合式教學創新,,,,打破以學系為本位的師資組成，建立跨領域授課教師的編組模式。師資改隸於學院，依教師學術領域進行編組建立跨領域授課概念，配搭業師引入產業專業實務。
教學,強化教學品質,調整課程規劃,設立校院不分系學位學程，導入Stanford 2025 Purpose Learning、Paced Education推動學生自主學習，突破學系限制學生的僵局，培養跨領域多專長學生,,,,以學院專業為本，推動課程精實及整合，降低學生修習科目數，增加科目之學習承載度。
教學,強化教學品質,調整課程規劃,設立校院不分系學位學程，導入Stanford 2025 Purpose Learning、Paced Education推動學生自主學習，突破學系限制學生的僵局，培養跨領域多專長學生,,,,教育歷程為導向式之課程設計。以CDIO為內涵，專題導向為主軸，參與「社會議題」及「產業需求」，透過師徒制。
教學,強化教學品質,調整課程規劃,與國際知名學府合作辦學，提升逢甲大學的國際競爭力,,,,以CDIO教學模式以及設計跨領域整合課程，配合彈性教育歷程，藉由開放環型大學方式提供學生進行校內學習、產業實習、國際學習等管道。
教學,強化教學品質,調整課程規劃,持續調降生師比及改善專兼任教師比例，董事會並外加30名傑出師資，發展學校特色,,,,推動「發展以MIT CDIO與Stanford Design Thinking為內涵的教學模式」，讓學生在大學階段能完成4-5個專題，反覆經歷CDIO歷程，培養學生具備構思到實踐的創新實作能力。
教學,強化教學品質,培育優良教學助教/人力,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,與國際知名大學合作，遴選教師精進創新教學方法，並將學習成果融入專業課程。辦理CDIO課程經驗交流工作坊。依照本校中程校務發展計畫七大優勢領域重點產業，設立教師人才培育機制，培養種子教師提升專業技術能力、引進國際頂尖大學PBL教學課程模式。
教學,強化教學品質,培育優良教學助教/人力,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,Apple RTC區域教育培訓中心持續選送教師進行培訓。
教學,強化教學品質,培育優良教學助教/人力,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,遴選10位教師至英屬哥倫比亞大學（University of British Columbia）培訓。
教學,強化教學品質,培育優良教學助教/人力,接軌國際著名大學及產業教育與學習中心，營造教師追求創新課程與教學氛圍，活化教學提升學生學習成效,,,,選送優秀教師至美國普渡大學（Purdue University）接受一個月之深度教學演習，於當地研習頂尖大學跨領域教育課程設計與教學法。
教學,強化教學品質,培育優良教學助教/人力,與國際知名學府合作辦學，提升逢甲大學的國際競爭力,,,,國際科技與管理學院與跨國大學合作。選送優秀師資至美國普渡大學接受深度教學演練。
教學,強化教學品質,培育優良教學助教/人力,持續調降生師比及改善專兼任教師比例，董事會並外加30名傑出師資，發展學校特色,,,,新進教師國際觀培育方案：邀請各領域知名華裔並長期於國外大學任教學者，針對本校未具國外學歷或經驗之教師於每年暑假進行集訓，由多名旅外學者共同授課。
教學,強化教學品質,培育優良教學助教/人力,持續調降生師比及改善專兼任教師比例，董事會並外加30名傑出師資，發展學校特色,,,,選送教師出國研修方案：依據本校中程校務發展計畫之發展方向，遴選優秀教師留職留薪出國研修。
教學,強化教學品質,教師專業分享輔導機制,全面推動四階段Apps課程，培養學生程式設計知熟精,,,,與Apple公司合作辦理教師培訓活動，成立iOS教師社群，進行試教、教科書編印、師資培訓，強化教師教學能量，紮根本校程式設計教育。
