構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,創新課程發展機制,,,,創新課程與專題式學習擴散：依本校學生學習特質發展彈性學習模式，並階段性轉化統整課程為跨域或社會參與式之專題式學習課程。依循微學分等創新課程推動模式，訂定全校專題式學習操作模式，並提供政策性獎勵，鼓勵教師以其研究場域為出發點，發掘議題。
教學,強化教學品質,推廣創新教學模式,建置「多元敘事課程模組」,,,,推動系統化多元敘事學習，建構多元敘事與設計思考課程，幫助學生學習系統性思考，精進跨領域共構、整合之能力。
教學,強化教學品質,推廣創新教學模式,推動校內創新學習模式,,,,推動多元的教學與實務知能：發展創新教學課程，連結活用通識之學分共享機制、通識未來學苑（IF Program）、微型學分、深碗課程、工作坊及學生自主募課等彈性課程，建立創新實務與理論結合的教學模式。
教學,強化教學品質,訂定核心能力，規劃課程地圖,厚植教師研究能量,,,,拓展高齡食品研究能量：新設高齡健康產業學分（位）學程，進而發展食品營養學系碩士班/博士班，規劃學院專業、產業動態之工作坊或在地產學交流輔導。
教學,強化教學品質,訂定核心能力，規劃課程地圖,創新課程發展機制,,,,分散課程統整：持續推動全校各系開設必修統整課程（capstone course），協助學生統合專業知識、學習團隊合作模式或培養獨立思考能力，並透過評分量尺（rubrics）設計，落實核心能力培育評估與改善。
教學,強化教學品質,訂定核心能力，規劃課程地圖,推廣統整課程普及化,,,,協助統整課程規劃與開設：簡化統整課程計畫申請程序，透過制度化的實施流程，協助全校各系至少規劃新開或精進一門必修統整課程。
教學,強化教學品質,調整課程規劃,發展創新教學模式,,,,鼓勵學生自主集眾募課：鼓勵院系進行課程變革，規劃學生自主集眾募課、揪課自組微學分課群等作為，鼓勵老師跨領域教學，讓教學環境自主學習的風氣更務實的被實踐。
教學,強化教學品質,培育優良教學助教/人力,精緻數位化教學,,,,培育師徒制數位錄製團隊：與本校各學系合作，由專業教師培訓數位種子團隊，協助各種數位教材之製作。
教學,強化教學品質,培育優良教學助教/人力,議題導向自主學習與學生培力創新研發,,,,在建構「學生團隊培力機制」策略上，一則培力「閱讀與書寫」課程TA協力教學，建立「閱讀與書寫」課程TA培力模組；另則挖掘文壇超新星；培力文創團隊、中城文化工作隊。
教學,強化教學品質,培育優良教學助教/人力,增強學生基礎核心/專業課程學習成效,,,,落實兼任學習助理輔導制度：每學期編列約220名兼任學習助理員額，提供系所及全校性基礎課程輔導諮詢。並透過基礎知能培訓、TA輔導經驗分享，提供完善的培訓機制，以達提升學生學習成效之目的。
教學,強化教學品質,教師專業分享輔導機制,強化教師教研量能,,,,新進教師及顧問觀課輔導制度：聘任新進教師諮詢顧問以一對一方式輔導，並規劃推展研究導師制度。此外新增顧問觀課輔導制度，觀課後進行回饋討論，以產生更具實質的教學與研究效益。
教學,強化教學品質,教師專業分享輔導機制,強化教師教研量能,,,,專業/跨域/場域實踐教師社群：教師橫向連結形成有機組合體，輔以教師專業成長多元研習，促進投入場域教學，誘發課程創新與改造，落實創新教學。
教學,強化教學品質,教師專業分享輔導機制,厚植教師專業能量,,,,辦理專業/跨域的研習：規劃學院專業、數位科技、產業動態及政策主題之教師研習、工作坊及座談會等，增廣教師教學視野，提升教師教學的能量。
教學,強化教學品質,教師專業分享輔導機制,厚植教師專業能量,,,,設置新進教師諮詢輔導暨觀課學習制度：聘任諮詢顧問輔導新進教師，實施同儕觀課學習制度，增進顧問與新進教師教學互動，並於觀課學習後進行回饋討論。
教學,強化教學品質,教師專業分享輔導機制,厚植教師專業能量,,,,推動優良教材獎勵制度：推動優良教材獎勵制度及傳承優良教師的教學經驗，形塑優質的教學風氣。
教學,強化教學品質,教師專業分享輔導機制,活化教師社群,,,,深耕專業社群圈：廣泛的鼓勵各學院系所之教師，成立系所專業領域的社群，提升教師專業之教學品質。
教學,強化教學品質,教師專業分享輔導機制,活化教師社群,,,,推展跨域共學圈：鼓勵各系所教師連結不同專業領域之同儕，成立跨領域社群，依原有社群之共學議題或領域劃分歸類，依議題辦理共學群聚。
教學,強化教學品質,教師專業分享輔導機制,提升教師研究支持系統,,,,打造優質研究環境：舉辦各式研究的研習與寫作工作坊，協助教師再進修，強化獎勵補助教師研究制度，補助編修並發表於國際期刊。規劃建立新進教師研究諮詢顧問制度，由資深教師帶領新進教師從事研究發表。
