構面,推動重點,具體作法,大標題,中標題,小標題,最小標題,內容
教學,強化教學品質,推廣創新教學模式,拓展學用鏈結之跨系院、跨領域前瞻性課程與學程,,,,課程融入探索式學習教學法，引導學生找出應用方式與產品化策略，讓學生、老師、業師在互動過程與回饋意見中共同成長，並根據回饋意見，進行課程內容討論及檢討，擬訂及修正未來上課主題。
教學,強化教學品質,推廣創新教學模式,強化設計思考與邏輯推理,,,,培養設計思考精神：紮根結合同理思考之解決問題能力，演練從蒐集需求到研發prototype過程，以跨科系與跨校工作坊先行訓練師資，爾後施行於學生。
教學,強化教學品質,推廣創新教學模式,「以病人為師」之專業素養,,,,「以病人為師（StudiPat）」課程：透過以「病人」為師培養學生在醫病互動中細膩的感受力與觀察力；藉由反思回饋系列活動，促發學生將內心的觸動與同儕及老師們進行交流；以「大地」為師，透過社區不同場域體驗與感受及講座式對話；配合附設醫院相關社區醫療工作，由「庶民醫療」端形成問題意識後，引導學生思考與建構進行「轉銜醫療」的行動力。藉由臨床技能集訓課程，培養種子學生、發展同儕學習社群，並藉參與國際臨床技能夏日學院，拓展友伴學習活動。推廣以健康美感教育為底蘊的醫學教育，透過教學經驗交流及學生回饋，凝聚美感教育種子教師，完善「感覺、觸動、思考、行動」的教學脈絡。
教學,強化教學品質,推廣創新教學模式,跨領域高齡者的整合性照護訓練,,,,教師發展創新教學教材，透過跨專業整合團隊溝通，連結社區及地區性高齡長照服務，及學生實作經驗反思，發展跨領域融合實證為基礎之照護服務模式，培育學生之創新問題解決能力。
教學,強化教學品質,推廣創新教學模式,跨領域高齡者的整合性照護訓練,,,,立基於口腔照護課程之基礎，加入咀嚼吞嚥、模擬體驗、實作課程等新元素，讓學生的學習從認知層次，深入提升至情意與技能層次。
教學,強化教學品質,推廣創新教學模式,跨領域高齡者的整合性照護訓練,,,,集結前述跨專業課程合作經驗與直送服務方案培養出之跨專業團隊，發展以問題導向實作為主題之教材，開發相關醫療照護主題之SOP，將跨領域場域實習之學習成果落實並回饋該單位，成為標準化、高品質之服務，可縮短學系畢業生開設物理治療所之準備期。
教學,強化教學品質,推廣創新教學模式,跨領域高齡者的整合性照護訓練,,,,運用擬真情境，強化教育知、情、意、行內涵：討論結果以實際演出的方式呈現，除了檢核藥護兩系學生彼此交流合作，是否達到個案照護上的跨領域教育訓練，亦希望在擬真的情境之下，透過角色扮演，體驗照護現場，激發學生對病患與家屬的關懷與同理。
教學,強化教學品質,推廣創新教學模式,以擬真教育與跨領域OSCE進行團隊合作照護訓練（IPE）,,,,導入跨領域觀念於生命倫理課程與人文課程，利用PBL教案合併上課與討論，讓學生了解不同醫療角色之思維與溝通技巧，培養更廣角的臨床思考與溝通模式，將學習場域擴大至醫院，安排學生直接參與實際臨床討論。
教學,強化教學品質,推廣創新教學模式,推展跨校整合型教學研究與交流,,,,將科學、技術與社會（STS）教學策略融入應用科學課程：設計連結「永續環境」或「生技製藥與粧品產業」課程，導入STS教學策略，使學生不僅從科技層面思及產品研發，亦從消費者、社會結構演變與環境的角度思及未來產品研發會面臨的挑戰，以跨越至未來應提升的產業技術。
教學,強化教學品質,推廣創新教學模式,推展跨校整合型教學研究與交流,,,,設計大三STEAM專案課程：學生透過STEAM所強調的五大精神─跨領域、動手做、生活應用、解決問題與五感學習，以團隊合作的方式，結合過去學習相關STEAM的基本知識，進行專案計劃。
